//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7

"Actions","Các hoạt động"
"An error occurred while marking notification as read.","Lỗi trong khi đánh dấu thông báo đã đọc."
"An error occurred while marking the messages as read.","Lỗi trong khi đánh dấu tin nhắn đã đọc."
"An error occurred while removing messages.","Lỗi trong khi loại bỏ tin nhắn."
"An error occurred while removing the message.","Lỗi trong khi loại bỏ tin nhắn."
"Are you sure?","Quý khách có chắc chắn không?"
"Date Added","Ngày thêm vào"
"Last Update","Cập nhật mới nhất"
"Mark as Read","Đánh dấu đã đọc"
"Mark as read","Đánh dấu đã đọc"
"Message","Tin nhắn"
"Messages Inbox","Hộp thư đến"
"Notifications","Các thông báo"
"Please select messages.","Xin chọn các tin nhắn."
"Read Details","Xem chi tiết"
"Remove","Loại bỏ"
"Severity","Mức độ nghiêm trọng"
"Show List","Xem danh sách"
"Show Toolbar","Mở thanh công cụ"
"The message has been marked as read.","Tin nhắn được đánh dấu đã đọc."
"The message has been removed.","Tin nhắn đã được loại bỏ."
"Total of %d record(s) have been marked as read.","Tổng số %d (các) bản ghi được đánh dấu đã đọc."
"Total of %d record(s) have been removed.","Tổng số %d (các) bản ghi đã được loại bỏ."
"Unable to proceed. Please, try again.","Không thể thực hiện. Xin thử lại."
"Update Frequency","Tần suất cập nhật"
"Use HTTPS to Get Feed","Sử dụng HTTPS để nhận Feed"
"Wrong message type","Lỗi loại tin nhắn"
"critical","quan trọng"
"major","chính yếu"
"minor","thứ yếu"
"notice","thông báo"
