//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7

" The customer does not exist in the system anymore."," Các khách hàng không còn tồn tại trong hệ thống"
" You will need to navigate to your "," Quý khách cần chuyển tới trang của mình "
" [deleted]"," [đã được xóa]"
" and "," và "
" and go to the "," và đi đến "
" sections for your Hosted Checkout Pages."," các phần này dành cho trang thanh toán của Quý khách."
"%s (Default Template from Locale)","%s (Mẫu mặc định trong hệ thống)"
"%s cache type(s) disabled.","(các) loại bộ nhớ đệm %s đã được vô hiệu."
"%s cache type(s) enabled.","(các) loại bộ nhớ đệm %s đã được kích hoạt."
"%s cache type(s) refreshed.","(các) loại bộ nhớ đệm %s đã được làm mới."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Đối với loại ""Máy chủ nội bộ"" cần sử dụng đường dẫn tương đối để cài đặt STCMeCOM var/export hoặc var/import. Ví dụ: var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Dành cho các tên bang của Hoa Kỳ, viết tắt 2 ký tự)"
"(If left empty will be auto-generated)","(Nếu để trống, hệ thống sẽ tự động ghi vào)"
"(Leave empty for first spreadsheet)","(Để trống bảng đầu tiên)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Các sản phẩm sẽ được thêm/ cập nhật vào cửa hàng này nếu cột 'cửa hàng' để trống hoặc không có trong tập tin được nhập vào.)"
"(Shift-)Click or drag to change value","(Shift-)Click hoặc kéo để thay đổi giá trị"
"(Starting with)","(Bắt đầu với)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Khi chọn 'Không', chỉ các trường được bản đồ hóa là được nhập vào. Khi bản đồ hóa, sử dụng 'Cột 1', 'Cột 2', v.v.)"
"(You have to increase php memory_limit before changing this value)","(Quý khách cần tăng 'php memory_limit' trước khi thay đổi giá trị này)"
"(\\t for tab)","(\\t để lùi vào 1 ""tab"")"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Nếu việc lập chỉ mục đang được thực hiện, nó sẽ bị kết thúc và quá trình lập chỉ mục mới sẽ bắt đầu."
"* Required Fields","* Các trường bắt buộc phải nhập"
"- Click on any of the time parts to increase it","- Bấm lên bất kỳ phần nào để tăng nó"
"- Hold mouse button on any of the above buttons for faster selection.","- Bấm và giữ chuột trên bất kỳ nút trên nào để chọn nhanh hơn."
"- Use the %s buttons to select month","- Sử dụng nút %s để chọn tháng"
"- Use the %s, %s buttons to select year","- Sử dụng nút %s, %s để chọn năm"
"- or Shift-click to decrease it","- hoặc Shift-click để giảm nó"
"- or click and drag for faster selection.","- hoặc bấm và kéo để chọn nhanh hơn."
"-- Not Selected --","-- Không được chọn --"
"-- Please Select --","-- Xin chọn --"
"-- Please Select Billing Agreement--","-- Xin chọn thỏa thuận thanh toán --"
"-- Please Select a Category --","-- Xin chọn một nhóm sản phẩm --"
"-- Please select --","-- Xin chọn --"
"--Please Select--","-- Xin chọn --"
"1 Hour","1 Giờ"
"1. set up","1. thiết lập"
"12 Hours","12 Giờ"
"12h AM/PM","12g Sáng/Chiều"
"2 Hours","2 Giờ"
"2. customize","2. tùy biến"
"24 Hours","24 Giờ"
"24h","24g"
"2YTD","Trong 2 năm qua"
"6 Hours","6 Giờ"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Lỗi 404</h1><p>Không tìm thấy trang.</p>"
"<strong>%s</strong> requests access to your account","Các yêu cầu <strong>%s</strong> truy cập tài khoản của Quý khách"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Chú ý</strong>: Captcha nhạy loại chữ."
"A user with the same user name or email aleady exists.","Tên thành viên hoặc thư điện tử đã được sử dụng"
"API Key","Khóa API"
"API Key Confirmation","Xác nhận khóa API"
"ASCII","ASCII"
"Abandoned Carts","Các giỏ hàng bị bỏ rơi"
"About the calendar","Giới thiệu về lịch"
"Access Denied","Truy cập bị từ chối"
"Access denied","Truy cập bị từ chối"
"Access denied.","Truy cập bị từ chối."
"Account Created in:","Tài khoản được tạo vào:"
"Account Created on (%s):","Tài khoản được tạo lúc (%s):"
"Account Created on:","Tài khoản được tạo lúc:"
"Account Information","Thông tin tài khoản"
"Account Status","Trạng thái tài khoản"
"Account status","Trạng thái tài khoản"
"Action","Hành động"
"Actions","Các hành động"
"Actions XML","Các hành động XML"
"Active","Hoạt động"
"Add","Thêm"
"Add Exception","Thêm loại trừ"
"Add Field Mapping","Thêm bản đồ hóa các trường"
"Add Field with URL:","Thêm trường với URL:"
"Add New","Thêm mới"
"Add New Image","Thêm hình ảnh mới"
"Add New Profile","Thêm hồ sơ mới"
"Add New Role","Thêm vai trò mới"
"Add New Template","Thêm mẫu mới"
"Add New URL Rewrite","Thêm sao chép URL mới"
"Add New User","Thêm thành viên mới"
"Add New Variable","Thêm biến mới"
"Add Products","Thêm các sản phẩm"
"Add URL Rewrite","Thêm sao chép URL"
"Add URL Rewrite for a Category","Thêm sao chép URL cho nhóm sản phẩm"
"Add URL Rewrite for a Product","Thêm sao chép URL cho sản phẩm"
"Add after","Thêm vào sau"
"Additional Cache Management","Quản lý bộ nhớ đệm mở rộng"
"Address Type:","Loại địa chỉ:"
"Admin","Quản trị"
"Advanced Admin Section","Khu vực quản trị cao cấp"
"Advanced Profiles","Các hồ sơ cao cấp"
"Advanced Section","Khu vực làm việc cao cấp"
"After authorization application will have access to you account.","Sau khi ủy quyền ứng dụng sẽ có quyền truy cập vào tài khoản của Quý khách."
"All","Tất cả"
"All Allowed Countries","Tất cả các quốc gia được cho phép"
"All Cache","Tất cả các bộ nhớ đệm"
"All Files","Tất cả các tập tin"
"All Reviews","Tất cả các nhận xét"
"All Store Views","Tất cả không gian cửa hàng"
"All Tags","Tất cả các thẻ"
"All Websites","Tất cả các website"
"All countries","Tất cả các quốc gia"
"All fields","Tất cả các trường"
"All possible rates were fetched, please click on ""Save"" to apply","Tất cả các tỷ giá có thể được tải xuống, bấm 'Lưu' để tải xuống"
"All rates were fetched, please click on ""Save"" to apply","Tất cả các tỷ giá có thể được tải xuống, bấm 'Lưu' để tải xuống"
"All valid rates have been saved.""Tất cả các tỷ giá hợp lệ được lưu thành công."
"Always (during development)","Luôn luôn (trong quá trình phát triển)"
"Amounts","Số tiền"
"An error has occured while syncronizing media storages.","Lỗi trong khi đồng bộ các kho lưu trữ truyền thông."
"An error occurred while clearing the JavaScript/CSS cache.","Lỗi trong khi xóa bộ nhớ đệm JavaScript/CSS."
"An error occurred while clearing the image cache.","Lỗi trong khi xóa bộ nhớ đệm hình ảnh."
"An error occurred while deleting URL Rewrite.","Lỗi trong khi xóa sao chép URL."
"An error occurred while deleting email template data. Please review log and try again.","Lỗi trong khi xóa dữ liệu mẫu thư điện tử. Xin xem ""log"" và thử lại"
"An error occurred while deleting record(s).","Lỗi trong khi xóa (các) bản ghi."
"An error occurred while deleting this role.","Lỗi trong khi xóa vai trò này."
"An error occurred while deleting this set.","Lỗi trong khi xóa thiết lập này."
"An error occurred while deleting this template.","Lỗi trong khi xóa mẫu này."
"An error occurred while finishing process. Please refresh the cache","Lỗi trong khi quá trình hoàn tất. Xin làm mới bộ nhớ đệm"
"An error occurred while rebuilding the CatalogInventory Stock Status.","Lỗi trong khi xây dựng lại trạng thái danh mục sản phẩm tồn kho."
"An error occurred while rebuilding the catalog index.","Lỗi trong khi xây dựng lại chỉ mục danh mục sản phẩm."
"An error occurred while rebuilding the flat catalog category.","Lỗi trong khi xây dựng lại danh mục nhóm sản phẩm phẳng."
"An error occurred while rebuilding the flat product catalog.","Lỗi trong khi xây dựng lại danh mục sản phẩm phẳng."
