//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7

"Action","Hành động"
"An error occurred while creating the backup.","Lỗi xảy ra trong khi tạo bản sao lưu."
"An error occurred while writing to the backup file ""%s"".","Lỗi xảy ra trong khi viết tập tin sao lưu ""%s""."
"Are you sure you want to delete the selected backup(s)?","Quý khách có chắc chắn muốn xóa (các) bản sao lưu được chọn?"
"Backup Type","Loại sao lưu"
"Backup file ""%s"" cannot be read from or written to.","Không thể đọc hoặc viết tập tin sao lưu ""%s""."
"Backup file ""%s"" does not exist.","Tập tin sao lưu ""%s"" không tồn tại."
"Backup file does not exist.","Tập tin sao lưu không tồn tại."
"Backup file handler was unspecified.","Trình xử lý tập tin sao lưu không được xác định."
"Backup file not found","Không tìm thấy tập tin sao lưu"
"Backup file path was not specified.","Đường dẫn tập tin sao lưu không được xác định."
"Backups","Sao lưu"
"Cannot read backup file.","Không đọc được tập tin sao lưu."
"Create Backup","Tạo bản sao lưu"
"Database Backup","Sao lưu cơ sở dữ liệu"
"Database and Media Backup","Sao lưu cơ sở dữ liệu và truyền thông"
"Database was successfuly backed up.","Cơ sở dữ liệu được sao lưu thành công."
"Download","Tải xuống"
"Enable Scheduled Backup","Kích hoạt lịch trình sao lưu"
"Failed to connect to FTP","Không thể kết nối đến FTP"
"Failed to delete one or several backups.","Không thể xóa một hoặc một số bản sao lưu."
"Failed to rollback","Không thể khôi phục từ dữ liệu dự phòng"
"Failed to validate FTP","Không thể kiểm chứng FTP"
"Frequency","Tần suất"
"Invalid Password.","Mật khẩu không hợp lệ."
"Maintenance Mode","Chế độ bảo trì"
"Name","Tên"
"Not enough free space to create backup.","Không đủ không gian trống để tạo bản sao lưu."
"Not enough permissions to create backup.","Không đủ quyền để tạo bản sao lưu."
"Not enough permissions to perform rollback","Không đủ quyền để thực hiện khôi phục từ dữ liệu dự phòng"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Xin hoặc bỏ chọn hộp kiểm ""Đưa của hàng về chế độ bảo trì"" hoặc cập nhật vai trò của Quý khách để thực hiện sao lưu."
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Xin hoặc bỏ chọn hộp kiểm ""Đưa của hàng về chế độ bảo trì"" hoặc cập nhật vai trò của Quý khách để thực hiện khôi phục từ dữ liệu dự phòng."
"Put store on the maintenance mode while backup's creation","Đưa cửa hàng về chế độ bảo trì trong khi tạo bản sao lưu"
"Rollback","Khôi phục từ dữ liệu dự phòng"
"Scheduled Backup Settings","Thiết lập lịch trình sao lưu"
"Size, Bytes","Kích thước, Bytes"
"Start Time","Thời gian bắt đầu"
"System Backup","Sao lưu hệ thống"
"System couldn't put store on the maintenance mode","Hệ thống không thể đưa cửa hàng về chế độ bảo trì"
"The database and media backup has been created.","Bản sao lưu dữ liệu và truyền thông đã được tạo."
"The database backup has been created.","Bản sao lưu dữ liệu đã được tạo."
"The file was compressed with Zlib, but this extension is not installed on server.","Tập tin được nén với Zlib, nhưng tiện ích mở rộng này không được cài đặt trên máy chủ."
"The selected backup(s) has been deleted.","(Các) bản sao lưu được chọn đã được xóa."
"The system (excluding Media) backup has been created.","Bản sao lưu hệ thống (bao gồm truyền thông) đã được tạo."
"The system backup has been created.","Bản sao lưu hệ thống đã được tạo."
"Time","Thời gian"
"Type","Loại"
"Unable to create backup. Please, try again later.","Không thể tạo bản sao lưu. Xin thử lại."
"Unable to save the cron expression.","Không thể lưu tiện ích mở rộng 'cron'."
"Wrong order of creation for new backup.","Lỗi sắp xếp tạo bản sao lưu mới."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Quý khách không có đủ quyền để kích hoạt chế độ bảo trì trong quá trình hoạt động này."
