//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7

"# of Use","# được sử dụng"
"%1$s incl tax.","%1$s bao gồm thuế."
"%s - %s","%s - %s"
"%s Item(s)","Các mặt hàng %s"
"%s and above","%s và bên trên"
"(%d)","(%d)"
"(Copy data from: %s)","(Sao chép dữ liệu từ: %s)"
"* Required Fields","* Các trường bắt buộc phải nhập"
"-- Please Select --","-- Xin chọn --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Nếu không được thiết lập, mặc định là 86400. Để làm mới ngay lập tức, xóa bộ nhớ đệm đầu ra HTML các khối."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Cảnh báo!</strong> Áp dụng MAP mặc định sẽ ẩn tất cả các giá sản phẩm trên giao diện khách hàng."
"A group with the same name already exists.","Tên nhóm đã tồn tại."
"A name is required","Bắt buộc phải nhập tên"
"A product type is not defined for the indexer.","Loại sản phẩm không được xác định cho chỉ mục."
"ALL GROUPS","TẤT CẢ CÁC NHÓM"
"AM","Sáng"
"Action","Hoạt động"
"Actual Price","Giá thực tế"
"Add","Thêm"
"Add Attribute","Thêm thuộc tính"
"Add Design Change","Thêm thay đổi thiết kế"
"Add Group","Thêm nhóm"
"Add Group Price","Thêm nhóm giá"
"Add New","Thêm mới"
"Add New Attribute","Thêm thuộc tính mới"
"Add New Attribute Set","Thêm nhóm thuộc tính mới"
"Add New Group","Thêm nhóm mới"
"Add New Images","Thêm hình ảnh mới"
"Add New Option","Thêm tùy chọn mới"
"Add New Row","Thêm dòng mới"
"Add New Search Term","Thêm từ khóa tìm kiếm mới"
"Add New Set","Thêm nhóm mới"
"Add Product","Thêm sản phẩm"
"Add Product To Websites","Thêm sản phẩm vào các website"
"Add Root Category","Thêm nhóm sản phẩm gốc"
"Add Subcategory","Thêm nhóm sản phẩm con"
"Add Tax","Thêm thuế"
"Add Tier","Thêm mức"
"Add attribute into attribute set","Thêm thuộc tính và nhóm thuộc tính"
"Add group into attribute set","Thêm nhóm vào nhóm thuộc tính"
"Add new custom option into product","Thêm tùy chọn tùy chỉnh mới vào sản phẩm"
"Add new values into custom option","Thêm các giá trị mới vào tùy chọn tùy chỉnh"
"Add option","Thêm tùy chọn"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào so sánh"
"Add to Wishlist","Thêm vào sản phẩm yêu thích"
"Additional Information","Thông tin thêm"
"Alert Urls","Các URL cảnh báo"
