//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7

"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","Quy tắc giá cả danh mục %d dựa trên thuộc tính ""%s"" đã được vô hiệu hóa."
"Actions","Các hành động"
"Active","Hoạt động"
"Add New Rule","Thêm quy tắc mới"
"An error occurred while deleting the rule. Please review the log and try again.","Lỗi trong khi xóa quy tắc này. Xin xem 'log' và thử lại."
"An error occurred while saving the rule data. Please review the log and try again.","Lỗi trong khi lưu dữ liệu quy tắc. Xin xem 'log' và thử lại."
"Apply","Áp dụng"
"Apply Rules","Áp dụng các quy tắc"
"Attribute Set","Nhóm thuộc tính"
"By Fixed Amount","Theo số lượng cố định"
"By Percentage of the Original Price","Theo phần trăm giá gốc"
"Catalog","Danh mục"
"Catalog Price Rule","Danh mục quy tắc giá"
"Catalog Price Rules","Danh mục các quy tắc giá"
"Category","Nhóm sản phẩm"
"Conditions","Các điều kiện"
"Conditions (leave blank for all products)","Các điều kiện (để trống cho tất cả các sản phẩm)"
"Conditions Combination","Kết hợp các điều kiện"
"Customer Groups","Các nhóm khách hàng"
"Date Expire","Ngày hết hạn"
"Date From","Từ ngày"
"Date Start","Ngày bắt đầu"
"Date To","Đến ngày"
"Description","Mô tả"
"Discount Amount","Số lượng giảm giá"
"Edit Rule","Chỉnh sửa quy tắc"
"Edit Rule '%s'","Chỉnh sửa quy tắc '%s'"
"Enable Discount to Subproducts","Kích hoạt giảm giá cho các sản phẩm con"
"From Date","Từ ngày"
"General Information","Thông tin chung"
"ID","ID"
"Inactive","Không hoạt động"
"New Rule","Quy tắc mới"
"No","Không"
"Options","Các tùy chọn"
"Priority","Ưu tiên"
"Product Attribute","Thuộc tính sản phẩm"
"Promotions","Khuyến mãi"
"Rule Information","Thông tin quy tắc"
"Rule Name","Tên quy tắc"
"Save and Apply",":Lưu và áp dụng"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Status","Trạng thái"
"Stop Further Rules Processing","Dừng xử lý các quy tắc"
"The rule has been deleted.","Quy tắc đã được xóa."
"The rule has been saved.","Quy tắc đã được lưu."
"The rules have been applied.","Quy tắc đã được áp dụng."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Các quy tắc đã được thay đổi nhưng không được áp dụng."
"This rule no longer exists.","Không tồn tại quy tắc này."
"To Date","Đến ngày"
"To Fixed Amount","Theo số lượng cố định"
"To Percentage of the Original Price","Theo tỷ lệ phần trăm của giá gốc"
"Unable to apply rules.","Không thể áp dụng các quy tắc."
"Unable to find a rule to delete.","Không tìm thấy quy tắc để xóa."
"Update Prices Using the Following Information","Cập nhật các giá sử dụng thông tin sau"
"Update product's %s %s: %s","Cập nhật %s %s của sản phẩm: %s"
"Website","Website"
"Websites","Các website"
"Wrong rule specified.","Sai quy tắc xác định."
"Yes","Có"
