and,và
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolute path or Relative to Magento install root, ex. var/export)"
"(For US 2-letter state names)","(For US 2-letter state names)"
"(If left empty will be auto-generated)","(If left empty will be auto-generated)"
"(Leave empty for first spreadsheet)","(Leave empty for first spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)"
(Shift-)Click or drag to change value,(Shift-)Click hoặc kéo để thay đổi giá trị
(Starting with),(Bắt đầu với)
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\\t for tab)","(\\t for tab)"
- Click on any of the time parts to increase it,- Click vào bất kỳ phần nào của thời gian để tăng giá trị
- Hold mouse button on any of the above buttons for faster selection.,- Giữ phím chuột hoặc phím bất kỳ trên đây để lựa chọn nhanh hơn
- Use the %s buttons to select month,- Sử dụng phím %s để chọn tháng
"- Use the %s, %s buttons to select year","- Sử dụng phím %s, %s để chọn năm"
- or Shift-click to decrease it,- hoặc nhấn Shift-click để tăng giá trị
- or click and drag for faster selection.,- hoặc click và kéo để lựa chọn nhanh hơn
"API:","API:"
About the calendar,Về lịch
Access Denied.,Truy cập bị từ chối.
Account Created in:,Tài khoản khởi tạo vào:
Account Created on (%s):,Tài khoản khởi tạo vào lúc (%s):
Account Created on:,Tài khoản được khởi tạo vào lúc:
Action,Hành động
Actions,Các hành động
Add Contents Path,Thêm đường dẫn các nội dung
Add Field with URL:,Thêm trường với URL:
"Add Maintainer","Add Maintainer"
Add New Role,Thêm vai trò (role) mới
Add New Template,Thêm Template mới
Add New User,Thêm người dùng mới
Add PHP Extension dependency,Thêm PHP Extension dependency
Add Package dependency,Thêm gói phụ thuộc
Add Subpackage dependency,Thêm gói con phụ thuộc
Address Type:,Loại địa chỉ:
All,Tất cả
All Websites,Tất cả website
All fields,Tất cả các trường
"Archive file name:","Archive file name:"
Are you sure that you want to delete this template?,Bạn có chắc chắn xóa template này không?
Are you sure that you want to strip tags?,Bạn có chắc chắn bỏ tags này không?
Attribute Set Name:,Tên thiết lập thuộc tính:
Attributes,Các thuộc tính
Available Products,Các sản phẩm hiện có
Big Image,Ảnh lớn
Billing Address,Địa chỉ thanh toán
"Bundle Items","Bundle Items"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"CSV / Tab separated","CSV / Tab separated"
"Card Verification Number","Card Verification Number"
"Catalog","Catalog"
Channel,Kênh
Channel:,Kênh:
"Choose Store View","Choose Store View"
"Client Session timeout (sec.)","Client Session timeout (sec.)"
Close,Đóng
Comments History,Lịch sử nhận xét
Confirmed email:,Email được xác nhận:
Connect with the Magento Community,Kết nối với cộng đồng Magento
Contents,Các nội dung
Country:,Quốc gia:
"Credit Card Number","Credit Card Number"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
Credit Card Type,Loại Credit Card
"Credit Card Type: %s","Credit Card Type: %s"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
Current Configuration Scope:,Phạm vi cấu hình hiện tại:
Current Release Information,Thông tin phát hành hiện thời
Custom,Tùy chọn
Customer Group:,Nhóm khách hàng:
Customer Since:,Khách hàng từ:
Customers,Các khách hàng
"DHTML Date/Time Selector","DHTML Date/Time Selector"
Dashboard,Bảng thông tin
Data Format,Định dạng dữ liệu
Data transfer:,Truyền dữ liệu:
Date selection:,Lựa chọn ngày:
Date selector,Lựa chọn ngày
Date:,Ngày:
Decimal separator:,Phân cách thập phân:
Default (Admin) Values,Giá trị (Admin) mặc định
Default Values,Các giá trị mặc định
Delete,Xóa
"Dependencies","Dependencies"
Description:,Mô tả:
Direction:,Chỉ dẫn:
Display %s first,Hiển thị %s trước tiên
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
Done By:,Thực hiện bởi:
Done by:,Thực hiện bởi:
"Download Remote File","Download Remote File"
Drag to move,Kéo để di chuyển
Edit Role,Sửa vai trò (role)
Edit User '%s',Sử người dùng '%s'
"Email","Email"
Email Preview,Xem trước email
"Email:","Email:"
"Enclose Values In:","Enclose Values In:"
"Entity type:","Entity type:"
"Excl. Tax","Excl. Tax"
"Exclude","Exclude"
Expiration Date,Ngày hết hạn
Expiration Date: %s/%s,Ngày hết hạn: %s/%s
Export,Xuất
Export Filters,Các bộ lọc xuất
Export to:,Xuất ra:
Export:,Xuất:
Extension,Phần mở rộng
Extensions,Các phần mở rộng
"FTP Host[:Port]","FTP Host[:Port]"
Field Mapping,Ánh xạ trường
File Information,Thông tin file
File name:,Tên file:
Final Price,Giá cuối cùng
First Name:,Họ:
"For latest version visit: %s","For latest version visit: %s"
From,Từ
General Settings,Các thiết lập chung
Get help for this page,Tìm trợ giúp cho trang này
Global Record Search,Tìm kiếm toàn cục
Go Today,Đến hôm nay
"Google Base Items","Google Base Items"
Group:,Nhóm:
"Help Us Keep Magento Healthy - Report All Bugs","Help Us Keep Magento Healthy - Report All Bugs"
Ignore,Bỏ qua
Images,Các ảnh
Import,Nhập
Import Service,Dịch vụ nhập
In Database:,Trong CSDL:
In File:,Trong File:
Inactive,Không kích hoạt
"Incl. Tax","Incl. Tax"
Include,Bao gồm
Installed As,Được cài đặt như
"Interactive","Interactive"
"Interface Locale: %s","Interface Locale: %s"
"Invalid webservice adapter specified","Invalid webservice adapter specified"
"Invalid webservice handler specified","Invalid webservice handler specified"
Invoice History,Lịch sử hóa đơn
Invoice Totals,Tổng số hóa đơn
"Issue Number","Issue Number"
"Issuer: %s","Issuer: %s"
Last 5 Orders,5 đơn hàng gần đây nhất
Last 5 Search Terms,5 từ khóa tìm nhiều nhất
"Last Logged In (%s):","Lần đăng nhập cuối (%s):"
"Last Logged In:","Lần đăng nhập cuối:"
Last Name:,Tên:
Latest Message:,Thư gần đây nhất:
Leave empty to use tax identifier,Bỏ trống để sử dụng tax identifier
Level,Cấp bậc
License:,Bản quyền:
Loading...,Đang tải...
"Local Server","Local Server"
"Local/Remote Server","Local/Remote Server"
Log Out,Đăng xuất
"Logged in as %s","Đăng nhập với tên %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Magento Core Api Section"
Magento Logo,Biểu tượng Magento
Magento ver. %s,Magento phiên bản. %s
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Maintainers"
Manage Stores,Quản lý kho hàng
Max,Tối đa
Min,Tối thiểu
"N/A","N/A"
Name,Tên
Name on Card,Tên ghi trên thẻ
Name on the Card: %s,Tên ghi trên thẻ: %s
