* Required Fields,* Trường bắt buộc
Comment,Bình luận
Contact Form,Form liên hệ
Contact Information,Thông tin liên hệ
Contact Us,Liên hệ với chúng tôi
Contacts,Liên hệ
Contacts Section,Section liên hệ
"Email","Email"
Email Options,Tùy chọn email
Email Sender,Người gửi email
"Email Template","Email Template"
Enable Contact Us,Bật tính năng liên hệ với chúng tôi
Name,Tên
Send Emails To,Gửi email đến
Submit,Gửi
Telephone,Điện thoại
"Unable to submit your request. Please, try again later",Không thể gửi yêu cầu của bạn. Vui lòng thử lại sau.
Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.,Yêu cầu của bạn đã được gửi. Chúng tôi sẽ trả lời bạn sớm nhất có thể. Rất cám ơn bạn đã liên hệ với chúng tôi.
