"* Required Fields","* Các trường bắt buộc"
"A new password was sent","Mật khẩu mới đã được gửi"
"Account Dashboard","Bảng Điều Khiển"
"Account Information","Thông tin tài khoản"
"Account Sharing Options","Các tùy chọn chia sẻ tài khoản"
"Account information was successfully saved","Thông tin tài khoản đã được lưu"
"Action","Action"
"Add New Address","Thêm địa chỉ mới"
"Add New Customer","Thêm khách hàng mới"
"Add New Customer Group","Thêm nhóm khách hàng mới"
"Added From","Được thêm từ"
"Additional Address Entries","Địa chỉ khác đã được thêm vào"
"Address","Địa chỉ"
"Address Book","Địa chỉ"
"Address Information","Địa chỉ"
"Addresses","Các địa chỉ"
"Admin","Admin"
"All","Tất cả"
"All Store Views","Tất cả Store Views"
"All countries","Tất cả các quốc gia"
"Always optional","Luôn tùy chọn"
"Amount","Khoản"
"Approved","Approved"
"Are you sure that you want to remove this item?","Bạn có chắc chắn muốn bỏ sản phẩm này?"
"Are you sure you want to cancel adding of this address?","Bạn có muốn hủy thao tác thêm của địa chỉ?"
"Are you sure you want to delete this address?","Bạn có chắc muốn xóa địa chỉ này?"
"Are you sure?","Bạn có chắc?"
"Array of Entity collections is expected","Array of Entity collections is expected"
"Assign a customer group","Gán một nhóm khách hàng"
"Average Sale","Lượng bán trung bình"
"Back","Trở lại"
"Back to Login","Quay lại trang đăng nhập"
"Bad request.","Sai yêu cầu."
"Bill to Name","Hóa đơn cho tên"
"Billing Information","Thông tin hóa đơn"
"Bought From","Mua từ"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Tạo tài khoản trên website, bạn có thể mua hàng và thanh toán nhanh hơn, sử dụng nhiều địa chỉ nhận hàng, xem và theo dõi đơn hàng trong tài khoản và nhiều hơn thế nữa."
"CSV","CSV"
"Can\'t save address","Không thể lưu địa chỉ"
"Can\'t save customer","Không thể lưu khách hàng"
"Can\'t share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Không thể chi sẻ tài khoản khách hàng trên toàn trang. Vì có khách hàng với cùng địa chỉ email tồn tại nhiều tên website mà không thể gộp lại được."
"Cancel","Hủy"
"Change Account Password","Thay đổi mật khẩu tài khoản"
"Change Billing Address","Thay đổi địa chỉ thanh toán"
"Change Password","Thay đổi mật khẩu"
"Change Shipping Address","Thay đổi địa chỉ chuyển hàng"
"City","Thành phố"
"Company","Công ty"
"Config","Cấu hình"
"Confirm New Password","Xác nhận mật khẩu mới"
"Confirm Password","Xác nhận mật khẩu"
"Confirmation Link Email","Xác nhận đường dẫn email"
"Confirmed","Đã xác nhận"
"Contact Information","Thông tin liên hệ"
"Continue Shopping","Tiếp tục mua hàng"
"Country","Quốc gia"
"Create","Khởi tạo"
"Create New Account Options","Tạo tùy chọn tài khoản mới"
"Create New Customer Account","Tạo tài khoản khách hàng mới"
"Create Order","Tạo đơn hàng"
"Create an Account","Tạo tài khoản"
"Create customer","Tạo khách hàng"
"Create customer address","Tạo địa chỉ khách hàng"
"Current Password","Mật khẩu hiện tại"
"Customer","Khách hàng"
"Customer Addresses","Các địa chỉ của khách hàng"
"Customer Api","Api khách hàng"
"Customer Configuration","Thiết lập khách hàng"
"Customer Group","Nhóm khách hàng"
"Customer Group was successfully deleted","Nhóm khách hàng đã được xóa"
"Customer Group was successfully saved","Nhóm khách hàng đã được lưu"
"Customer Groups","Các nhóm khách hàng"
"Customer Information","Thông tin khách hàng"
"Customer Login","Khách hàng đăng nhập"
"Customer Since","Là khách hàng từ"
"Customer View","Xem khách hàng"
"Customer collection expected","Customer collection expected"
"Customer doesn't have primary billing address","Khách hàng không có địa chỉ thanh toán chính"
"Customer email already exists","Email khách hàng đã tồn tại"
"Customer website id must be specified, when using website scope.","ID website khách hàng phải được chỉ định khi sử dụng phạm vi website."
"Customers","Các khách hàng"
"Customers Only","Chỉ các khách hàng"
"Customers Section","Customers Section"
"DD","DD"
"Date","Ngày"
"Date Added","Ngày được thêm"
"Date of Birth","Ngày sinh"
"Date of Birth is required.","Bắt buộc nhập ngày sinh."
"Day","Ngày"
"Days in Wishlist","Ngày trong danh sách ưa thích"
"Default Addresses","Các địa chỉ mặc định"
"Default Billing Address","Địa chỉ thanh toán"
"Default Email Domain","Tên miền email mặc định"
"Default Group","Nhóm mặc định"
"Default Shipping Address","Địa chỉ chuyển hàng"
"Default Welcome Email","Email chào mừng mặc định"
"Delete","Xóa"
"Delete Address","Xóa địa chỉ"
