Abandoned carts,Giỏ hàng đã bỏ
Action,Hành động
Add to Cart,Giỏ hàng
Add to Compare,Thêm vào so sánh
Add to Wishlist,Thêm vào mục mong muốn
All,Tất cả
Applied Coupon,Phiếu thưởng đã áp dụng
Avg. approved rating,Đánh giá trung bình đã chấp nhận
Avg. rating,Đánh giá trung bình
Bestsellers,Bán chạy nhất
Bought from wishlists,Mua từ mục mong muốn
CSV,CSV
Carrier/Method,Vận chuyển/Cách thức
Carts,Giỏ hàng
Coupons,Phiếu thưởng
Created at,Tạo tại
Customer,Khách hàng
Customer name,Tên khách hàng
Customer tags,Tags khách hàng
Customers,Khách hàng
Customer report,Thông báo khách hàng
Customers reviews,Nhận xét của khách hàng
Customers tags,Tags của khách hàng
Customer by number of orders,Khác hàng theo số đơn hàng
Customer by orders total,Khách hàng theo tổng số đơn hàng
Customer that have wishlist: %s%,Khách hàng có mục mong muốn: %s%
Day,Ngày
Default Recently Compared Products count,Đếm các sản phẩm so sánh mặc định gần đây
Default Recently Viewed Products count,Đếm các sản phẩm xem mặc định gần đây
Detail,Chi tiết
Discounts,Giảm giá
Downloads,Tải về
Email,Email
Excel,Excel
First Name,Tên
Guest,Khách
Hits,Hits
ID,ID
Invalid date specified,Ngày cung cấp không đúng
Invoiced,Đã lập hóa đơn
Items Ordered,Sản phẩm mua
Items in Cart,Sản phẩm trong giỏ hàng
Last Name,Họ
Last Review,Nhận xét gần đây
Link,Link
Low stock,Ít hàng
Month,Tháng
Most Viewed,Xem nhiều nhất
Most viewed,Xem nhiều nhất
Name,Tên
New Accounts,Tài khoản mới
Number Added,Số đã nhập
Number Fulfilled,Điền đầy đủ số
Number Of Historical Uses,Số sử dụng trước đây
Number Of Reviews,Số nhận xét
Number Of Uses,Số sử dụng
Number Purchased,Số mua
Number Viewed,Số xem
Number of Items,Số sản phẩm
Number of Ivoiced Orders,Số đơn hàng lên hóa đơn
Number of New Accounts,Số tài khoản mới
Number of Orders,Số lượng các đơn đặt hàng
Number of Refunded Orders,Số đơn hàng đã hoàn trả lại tiền
Number of Reviews,Số nhận xét
Number of Total tags,Tống số Tags
Number of Unique Tags,Tống số Tags duy nhất
Number of Views,Số lần xem
Number of items bought from a wishlist: %s,Số sản phẩm mua từ mục mong muốn: %s
Number of times deleted,Số lần xóa
Number of times wishlists have been shared (emailed): %s,Số lần mục mong muốn được chia sẻ(emailed): %s
Number of wishlist conversions: %s,Số sản phẩm mong muốn được quy đổi: %s
Number of wishlist referrals: %s,Số sản phảm mong muốn được chuyển: %s
Number of wishlists: %s,Số mục mong muốn: %s
Offline Refunded,Hoàn trả tiền không trực tuyến
Online Refunded,Hoàn trả tiền trực tuyến
Orders,Đơn hàng
Out of stock,Hết hàng
Poducts Report,Thông báo sản phẩm
Popular Tags,Tags phổ biến
Popularity,Mật độ
Price,Giá
Product Name,Tên sản phẩm
Product Reviews,Nhận xét sản phẩm
Product Sku,Sku Sản phẩm
Product Tags,Tags Sản phẩm
Products,Sản phẩm
Products Report,Thông báo sản phẩm
Products Reviews,Nhận xét sản phẩm
Products Tags,Tags sản phẩm
Products in carts,Sản phẩm trong giỏ hàng
Purchases,Mua
Quantity Ordered,Số lượng đã đặt
Quantity of Items,Số sản phẩm
Rate,Đánh giá
Recently Compared Products,Sản phẩm so sánh gần đây
Recently Viewed Products,Sản phẩm xem gần đây
Recently Viewed/Compared Products,Sản phẩn xem/so sánh gần gây
Refunded,Hoàn trả tiền
Reports,Báo cáo
Results,Kết quả
Revenue,Thu nhập
Review,Nhận xét
Reviews,Nhận xét
Reviews for %s,Nhận xét cho %s
Sales,Bán hàng
Sales Report,Báo cáo bán hàng
Search Terms,Tìm sản phẩm
Shipping,Chuyển hàng
Shopping Cart,Giỏ mua hàng
Show for Current,Hiển thị hiện hành
Stock Qty,Số lượng trong kho
Submitted In,Gửi vào
Submitted On,Gửi trên
Subtotal,Tổng tiền hàng
Tag,Tag
"Tag ""%s"" details","Tag ""%s"" chi tiết"
Tag Detail,Chi tiết Tag
Tag Name,Tên Tag
Tag use,Tag dùng
Tags submited by %s,Tags gửi bởi %s
Tags submitted to %s,Tags gửi tới %s
Tax,Thuế
Tax Amount,Lượng thuế
Title,Tiêu đề
Total,Tổng số
Total Invoiced,Tổng số lập hóa đơn
Total Invoiced Captured,Tổng số lập hóa đơn lập nhận được
Total invoiced not captured,Tổng số hóa đơn lập chưa nhận được
Total refunded,Tổng số hoàn trả tiền
Total shipping,Tổng số chuyển hàng
Total tags,Tổng số Tags
Total invoiced,Tống số hóa đơn lập
Total refunded,Tổng số hoàn trả tiền
Updated at,Cập nhật tại
Visible In,Hiển thị trong
Wishlist Report,Báo cáo mục mong muốn
Wishlist vs. Regular Order,Mục mong muốn với đơn hàng thông thường
Wishlists,Mục mong muốn
Year,Năm
Your Recently Compared,Bạn so sánh gần đây
Your Recently Viewed,Bạn xem gần đây
