The customer doesn\'t exist in the system anymore,Khách hàng không tồn tại trong hệ thống nữa.
"""%s"" coupon code is not valid.","""%s"" mã phiếu thưởng khống đúng."
%s / %s rate:,%s / %s tỉ lệ:
%s for %s,%s cho %s
%s order(s) successfully canceled,%s đơn hàng đã hủy bỏ thành công
%s order(s) successfully put on hold,%s đơn hàng đã chờ thành công
%s order(s) successfully released from holding status,%s đơn hàng đã bỏ trạng thái chờ thành công
* - Enter custom price excluding tax,* - Nhập giá khách hàng không bao gồm cả thuế
* - Enter custom price including tax,* - Nhập giá khách hàng bao gồm cả thuế
About This Order:,Về đơn hàng này:
About Your Order,Về đơn hàng của bạn
Account Information,Thông tin tài khoản
Action,Hành động
Actions,Hành động
Add,Thêm
Add Gift Messsage,Thêm tin nhắn có quà
Add New Address,Thêm địa chỉ mới
Add Order Comments,Thêm nhận xét mới
Add Products,Thêm sản phẩm
Add Selected Product(s) to Option,Thêm sản phẩm đã lấy để chọn
Add Selected Product(s) to Order,Thêm sản phẩm đã lấy để mua
Add To Order,Thêm để mua
Add Tracking Number,Thêm số theo dõi
Add a gift message for <strong>each gift item</strong>,Thêm tin nhắn quà cho <strong>mỗi sản phẩm quà</strong>
Add a gift message for the <strong>entire order</strong>,Thêm tin nhắn quà cho <strong>tất cả đơn hàng</strong>
Add comment to order,Thêm nhận xét cho đơn hàng
Add new comment to shipment,Thêm nhận xét cho vận chuyển
Add new tracking number,Thêm số theo dõi
Add to Cart,Giỏ hàng
Address,Địa chỉ
Adjustment Fee,Phí điều chỉnh
Adjustment Fee:,Phí điều chỉnh:
Adjustment Refund,Hoàn tiền điều chỉnh
Adjustment Refund:,Hoàn tiền điều chỉnh:
Allow Reorder,Cho phép đặt hàng lại
Amount,Lượng
Append Comments,Gắn nhận xét
Apply,Thực hiện
Apply coupon,Thực hiện
Apply Coupon Code,Thực hiện mã phiếu thưởng
Are you sure you want to cancel this order?,Bạn có chắc hủy đơn hàng này?
Are you sure?,Bạn có chắc chắn không?
Are you sure? This order will be cancelled and a new one will be created instead,Bạn có chắc chắn không? Đơn hàng này sẽ bị hủy và đơn hàng mới sẽ được tạo.
Back to My Orders,Quay về mục đơn hàng của tôi
Backordered,Quay về đơn hàng
Bill to First name,Tên người lấy hóa đơn
Bill to Last name,Họ người lấy hóa đơn
Bill to Name,Tên người lấy hóa đơn
Billing Address,Địa chỉ thanh toán hóa đơn
Buy %s for price %s,Mua %s với giá %s
Can not add order history.,Không thể thêm vào lịch sử đơn hàng.
"Can not create block ""%s""","Không thể tạo các khối ""%s"""
Can not do invoice for order.,Không thể tạo hóa đơn cho đơn hàng.
Can not do shipment for order.,Không thể chuyển hàng cho đơn hàng.
Can not register existing creditmemo,Không thể đăng ký bản ghi nhớ thể tín dụng có sẵn
Can not register existing invoice,Không thể đăng ký hóa đơn đã có
Can not register existing shipment,Không thể đăng ký chuyển hàng đã có
Can\'t get order instance,Không thể có đơn hàng ngay lập tức
Cancel,Hủy
Cancel invoice,Hủy hóa đơn
Cancel order,Hủy đơn hàng
Canceled,Đã hủy
Cannot create an empty shipment.,Không thể tạo chuyển hàng rỗng.
Capture,Lấy
Capture Amount,Lượng lấy
Capture Offline,Lấy không trực tuyến
Capture Online,Lấy trực tuyến
Capture invoice,Lấy hóa đơn
Carrier,Vận chuyển
Change Status,Thay đổi trạng thái
"Change status, add comments","Thay đổi trạng thái, thêm nhận xét"
Checkout totals sort order,Sắp xếp tổng mục thanh toán
Click to change shipping method,Click để đổi các chuyển hàng
Closed,Đã đóng
Comment,Nhận xét
Comment Text,Nội dung nhận xét
Comments,Nhận xét
Comments History,Lịch sử nhận xét
Complete,Hoàn thành
Country,Nước
Coupons,Phiếu thưởng
Create,Tạo
Create New Customer,Tạo khách hàng mới
Create New Order,Tạo đơn hàng mới
Create New Order for %s,Tạo đơn hàng mới cho %s
Create New Order for %s in %s,Tạo đơn hàng mới cho %s trong %s
Create New Order for New Customer,Tạo đơn hàng mới cho khách hàng mới
Create New Order for New Customer in %s,Tạo đơn hàng mới cho khách hàng mới trong %s
Create Shipment,Tạo chuyển hàng
Create new invoice for order,Tạo hóa đơn mới cho đơn hàng
Create new shipment for order,Tạo vận chuyển mới cho đơn hàng
Created At,Tạo vào
Credit Memo,Bản ghi nhớ thẻ tín dụng
Credit Memo #,Bản ghi nhớ thẻ tín dụng #
Credit Memo #,Bản ghi nhớ thẻ tín dụng #
Credit Memo Comment Email Sender,Người gửi Email nhận xét bản ghi nhớ thẻ tín dụng
Credit Memo Comment Email Template,Mẫu Mail nhận xét bản ghi nhớ thẻ tín dụng
Credit Memo Comment Email Template for Guest,Mẫu Mail nhận xét bản ghi nhớ thẻ tín dụng cho khách
Credit Memo Comments,Nhận xét bản ghi nhớ thẻ tín dụng
Credit Memo Email Sender,Email người gửi bản ghi nhớ thẻ tín dụng
Credit Memo Email Template,Mẫu Email bản ghi nhớ thẻ tín dụng
Credit Memo Email Template for Guest,Mẫu Email bản ghi nhớ thẻ tín dụng cho khách
Credit Memo Update,Cập nhật bản ghi nhớ thẻ tín dụng
Credit Memo Update for Guest,Cập nhật bản ghi nhớ thẻ tín dụng cho khách
Credit Memo email not sent,Không gửi được email bản ghi nhớ thẻ tín dụng
Credit Memo email sent,Đã gửi email bản ghi nhớ thẻ tín dụng
Credit Memos,Bản ghi nhớ thẻ tín dụng
Creditmemo,Bản ghi nhớ thẻ tín dụng
Custom Options,Tùy chọn của khách hàng
Custom Price,Giá khách hàng
Custom Value,Giá trị khách hàng
Customer,Khách hàng
Customer Group,Nhóm khách hàng
Customer Name,Tên khách hàng
Customer\'s Current Activities,Các hoạt động gần đây của khách hàng
Date,Ngày
Date Shipped,Ngày chuyển hàng
Date of Birth,Ngày sinh
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Logo mặc định, sẽ sử dụng tài liệu dạng PDF và HTML.<br />(jpeg, tiff, png)"
Delete,Xóa
Description message,Nội dung tin nhắn
Discount,Giảm giá
Discount,Giảm giá
Discount (%s),Giảm giá (%s)
Discount :,Giảm giá :
Discount Amount,Lượng giảm giá
Discount%s,Giảm giá%s
Display Order ID in Header,Hiện ID đơn hàng ở trên đầu
"Document","Document"
"Edit","Edit"
"Edit Gift Messsage","Edit Gift Messsage"
"Edit Order #%s","Edit Order #%s"
"Email","Email"
"Email Copy of Credit Memo","Email Copy of Credit Memo"
"Email Copy of Invoice","Email Copy of Invoice"
"Email Copy of Shipment","Email Copy of Shipment"
"Email Order Confirmation","Email Order Confirmation"
"Enable","Enable"
"Enabled","Enabled"
"Error to show in shopping cart","Error to show in shopping cart"
"Excl. Tax","Excl. Tax"
"From","From"
"From Name","From Name"
"From:","From:"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Purchased)"
"Get shipping methods and rates","Get shipping methods and rates"
"Gift","Gift"
"Gift Certificate","Gift Certificate"
"Gift Message","Gift Message"
"Gift Message for Entire Order","Gift Message for Entire Order"
"Gift Message for this Order","Gift Message for this Order"
"Grand Total","Tính tổng"
"Grand Total to be charged","Grand Total to be charged"
"Grand Total:","Tính tổng":"
"Guest","Khách"
"Hold","Hold"
"Hold action is not available","Hold action is not available"
"Hold order","Hold order"
"ID","ID"
"If empty, the default description above will be used","If empty, the default description above will be used"
"If empty, the default error above will be used","If empty, the default error above will be used"
"Incl. Tax","Incl. Tax"
"Information","Thông tin"
"Invalid carrier specified.","Invalid carrier specified."
"Invalid item option format","Invalid item option format"
"Invalid qty to invoice item ""%s""","Invalid qty to invoice item ""%s"""
"Invalid qty to refund item ""%s""","Invalid qty to refund item ""%s"""
"Invalid qty to ship for item ""%s""","Invalid qty to ship for item ""%s"""
"Invalid renderer model","Invalid renderer model"
"Invalid request for adding product to quote","Invalid request for adding product to quote"
"Invoice","Invoice"
"Invoice #","Invoice #"
"Invoice # ","Invoice # "
"Invoice #%s","Invoice #%s"
"Invoice Comment Email Sender","Invoice Comment Email Sender"
"Invoice Comment Email Template","Invoice Comment Email Template"
"Invoice Comment Email Template for Guest","Invoice Comment Email Template for Guest"
"Invoice Comments","Invoice Comments"
"Invoice Date","Invoice Date"
"Invoice Email Sender","Invoice Email Sender"
"Invoice Email Template","Invoice Email Template"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Invoice Update","Invoice Update"
"Invoice Update for Guest","Invoice Update for Guest"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Invoice can not be canceled","Invoice can not be canceled"
"Invoice can not be captured","Invoice can not be captured"
"Invoice can not be void","Invoice can not be void"
"Invoice cancel problem","Invoice cancel problem"
"Invoice capture problem","Invoice capture problem"
"Invoice email not sent","Invoice email not sent"
"Invoice email sent","Invoice email sent"
"Invoice void problem","Invoice void problem"
"Invoiced","Invoiced"
"Invoices","Invoices"
"Item","Item"
"Item Status","Item Status"
"Item object is not specified.","Item object is not specified."
"Item option with code %s already exist","Item option with code %s already exist"
"Item options declare error","Item options declare error"
"Item ordered qty","Item ordered qty"
"Item qty declare error","Item qty declare error"
"Items Invoiced","Items Invoiced"
"Items Ordered","Items Ordered"
"Items Refunded","Items Refunded"
"Items Shipped","Items Shipped"
"Items options declare error.","Items options declare error."
"Items to Invoice","Items to Invoice"
"Items to Refund","Items to Refund"
"Items to Ship","Items to Ship"
"Last ordered items","Sản phẩm đặt hàng mới nhất"
"Link to the new order","Link to the new order"
"Link to the previous order","Link to the previous order"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)"
"Logo for HTML print view","Logo for HTML print view"
"Logo for PDF print-outs (200x50)","Logo for PDF print-outs (200x50)"
"Message","Message"
"Message:","Message:"
"Minimum amount","Minimum amount"
"Minimum order amount","Minimum order amount"
"Mixed","Mixed"
"Move to Shopping Cart","Move to Shopping Cart"
"Move to Wishlist","Move to Wishlist"
"Multi-address description message","Multi-address description message"
"Multi-address error to show in shopping cart","Multi-address error to show in shopping cart"
"My Orders","My Orders"
"My Orders - Details","My Orders - Details"
"Name","Name"
"New","New"
"New Credit Memo","New Credit Memo"
"New Credit Memo for Guest","New Credit Memo for Guest"
"New Invoice","New Invoice"
"New Invoice for Guest","New Invoice for Guest"
"New Order","New Order"
"New Order Confirmation Email Sender","New Order Confirmation Email Sender"
"New Order Confirmation Template","New Order Confirmation Template"
"New Order Confirmation Template for Guest","New Order Confirmation Template for Guest"
"New Order RSS","New Order RSS"
"New Order for Guest","New Order for Guest"
"New Shipment","New Shipment"
"New Shipment for Guest","New Shipment for Guest"
"New Status","New Status"
"Newsletter Subscription","Newsletter Subscription"
"No Items","No Items"
"No Items To Refund","No Items To Refund"
"No Payment Methods","No Payment Methods"
"No detail for number ""%s""","No detail for number ""%s"""
"No items","No items"
"No ordered items","No ordered items"
"No shipping information available","No shipping information available"
"Not Capture","Not Capture"
"Not Notified","Not Notified"
"Notified","Notified"
"Notify Customer","Notify Customer"
"Number","Number"
