"Add Recipient","Thêm người nhận"
"Allow for Guests","Cho phép khách"
"Email Address","Địa chỉ email"
"Email Address:","Địa chỉ email:"
"Email templates","Email templates"
"Email to a Friend","Gửi email cho bạn bè"
"Email:","Email:"
"Enabled","Bật"
"Limit Sending By","Giới hạn gửi bằng"
"Link to a friend was sent.","Đường dẫn cho bạn bè đã được gửi."
"Max Products Sent in 1 Hour","Số sản phẩm tối đa gửi trong một giờ"
"Max Recipients","Số lượng người nhận tối đa"
"Maximum %d email addresses allowed.","Số email tối đa được phép %d."
"Message:","Message:"
"Name","Tên"
"Name:","Tên:"
"Recipient:","Người nhận:"
"Remove Email","Bỏ email"
"Select email template","Lựa chọn email template"
"Send email","Gửi email"
"Send Email","Gửi email"
"Send product to a friend","Gửi sản phẩm cho bạn bè"
"Sender:","Người gửi:"
"Some emails was not sent","Một số email chưa được gửi"
"Some problems with data.","Có lỗi với dữ liệu."
"The link to a friend was sent.","Đường dẫn cho bạn bè đã được gửi."
"You cannot email this product to a friend","Không thể gửi email này cho bạn bè"
"You cannot send more than %d times in an hour","Không thể gửi nhiều hơn %d lần trong một giờ"
