"About the calendar","Về lịch"
"(Absolute path or Relative to Magento install root, ex. var/export)","@FIXME: (Đường dẫn tuyệt đối hay tương đối để Magento cài đặt gốc, ex. Var / xuất khẩu)"
"Access denied.","Truy cập bị từ chối"
"Access Denied.","Truy cập bị từ chối."
"Account Created in:","Tài khoản khởi tạo vào:"
"Account Created on (%s):","Tài khoản khởi tạo vào lúc (%s):"
"Account Created on:","Tài khoản được khởi tạo vào lúc:"
Action,"Hành động"
Actions,"Các hành động"
"Add Contents Path","Thêm đường dẫn các nội dung"
"Add Field with URL:","Thêm trường với URL:"
Add,"@FIXME: thêm vào"
"Add Maintainer","@FIXME: Thêm Maintainer"
"Add New Role","Thêm vai trò (role) mới"
"Add new store view map","@FIXME: Thêm mới bản đồ cửa hàng xem"
"Add New Template","Thêm Template mới"
"Add New User","Thêm người dùng mới"
"Add new website map","@FIXME: Thêm mới bản đồ trang web"
"Add Package dependency","Thêm gói phụ thuộc"
"Add PHP Extension dependency","Thêm PHP Extension dependency"
"Address Type:","Loại địa chỉ:"
"Add Subpackage dependency","Thêm gói con phụ thuộc"
"All fields","Tất cả các trường"
All,"Tất cả"
"All Websites","Tất cả website"
" and ","@FIXME: và"
and,và
API:,@TODO
"Archive file name:","@FIXME: Tên tập tin lưu trữ:"
"Are you sure that you want to delete this template?","Bạn có chắc chắn xóa template này không?"
"Are you sure that you want to strip tags?","Bạn có chắc chắn bỏ tags này không?"
Attributes,"Các thuộc tính"
"Attribute Set Name:","Tên thiết lập thuộc tính:"
"Available Products","Các sản phẩm hiện có"
"Big Image","Ảnh lớn"
"Billing Address","Địa chỉ thanh toán"
"Bundle Items","@FIXME: mục Bundle"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","@FIXME: Bundle với giá cả năng động không thể bao gồm các tùy chọn tùy chỉnh được xác định.  Tùy chọn này sẽ không được lưu."
"Can not find webservice adapter.","Không tìm thấy bộ chuyển đổi dịch vụ web."
"Card Verification Number","@FIXME: Số Thẻ xác nhận"
Catalog,"@FIXME: mục lục"
Channel,Kênh
Channel:,Kênh:
"Choose Store View","@FIXME: Chọn cửa hàng Xem"
"- Click on any of the time parts to increase it","- Click vào bất kỳ phần nào của thời gian để tăng giá trị"
"Client Session timeout (sec.)","@FIXME: Khách hàng phiên thời gian chờ (giây )."
"Client Session Timeout (sec.)","Thời gian chờ phiên máy khách (giây)"
Close,Đóng
"Comments History","Lịch sử nhận xét"
"Confirmed email:","Email được xác nhận:"
"Connect with the Magento Community","Kết nối với cộng đồng Magento"
Contents,"Các nội dung"
Country:,"Quốc gia:"
"Create a backup","@FIXME: Tạo một bản sao lưu"
"Created <strong>%s</strong> items","@FIXME: Tạo u003c strongu003e % s u003c/ strongu003e mục"
"Create New Staging Store View","@FIXME: Tạo mới Staging cửa hàng Xem"
"Credit Card Number","@FIXME: Số Thẻ Tín Dụng"
"Credit Card Number: xxxx-%s","@FIXME: Số thẻ tín dụng: xxxx- % s"
"Credit Card Type","Loại Credit Card"
"Credit Card Type: %s","@FIXME: Loại thẻ tín dụng: % s"
"Credit Memo History","@FIXME: Lịch sử Memo tín dụng"
"Credit Memo Totals","@FIXME: Tổng Số Memo tín dụng"
critical,"@FIXME: chỉ trích"
"CSV / Tab separated","@FIXME: CSV / Tab tách"
"Current Configuration Scope:","Phạm vi cấu hình hiện tại:"
"Current Release Information","Thông tin phát hành hiện thời"
"Customer Group:","Nhóm khách hàng:"
Customers,"Các khách hàng"
"Customer Since:","Khách hàng từ:"
Custom,"Tùy chọn"
Dashboard,"Bảng thông tin"
"Data Format","Định dạng dữ liệu"
"Data transfer:","Truyền dữ liệu:"
Date:,Ngày:
"Date selection:","Lựa chọn ngày:"
"Date selector","Lựa chọn ngày"
"Decimal separator:","Phân cách thập phân:"
"Default (Admin) Values","Giá trị (Admin) mặc định"
"Default Response Charset","Bộ ký tự đáp ứng mặc định"
"Default Values","Các giá trị mặc định"
Delete,Xóa
Dependencies,"@FIXME: phụ thuộc"
Description:,"Mô tả:"
"DHTML Date/Time Selector","@FIXME: DHTML Ngày / giờ Selector"
Direction:,"Chỉ dẫn:"
