,"@FIXME: "
"ACL Attribute Rules","Các quy tắc thuộc tính ACL"
"ACL Attribute Rules","Các quy tắc thuộc tính ACL"
"ACL Attributes Information","Thông tin các thuộc tính ACL"
"ACL Attributes Information","Thông tin các thuộc tính ACL"
Add,Thêm
"Add Admin Role","Thêm vai trò quản trị"
"Add Admin Role","Thêm vai trò quản trị"
"Add New Role","Thêm vai trò mới"
"Add New Role","Thêm vai trò mới"
"Address Type","Loại địa chỉ"
"Address Type","Loại địa chỉ"
Add,Thêm
Admin,"Quản trị"
Admin,"Quản trị"
Allow,"Cho phép"
Allow,"Cho phép"
"An error occurred while deleting the role.","Lỗi trong khi xóa vai trò."
"An error occurred while deleting the role.","Lỗi trong khi xóa vai trò."
"An error occurred while saving attribute rules.","Lỗi trong khi lưu các vai trò thuộc tính."
"An error occurred while saving attribute rules.","Lỗi trong khi lưu các vai trò thuộc tính."
"An error occurred while saving role.","Lỗi trong khi lưu vai trò."
"An error occurred while saving role.","Lỗi trong khi lưu vai trò."
"Api Rules Information","Thông tin các quy tắc API"
"Api Rules Information","Thông tin các quy tắc API"
Assigned,"Được gán"
Assigned,"Được gán"
"Associate to Website","Liên kết website"
"Associate to Website","Liên kết website"
"Attribute Rules Information","Thông tin các quy tắc thuộc tính"
"Attribute Rules Information","Thông tin các quy tắc thuộc tính"
Attributes,"Các thuộc tính"
Attributes,"Các thuộc tính"
"Attribute Set","Nhóm thuộc tính"
"Attribute Set","Nhóm thuộc tính"
"Automatically Return Credit Memo Item to Stock","Tự động trả mặt hàng bản ghi tín dụng tới kho hàng"
"Automatically Return Credit Memo Item to Stock","Tự động trả mặt hàng bản ghi tín dụng tới kho hàng"
Back,"Quay lại"
Backorders,"Đơn hàng tồn đọng"
Backorders,"Đơn hàng tồn đọng"
Back,"Quay lại"
"Base Currency","Đồng tiền cơ bản"
"Base Currency","Đồng tiền cơ bản"
"Base Customer Balance","Cân đối khách hàng cơ bản"
"Base Customer Balance","Cân đối khách hàng cơ bản"
"Base Discount Amount","Số tiền giảm giá cơ bản"
"Base Discount Amount","Số tiền giảm giá cơ bản"
"Base Discount","Giảm giá cơ bản"
"Base Discount","Giảm giá cơ bản"
"Base Item Subtotal","Tổng số phụ mặt hàng cơ bản"
"Base Item Subtotal Including Tax","Tổng số phụ mặt hàng cơ bản bao gồm thuế"
"Base Item Subtotal Including Tax","Tổng số phụ mặt hàng cơ bản bao gồm thuế"
"Base Item Subtotal","Tổng số phụ mặt hàng cơ bản"
"Base Original Price","Giá gốc cơ bản"
"Base Original Price","Giá gốc cơ bản"
"Base Price","Giá cơ bản"
"Base Price","Giá cơ bản"
"Base Price Including Tax","Giá cơ bản bao gồm thuế"
"Base Price Including Tax","Giá cơ bản bao gồm thuế"
"Base Shipping","Giao vận cơ bản"
"Base Shipping Discount","Giảm giá giao vận cơ bản"
"Base Shipping Discount","Giảm giá giao vận cơ bản"
"Base Shipping","Giao vận cơ bản"
"Base Shipping Tax","Thuế giao vận cơ bản"
"Base Shipping Tax","Thuế giao vận cơ bản"
"Base Subtotal","Tổng số phụ cơ bản"
"Base Subtotal Including Tax","Tổng số phụ cơ bản bao gồm thuế"
"Base Subtotal Including Tax","Tổng số phụ cơ bản bao gồm thuế"
"Base Subtotal","Tổng số phụ cơ bản"
"Base Tax Amount","Số tiền thuế cơ bản"
"Base Tax Amount","Số tiền thuế cơ bản"
"Base Total Due","Tổng số nợ cơ bản"
"Base Total Due","Tổng số nợ cơ bản"
"Base Total Paid","Tổng số thanh toán cơ bản"
"Base Total Paid","Tổng số thanh toán cơ bản"
"Base Total Refunded","Tổng số tiền hoàn lại cơ bản"
"Base Total Refunded","Tổng số tiền hoàn lại cơ bản"
"Buy Now URL","URL mua ngay"
"Buy Now URL","URL mua ngay"
"Can Be Divided into Multiple Boxes for Shipping","Có thể chia thành từng hộp giao vận"
"Can Be Divided into Multiple Boxes for Shipping","Có thể chia thành từng hộp giao vận"
"Canceled Qty","Số lượng hủy bỏ"
"Canceled Qty","Số lượng hủy bỏ"
Catalog,"Danh mục"
Catalog,"Danh mục"
CatalogInventory,"Danh mục sản phẩm tồn kho"
CatalogInventory,"Danh mục sản phẩm tồn kho"
"Catalog Product","Danh mục sản phẩm"
"Catalog Product","Danh mục sản phẩm"
"Category ID","ID nhóm sản phẩm"
"Category ID","ID nhóm sản phẩm"
City,"Thành phố"
City,"Thành phố"
