
"Accepted Currency","Accepted Currency"
"Accepted Currency","Đồng tiền được chấp nhận"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Amount of %s approved by payment gateway. Transaction ID: ""%s""."
"API Login ID","API Login ID"
"API Login ID","ID đăng nhập API"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Authorize.net Direct Post","Gửi trực tiếp Authorize.net"
"Card Verification Number","Card Verification Number"
"Card Verification Number","Số xác minh thẻ"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Card Verification Number Visual Reference","Tài liệu tham khảo trực quan số xác minh thẻ"
"Close","Close"
"Close","Đóng"
"Credit Card Information","Credit Card Information"
"Credit Card Information","Thông tin thẻ tín dụng"
"Credit Card Number","Credit Card Number"
"Credit Card Number","Số thẻ tín dụng"
"Credit Card Type","Credit Card Type"
"Credit Card Type","Loại thẻ tín dụng"
"Credit Card Types","Các loại thẻ tín dụng"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Credit Card Verification","Xác minh thẻ tín dụng"
"Debug","Debug"
"Debug","Gỡ rối"
//Được dịch bởi Nguyễn Thái Sơn, STC
"Email Customer","Email Customer"
"Email Customer","Thư điện tử khách hàng"
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
"Enabled","Đã được kích hoạt"
"Enabled","Enabled"
"Expiration Date","Expiration Date"
"Expiration Date","Ngày hết hạn"
"Gateway URL","Cổng URL"
"Gateway URL","Gateway URL"
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7
"Maximum Order Total","Maximum Order Total"
"Maximum Order Total","Tổng số đơn hàng tối đa"
"Merchant MD5","MD5 doanh nhân"
"Merchant MD5","Merchant MD5"
"Merchant's Email","Merchant's Email"
"Merchant's Email","Thư điện tử doanh nhân"
"Minimum Order Total","Minimum Order Total"
"Minimum Order Total","Tổng số đơn hàng tối thiểu"
"New Order Status","New Order Status"
"New Order Status","Trạng thái đặt hàng mới"
"Order saving error: %s","Lỗi lưu đơn hàng: %s"
"Order saving error: %s","Order saving error: %s"
"Payment Action","Hoạt động thanh toán"
"Payment Action","Payment Action"
"Payment authorization error.","Lỗi ủy quyền thanh toán."
"Payment authorization error.","Payment authorization error."
"Payment authorization error. Transacion id is empty.","Lỗi ủy quyền thanh toán. ID giao dịch rỗng."
"Payment authorization error. Transacion id is empty.","Payment authorization error. Transacion id is empty."
"Payment error. Order was not found.","Lỗi thanh toán. Không tìm thấy đơn hàng."
"Payment error. Order was not found.","Payment error. Order was not found."
"Payment error. Paid amount doesn\'t match the order amount.","Lỗi thanh toán. Số tiền thanh toán không phù hợp với số tiền đặt hàng."
"Payment error. Paid amount doesn\'t match the order amount.","Payment error. Paid amount doesn\'t match the order amount."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Applicable Countries","Thanh toán từ các quốc gia đang áp dụng"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment from Specific Countries","Thanh toán từ các quốc gia được xác định"
"Please, choose payment method","Please, choose payment method"
"Please, choose payment method","Xin chọn phương thức thanh toán"
"--Please Select--","--Please Select--"
"--Please Select--","--Xin chọn--"
"Response hash validation failed. Transaction declined.","Không đáp ứng băm xác nhận (hash validation). Từ chối giao dịch."
"Response hash validation failed. Transaction declined.","Response hash validation failed. Transaction declined."
"Sort Order","Sort Order"
"Sort Order","Thứ tự sắp xếp"
"Test Mode","Chế độ kiểm tra"
"Test Mode","Test Mode"
"The order has been created.","Đơn hàng đã được tạo."
"The order has been created.","The order has been created."
"There was an error processing your order. Please contact us or try again later.","Lỗi xảy ra trong quá trình đặt hàng. Xin liên hệ với chúng tôi hoặc thử lại."
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"Title","Tiêu đề"
"Title","Title"
"Transaction Key","Khóa giao dịch"
"Transaction Key","Transaction Key"
"What is this?","Đây là gì?"
"What is this?","What is this?"
"You will be required to enter your payment details before you place an order.","Quý khách vui lòng nhập chi tiết thanh toán trước khi đặt hàng."
"You will be required to enter your payment details before you place an order.","You will be required to enter your payment details before you place an order."
