
"Action","Action"
"Action","Hành động"
"All types","All types"
"An error occurred while creating the backup.","An error occurred while creating the backup."
"An error occurred while creating the backup.","Lỗi xảy ra trong khi tạo bản sao lưu."
"An error occurred while writing to the backup file ""%s"".","An error occurred while writing to the backup file ""%s""."
"An error occurred while writing to the backup file ""%s"".","Lỗi xảy ra trong khi viết tập tin sao lưu ""%s""."
"Are you sure you want to delete the selected backup(s)?","Are you sure you want to delete the selected backup(s)?"
"Are you sure you want to delete the selected backup(s)?","Quý khách có chắc chắn muốn xóa (các) bản sao lưu được chọn?"
"Backup file does not exist.","Backup file does not exist."
"Backup file does not exist.","Tập tin sao lưu không tồn tại."
"Backup file doesn't exist","Backup file doesn't exist"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file handler was unspecified.","Backup file handler was unspecified."
"Backup file handler was unspecified.","Trình xử lý tập tin sao lưu không được xác định."
"Backup file not found","Backup file not found"
"Backup file not found","Không tìm thấy tập tin sao lưu"
"Backup file path don't specify","Backup file path don't specify"
"Backup file path was not specified.","Backup file path was not specified."
"Backup file path was not specified.","Đường dẫn tập tin sao lưu không được xác định."
"Backup file ""%s"" cannot be read from or written to.","Backup file ""%s"" cannot be read from or written to."
"Backup file ""%s"" cannot be read from or written to.","Không thể đọc hoặc viết tập tin sao lưu ""%s""."
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" does not exist.","Backup file ""%s"" does not exist."
"Backup file ""%s"" does not exist.","Tập tin sao lưu ""%s"" không tồn tại."
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backups","Backups"
"Backups","Sao lưu"
"Backup Type","Backup Type"
"Backup Type","Loại sao lưu"
"Cannot read backup file.","Cannot read backup file."
"Cannot read backup file","Cannot read backup file"
"Cannot read backup file.","Không đọc được tập tin sao lưu."
"Create Backup","Create Backup"
"Create Backup","Tạo bản sao lưu"
"Database and Media Backup","Database and Media Backup"
"Database and Media Backup","Sao lưu cơ sở dữ liệu và truyền thông"
"Database and Media","Database and Media"
"Database Backup","Database Backup"
"Database Backup","Sao lưu cơ sở dữ liệu"
"Database","Database"
"Database was successfuly backed up.","Cơ sở dữ liệu được sao lưu thành công."
"Database was successfuly backed up.","Database was successfuly backed up."
"DB","DB"
"Download","Download"
"Download","Tải xuống"
//Được dịch bởi Nguyễn Thái Sơn, STC
//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com
"Enable Scheduled Backup","Enable Scheduled Backup"
"Enable Scheduled Backup","Kích hoạt lịch trình sao lưu"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"Failed to connect to FTP","Failed to connect to FTP"
"Failed to connect to FTP","Không thể kết nối đến FTP"
"Failed to delete one or several backups.","Failed to delete one or several backups."
"Failed to delete one or several backups.","Không thể xóa một hoặc một số bản sao lưu."
"Failed to rollback","Failed to rollback"
"Failed to rollback","Không thể khôi phục từ dữ liệu dự phòng"
"Failed to validate FTP","Failed to validate FTP"
"Failed to validate FTP","Không thể kiểm chứng FTP"
"File compressed with Zlib, but this extension is not installed on server","File compressed with Zlib, but this extension is not installed on server"
"Frequency","Frequency"
"Frequency","Tần suất"
"Invalid Password.","Invalid Password."
"Invalid Password.","Mật khẩu không hợp lệ."
"Maintenance Mode","Chế độ bảo trì"
"Maintenance Mode","Maintenance Mode"
//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7
"Name","Name"
"Name","Tên"
"Not enough free space to create backup.","Không đủ không gian trống để tạo bản sao lưu."
"Not enough free space to create backup.","Not enough free space to create backup."
"Not enough permissions to create backup.","Không đủ quyền để tạo bản sao lưu."
"Not enough permissions to create backup.","Not enough permissions to create backup."
"Not enough permissions to perform rollback","Không đủ quyền để thực hiện khôi phục từ dữ liệu dự phòng"
"Not enough permissions to perform rollback","Not enough permissions to perform rollback"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Xin hoặc bỏ chọn hộp kiểm ""Đưa của hàng về chế độ bảo trì"" hoặc cập nhật vai trò của Quý khách để thực hiện sao lưu."
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Xin hoặc bỏ chọn hộp kiểm ""Đưa của hàng về chế độ bảo trì"" hoặc cập nhật vai trò của Quý khách để thực hiện khôi phục từ dữ liệu dự phòng."
"Put store on the maintenance mode while backup's creation","Đưa cửa hàng về chế độ bảo trì trong khi tạo bản sao lưu"
"Put store on the maintenance mode while backup's creation","Put store on the maintenance mode while backup's creation"
"Rollback","Khôi phục từ dữ liệu dự phòng"
"Rollback","Rollback"
"Scheduled Backup Settings","Scheduled Backup Settings"
"Scheduled Backup Settings","Thiết lập lịch trình sao lưu"
"Size, byte","Size, byte"
"Size, Bytes","Kích thước, Bytes"
"Size, Bytes","Size, Bytes"
"Start Time","Start Time"
"Start Time","Thời gian bắt đầu"
"System Backup","Sao lưu hệ thống"
"System Backup","System Backup"
"System couldn't put store on the maintenance mode","Hệ thống không thể đưa cửa hàng về chế độ bảo trì"
