,"@FIXME: "
"%1$s incl tax.",@TODO
"Add New Option","Thêm tùy chọn mới"
"Add New Option","Thêm tùy chọn mới"
"Add Selection","Thêm lựa chọn"
"Add Selection","Thêm lựa chọn"
and,"@FIXME: và"
"As low as","Thấp nhất là"
"As Low as","Thấp nhất là"
"As low as","Thấp nhất là"
"As Low as","Thấp nhất là"
"Bundle Items","Các mặt hàng đóng gói"
"Bundle Items","Các mặt hàng đóng gói"
"Bundle Product","Sản phẩm đóng gói"
"Bundle Product","Sản phẩm đóng gói"
"Bundle Product View Summary","@FIXME: Gói sản phẩm Tóm tắt"
"Buy %1$s",@TODO
"Buy %1$s for %2$s (%3$s incl. tax) each",@TODO
"Buy %1$s for %2$s",@TODO
"Buy %1$s for %2$s each",@TODO
"Buy %1$s for",@TODO
"Buy %1$s with %2$s discount each","Mua %1$s với chiết khấu %2$s"
"Buy %1$s with %2$s discount each","Mua %1$s với chiết khấu %2$s"
"Catalog Product View (Bundle)","Xem danh mục sản phẩm (Đóng gói)"
"Catalog Product View (Bundle)","Xem danh mục sản phẩm (Đóng gói)"
Checkbox,"Hộp kiểm"
Checkbox,"Hộp kiểm"
"Choose a selection...","Chọn một lựa chọn..."
"Choose a selection...","Chọn một lựa chọn..."
"Click for price","@FIXME: Nhấn vào đây để giá"
Close,Đóng
Close,Đóng
Default,"Mặc định"
Default,"Mặc định"
"Default Qty","Số lượng mặc định"
"Default Qty","Số lượng mặc định"
"Default Title","Tiêu đề mặc định"
"Default Title","Tiêu đề mặc định"
Drop-down,"Thả xuống"
Drop-down,"Thả xuống"
Dynamic,Động
Dynamic,Động
"//Được dịch bởi Nguyễn Thái Sơn"," STC"
each,"@FIXME: mỗi"
"//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com","@FIXME: // Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com"
"Excl. Tax:","@FIXME: Không kể. thuế:"
"Excl. Tax","Trước thuế"
"Excl. Tax","Trước thuế"
Fixed,"Cố định"
Fixed,"Cố định"
From:,Từ:
From,Từ
From:,Từ:
From,Từ
"Gift Message","Tin nhắn quà tặng"
"Gift Message","Tin nhắn quà tặng"
"Incl. Tax","Bao gồm thuế"
"Incl. Tax:","@FIXME: Incl. thuế:"
"Incl. Tax","Bao gồm thuế"
"Input Type","Loại đầu vào"
"Input Type","Loại đầu vào"
"Is Required","Bắt buộc phải nhập"
"Is Required","Bắt buộc phải nhập"
"//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7","@FIXME: // Mã zero developers: STCMeCOM1 ( STC Magento phiên bản Thương mại điện tử 2012.1.0 ) based on the version Magento Community 1.7"
Message:,"Tin nhắn:"
Message:,"Tin nhắn:"
"Multiple Select","Tùy chọn nhiều đối tượng"
"Multiple Select","Tùy chọn nhiều đối tượng"
N/A,"@FIXME: N / A"
N/A,"@FIXME: N / A"
None,Không
None,Không
"No options of this product are available.","Không nhận được tùy chọn nào cho sản phẩm này."
"No options of this product are available.","Không nhận được tùy chọn nào cho sản phẩm này."
"Percent Discount","Phần trăm giảm giá"
"Percent Discount","Phần trăm giảm giá"
Percent,"Phần trăm"
Percent,"Phần trăm"
"Please enter a number greater 0 in this field.","@FIXME: Xin vui lòng nhập một số lớn hơn 0 trong lĩnh vực này."
"Please enter search conditions to view products.","Xin nhập điều kiện tìm kiếm để xem sản phẩm."
"Please enter search conditions to view products.","Xin nhập điều kiện tìm kiếm để xem sản phẩm."
"Please select options for product.","Xin chọn các tùy chọn cho sản phẩm."
"Please select options for product.","Xin chọn các tùy chọn cho sản phẩm."
"Please select products to add","@FIXME: Vui lòng chọn sản phẩm để thêm"
"Please Select Products to Add","Xin chọn các sản phẩm để thêm vào"
"Please Select Products to Add","Xin chọn các sản phẩm để thêm vào"
"Please specify product option(s).","Xin xác định (các) tùy chọn sản phẩm."
"Please specify product option(s)","@FIXME: Hãy xác định lựa chọn sản phẩm (s)"
"Please specify product option(s).","Xin xác định (các) tùy chọn sản phẩm."
Position,"Vị trí"
Position,"Vị trí"
"Price as configured","Thành tiền"
"Price as configured","Thành tiền"
"Price Range","Phạm vi giá cả"
"Price Range","Phạm vi giá cả"
"Price Type","Loại giá"
"Price Type","Loại giá"
Qty:,"Số lượng:"
Qty:,"Số lượng:"
"Radio Buttons","Các nút tùy chọn đơn đối tượng"
"Radio Buttons","Các nút tùy chọn đơn đối tượng"
"* Required Fields","* Các trường yêu cầu phải chọn"
"* Required Fields","* Các trường yêu cầu phải chọn"
"Required options are not selected.","Tùy chọn bắt buộc không được chọn."
"Required options are not selected.","Tùy chọn bắt buộc không được chọn."
"Required options not selected.","@FIXME: Tùy chọn bắt buộc không được chọn."
save,"@FIXME: tiết kiệm"
"Selected required options are not available.","Không nhận được các tùy chọn bắt buộc được chọn."
"Selected required options are not available.","Không nhận được các tùy chọn bắt buộc được chọn."
"Selected required options not available.","@FIXME: Lựa chọn được yêu cầu không có sẵn."
"-- Select --","-- Xin chọn --"
--Select--,"@FIXME: --Chọn--"
"-- Select --","-- Xin chọn --"
Separately,"Tách riêng"
Separately,"Tách riêng"
"Ship Bundle Items","Vận chuyển các mặt hàng đóng gói"
"Ship Bundle Items","Vận chuyển các mặt hàng đóng gói"
Shipment,"Giao vận"
Shipment,"Giao vận"
"Store View Title","Tiêu đề không gian cửa hàng"
"Store View Title","Tiêu đề không gian cửa hàng"
"There is no defined renderer for ""%s"" option type.","Không có biểu hiện xác định cho loại tùy chọn ""%s""."
"There is no defined renderer for ""%s"" option type.","Không có biểu hiện xác định cho loại tùy chọn ""%s""."
"There is no defined renderer for ""%s"" option type",@TODO
"This product is also part of bundle(s)","Sản phẩm này cũng là một phần của (các) gói"
"This product is also part of bundle(s)","Sản phẩm này cũng là một phần của (các) gói"
To:,Đến:
To,Đến
Together,"Cùng nhau"
Together,"Cùng nhau"
"Total incl. Tax: %1$s",@TODO
To:,Đến:
To,Đến
"Use Default Value","Sử dụng giá trị mặc định"
"Use Default Value","Sử dụng giá trị mặc định"
"User Defined Qty","Sử dụng số lượng mặc định"
"User Defined Qty","Sử dụng số lượng mặc định"
