,"@FIXME: "
"%1$s incl tax.","%1$s bao gồm thuế."
"%1$s incl tax.","%1$s bao gồm thuế."
"%1$s incl tax.","%1$s bao gồm thuế."
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Nếu không được thiết lập, mặc định là 86400. Để làm mới ngay lập tức, xóa bộ nhớ đệm đầu ra HTML các khối."
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Nếu không được thiết lập, mặc định là 86400. Để làm mới ngay lập tức, xóa bộ nhớ đệm đầu ra HTML các khối."
Action,"Hoạt động"
Action,"Hoạt động"
"Actual Price","Giá thực tế"
"Actual Price","Giá thực tế"
Add,Thêm
"Add Attribute","Thêm thuộc tính"
"Add attribute into attribute set","Thêm thuộc tính và nhóm thuộc tính"
"Add attribute into attribute set","Thêm thuộc tính và nhóm thuộc tính"
"Add Attribute","Thêm thuộc tính"
"Add Attribute","Thêm thuộc tính"
"Add Design Change","Thêm thay đổi thiết kế"
"Add Design Change","Thêm thay đổi thiết kế"
"Add Group","Thêm nhóm"
"Add group into attribute set","Thêm nhóm vào nhóm thuộc tính"
"Add group into attribute set","Thêm nhóm vào nhóm thuộc tính"
"Add Group Price","Thêm nhóm giá"
"Add Group Price","Thêm nhóm giá"
"Add Group","Thêm nhóm"
"Add Group","Thêm nhóm"
"Add Items to Cart","Thêm Sản Phẩm vào Giỏ Hàng"
"Additional Information","Thông Tin Thêm"
"Additional Information","Thông Tin Thêm"
"Additional Information","Thông Tin Thêm"
"Add New","Thêm mới"
"Add New Attribute","Thêm thuộc tính mới"
"Add New Attribute Set","Thêm nhóm thuộc tính mới"
"Add New Attribute Set","Thêm nhóm thuộc tính mới"
"Add New Attribute Set","Thêm nhóm thuộc tính mới"
"Add New Attribute","Thêm thuộc tính mới"
"Add New Attribute","Thêm thuộc tính mới"
"Add new custom option into product","Thêm tùy chọn tùy chỉnh mới vào sản phẩm"
"Add new custom option into product","Thêm tùy chọn tùy chỉnh mới vào sản phẩm"
"Add New Group","Thêm nhóm mới"
"Add New Group","Thêm nhóm mới"
"Add New Group","Thêm nhóm mới"
"Add New Images","Thêm hình ảnh mới"
"Add New Images","Thêm hình ảnh mới"
"Add New Images","Thêm hình ảnh mới"
"Add New Option","Thêm tùy chọn mới"
"Add New Option","Thêm tùy chọn mới"
"Add New Option","Thêm tùy chọn mới"
"Add New Row","Thêm hàng mới"
"Add New Row","Thêm hàng mới"
"Add New Row","Thêm hàng mới"
"Add New Search Term","Thêm từ khóa tìm kiếm mới"
"Add New Search Term","Thêm từ khóa tìm kiếm mới"
"Add New Search Term","Thêm từ khóa tìm kiếm mới"
"Add New Set","Thêm nhóm mới"
"Add New Set","Thêm nhóm mới"
"Add New Set","Thêm nhóm mới"
"Add New","Thêm mới"
"Add new values into custom option","Thêm các giá trị mới vào tùy chọn tùy chỉnh"
"Add new values into custom option","Thêm các giá trị mới vào tùy chọn tùy chỉnh"
"Add option","Thêm tùy chọn"
"Add Option","@FIXME: Thêm Tùy chọn"
"Add option","Thêm tùy chọn"
"Add Product","Thêm sản phẩm"
"Add Product","Thêm sản phẩm"
"Add Product","Thêm sản phẩm"
"Add Product To Websites","Thêm Sản Phẩm Vào Website"
"Add Product To Websites","Thêm Sản Phẩm Vào Website"
"Add Product To Websites","Thêm Sản Phẩm Vào Website"
"Add Root Category","Thêm nhóm sản phẩm gốc"
"Add Root Category","Thêm nhóm sản phẩm gốc"
"Add Root Category","Thêm nhóm sản phẩm gốc"
"Add Subcategory","Thêm nhóm sản phẩm con"
"Add Subcategory","Thêm nhóm sản phẩm con"
"Add Subcategory","Thêm nhóm sản phẩm con"
"Add Tax","Thêm thuế"
"Add Tax","Thêm thuế"
Add,Thêm
"Add Tier","Thêm mức"
"Add Tier","Thêm mức"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào so sánh"
"Add to Compare","Thêm vào so sánh"
"Add to Compare","Thêm vào so sánh"
"Add to My Wishlist","Thêm Vào Wishlist"
"Add to Wishlist","Thêm Vào Wishlist"
"Add to Wishlist","Thêm Vào Wishlist"
"Add to Wishlist","Thêm Vào Wishlist"
"A group with the same name already exists.","Tên nhóm đã tồn tại."
"A group with the same name already exists.","Tên nhóm đã tồn tại."
"Alert Urls","Các URL cảnh báo"
"Alert Urls","Các URL cảnh báo"
All,"Tất cả"
"ALL GROUPS","TẤT CẢ CÁC NHÓM"
"ALL GROUPS","TẤT CẢ CÁC NHÓM"
"ALL GROUPS","TẤT CẢ CÁC NHÓM"
"Allow All Products per Page","Cho phép tất cả các sản phẩm mỗi trang"
"Allow All Products per Page","Cho phép tất cả các sản phẩm mỗi trang"
"Allow Dynamic Media URLs in Products and Categories","Cho phép các URL truyền thông động trong các sản phẩm và các nhóm sản phẩm"
"Allow Dynamic Media URLs in Products and Categories","Cho phép các URL truyền thông động trong các sản phẩm và các nhóm sản phẩm"
"Allowed File Extensions","Những Loại File Được Chấp Nhận"
"Allowed File Extensions","Những Loại File Được Chấp Nhận"
"Allowed File Extensions","Những Loại File Được Chấp Nhận"
"Allowed file extensions to upload","Những Loại File Được Chấp Nhận"
"Allowed file extensions to upload","Những Loại File Được Chấp Nhận"
"Allowed file extensions to upload","Những Loại File Được Chấp Nhận"
"Allow HTML-tags on Front-end","@FIXME: Cho phép các thẻ HTML trên Front-end"
"Allow HTML Tags on Frontend","Cho phép các thẻ HTML trên giao diện khách hàng"
"Allow HTML Tags on Frontend","Cho phép các thẻ HTML trên giao diện khách hàng"
"All products","@FIXME: Tất cả sản phẩm"
