Actions,"Các hành động"
Active,"Kích hoạt"
"Add New Rule","Thêm quy tắc mới"
"An error occurred while deleting the rule. Please review the log and try again.","Lỗi trong khi xóa quy tắc này. Xin xem 'log' và thử lại."
"An error occurred while saving the rule data. Please review the log and try again.","Lỗi trong khi lưu dữ liệu quy tắc. Xin xem 'log' và thử lại."
Apply,"Áp dụng"
"Apply Rules","Áp dụng các quy tắc"
"Attribute Set","Thiết đặt thuộc tính (Attribute Set)"
"By Fixed Amount","Theo số lượng cố định"
"By Percentage of the Original Price","Theo phần trăm giá gốc"
Catalog,"Danh mục"
"Catalog Price Rule","Luật giá Catalog"
"Catalog Price Rules","Danh mục các quy tắc giá"
Category,"Nhóm sản phẩm"
"Comments History","Lịch sử bình luận"
Conditions,"Các điều kiện"
"Conditions Combination","Tổ hợp các điều kiện"
"Conditions (leave blank for all products)","Các điều kiện (để trống cho tất cả các sản phẩm)"
"Credit Memos","@FIXME: bản ghi nhớ tín dụng"
"Customer Groups","Nhóm khách hàng"
"Customer is new buyer: %s","Khách hàng là người mua mới: %s"
"Customer registered: %s","Khách hàng đã đăng ký: %s"
"Date Expire","Ngày hết hạn"
"Date From","Từ ngày"
"Date Start","Ngày bắt đầu"
"Date To","Ngày đến"
"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","Quy tắc giá cả danh mục %d dựa trên thuộc tính ""%s"" đã được vô hiệu hóa."
"Delete Rule","Xóa luật"
Description,"Mô tả"
"Description: %s","Mô tả: %s"
"Discount Amount","Số lượng giảm giá"
"//Được dịch bởi Nguyễn Thái Sơn"," STC"
"Edit Rule","Chỉnh sửa quy tắc"
"Edit Rule '%s'","Chỉnh sửa quy tắc '%s'"
"//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com","@FIXME: // Email: sonntstc@gmail.com.  Website: http://sonntstc.vze.com"
"Enable Discount to Subproducts","Kích hoạt giảm giá cho các sản phẩm con"
"Expiration Date","@FIXME: Ngày hết hạn"
"Expire at: %s","Hết hạn vào: %s"
,"@FIXME: "
"From Date","Từ ngày"
"General Information","Thông tin chung"
"Gift Messages","Thông báo quà tặng"

Inactive,"Không kích hoạt"
Invoices,"Các hóa đơn"
"//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7","@FIXME: // Mã zero developers: STCMeCOM1 ( STC Magento phiên bản Thương mại điện tử 2012.1.0 ) based on the version Magento Community 1.7"
"Name: %s","Tên: %s"
"New Rule","Quy tắc mới"
No,Ko
"NOT LOGGED IN","KHÔNG ĐĂNG NHẬP"
Options,"Các tùy chọn"
"Order Credit Memos","@FIXME: Để tín dụng bản ghi nhớ"
"Order Gift Messages","Thông báo quà tặng đơn hàng"
"Order History","Lịch sử đặt hàng"
"Order Invoices","Hóa đơn đặt hàng"
"Order Shipments","Các vận chuyển đặt hàng"
Priority,"Ưu tiên"
"Product Attribute","Thuộc tính sản phẩm"
Promotions,"Khuyến mãi"
"Rule Information","Thông tin quy tắc"
"Rule Name","Tên quy tắc"
"Rules were successfully applied","Luật đã được áp dụng"
"Rule was successfully deleted","Luật đã được xóa"
"Rule was successfully saved","Luật đã được lưu"
"Save and Apply","Lưu và áp dụng"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Save Rule","Lưu luật"
Shipments,"Các vận chuyển"
"Start at: %s","Bắt đầu vào: %s"
"Start Date","@FIXME: Ngày bắt đầu"
Status,"Trạng thái"
"Stop further rules processing","Dừng luật đang được thi hành"
"Stop Further Rules Processing","Dừng xử lý các quy tắc"
"The page you are trying to save no longer exists","Trang bạn đang lưu không còn tồn tại"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","Những luật này đã thay đổi nhưng chưa được áp dung. Vui lòng nhấn Áp dụng luật (Apply Rules) d"
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","@FIXME: Có những quy tắc đã được thay đổi nhưng không được áp dụng.  Chỉ người dùng có quyền truy cập độc quyền có thể áp dụng quy tắc."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Các quy tắc đã được thay đổi nhưng không được áp dụng."
"The rule has been deleted.","Quy tắc đã được xóa."
"The rule has been saved.","Quy tắc đã được lưu."
"The rules have been applied.","Quy tắc đã được áp dụng."
"This rule no longer exists","để xem xự thay đổi. Luật này không còn tồn tại"
"This rule no longer exists.","Không tồn tại quy tắc này."
"To Date","Đến ngày"
"To Fixed Amount","Theo số lượng cố định"
"To Percentage of the Original Price","Theo tỷ lệ phần trăm của giá gốc"
Type,"@FIXME: kiểu"
"Unable to apply rules.","Không thể áp dụng các quy tắc."
"Unable to apply rules","Không thể áp dụng luật"
"Unable to find a page to delete","Không thể tìm trang để xóa"
"Unable to find a rule to delete.","Không tìm thấy quy tắc để xóa."
"Update Prices Using the Following Information","Cập nhật các giá sử dụng thông tin sau"
"Update product's %s %s: %s","Cập nhật %s %s của sản phẩm: %s"
Website,"@FIXME: website"
Websites,"Các website"
"Wrong rule specified.","Sai quy tắc xác định."
Yes,Có
