,"@FIXME: "
"Advanced Search","Tìm kiếm nâng cao"
"Advanced Search Form","Mẫu tìm kiếm nâng cao"
"Advanced Search Form","Mẫu tìm kiếm nâng cao"
"Advanced Search Result","Kết quả tìm kiếm nâng cao"
"Advanced Search Result","Kết quả tìm kiếm nâng cao"
"Advanced Search","Tìm kiếm nâng cao"
All,"Tất cả"
All,"Tất cả"
"Applies for ""Like"" search type only.","Chỉ áp dụng cho loại tìm kiếm ""Like""."
"Applies for ""Like"" Search type only","@FIXME: Áp dụng cho ""Like""Tìm kiếm đánh chỉ"
"Applies for ""Like"" search type only.","Chỉ áp dụng cho loại tìm kiếm ""Like""."
"Apply Layered Navigation if Search Results are Less Than","Áp dụng điều hướng phân lớp nếu các kết quả tìm kiếm ít hơn"
"Apply Layered Navigation if search results are less than","@FIXME: Áp dụng Layered Navigation nếu kết quả tìm kiếm ít hơn"
"Apply Layered Navigation if Search Results are Less Than","Áp dụng điều hướng phân lớp nếu các kết quả tìm kiếm ít hơn"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Thiết lập thuộc tính thay đổi theo chỉ mục tìm kiếm. Xin chạy <a href=""%s"">Xây dựng lại chỉ mục tìm kiếm</a> process."
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process",@TODO
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Thiết lập thuộc tính thay đổi theo chỉ mục tìm kiếm. Xin chạy <a href=""%s"">Xây dựng lại chỉ mục tìm kiếm</a> process."
"Autogenerated site map","@FIXME: Autogenerated bản đồ trang web"
"Autogenerated Site Map","Sitemap tự động tạo ra"
"Autogenerated Site Map","Sitemap tự động tạo ra"
"Catalog Advanced Search","Danh mục tìm kiếm nâng cao"
"Catalog Advanced Search","Danh mục tìm kiếm nâng cao"
"Catalog Search","Danh mục tìm kiếm"
"Catalog Search","Danh mục tìm kiếm"
"Catalog Search Index","Danh mục chỉ mục tìm kiếm"
"Catalog Search Index","Danh mục chỉ mục tìm kiếm"
"Don't see what you're looking for?","Đừng xem những gì bạn đang tìm kiếm?"
"Don't see what you're looking for?","Đừng xem những gì bạn đang tìm kiếm?"
"//Được dịch bởi Nguyễn Thái Sơn"," STC"
"//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com","@FIXME: // Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com"
"Enter ""0"" to enable layered navigation for any number of results.","Nhập ""0"" để kích hoạt điều hướng phân lớp cho bất kỳ số lượng kết quả nào."
"Enter ""0"" to enable layered navigation for any number of results.","Nhập ""0"" để kích hoạt điều hướng phân lớp cho bất kỳ số lượng kết quả nào."
Go,Đến
Go,Đến
"Go to Home Page","Đến trang chủ"
"Go to Home Page","Đến trang chủ"
Grid,Lưới
Grid,Lưới
Home,"Trang chủ"
Home,"Trang chủ"
"Is product available for purchase with Google Checkout","@FIXME: Là sản phẩm có sẵn để mua hàng với Google Checkout"
List,"Danh sách"
List,"Danh sách"
"//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7","@FIXME: // Mã zero developers: STCMeCOM1 ( STC Magento phiên bản Thương mại điện tử 2012.1.0 ) based on the version Magento Community 1.7"
"Maximum Query Length","Độ dài truy vấn tối đa"
"Maximum Query Length","Độ dài truy vấn tối đa"
"Maximum Query Words Count","Số các từ truy vấn tối đa"
"Maximum Query Words Count","Số các từ truy vấn tối đa"
"Maximum Search query length is %s. Your query was cut.","Độ dài truy vấn tìm kiếm tối đã là %s. Truy vấn của Quý khách bị cắt."
"Maximum Search query  length is %s. Your query was cut.",@TODO
"Maximum Search query length is %s. Your query was cut.","Độ dài truy vấn tìm kiếm tối đã là %s. Truy vấn của Quý khách bị cắt."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Số các từ tối đa là %1$s. Trong tìm kiếm của Quý khách, truy vấn bị cắt phần sau: %2$s."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Số các từ tối đa là %1$s. Trong tìm kiếm của Quý khách, truy vấn bị cắt phần sau: %2$s."
"Minimal Query Length","Độ dài truy vấn tối thiểu"
"Minimal Query Length","Độ dài truy vấn tối thiểu"
"Minimum Search query length is %s","Độ dài truy vấn tìm kiếm tối thiểu là %s"
"Minimum Search query length is %s","Độ dài truy vấn tìm kiếm tối thiểu là %s"
"Modify your search","Sửa đổi tìm kiếm của Quý khách"
"Modify your search","Sửa đổi tìm kiếm của Quý khách"
"No items were found using the following search criteria.","Không tìm thấy mặt hàng nào sử dụng tiêu chí tìm kiếm sau."
"No items were found using the following search criteria.","Không tìm thấy mặt hàng nào sử dụng tiêu chí tìm kiếm sau."
No,Không
No,Không
"Please enter ""0"" to enable layered navigation for any number of results","@FIXME: Vui lòng nhập ""0""để cho phép chuyển hướng lớp cho bất kỳ số lượng kết quả"
"Please specify at least one search term.","Xin xác định ít nhất một từ khóa tìm kiếm."
"Please specify at least one search term.","Xin xác định ít nhất một từ khóa tìm kiếm."
"Popular Search Terms","Các từ khóa tìm kiếm thông thường"
"Popular search terms","@FIXME: Thuật ngữ tìm kiếm phổ biến"
"Popular Search Terms","Các từ khóa tìm kiếm thông thường"
"Quick Search Form","Mẫu tìm kiếm nhanh"
"Quick Search Form","Mẫu tìm kiếm nhanh"
"Rebuild Catalog product fulltext search index","Xây dựng lại chỉ mục tìm kiếm toàn văn danh mục sản phẩm"
"Rebuild Catalog product fulltext search index","Xây dựng lại chỉ mục tìm kiếm toàn văn danh mục sản phẩm"
Relevance,"Thích hợp"
Relevance,"Thích hợp"
"Required Fields","@FIXME: Các lĩnh vực cần thiết"
Results,"Các kết quả"
Results,"Các kết quả"
"%s and greater","%s và lớn hơn"
"%s and greater","%s và lớn hơn"
"Search entire store here...","Tìm kiếm toàn bộ cửa hàng ở đây..."
"Search entire store here...","Tìm kiếm toàn bộ cửa hàng ở đây..."
"Search results for '%s'","Các kết quả tìm kiếm cho '%s'"
"Search results for: '%s'","Các kết quả tìm kiếm cho: '%s'"
"Search results for '%s'","Các kết quả tìm kiếm cho '%s'"
"Search results for: '%s'","Các kết quả tìm kiếm cho: '%s'"
Search:,"Tìm kiếm:"
Search,"Tìm kiếm"
"Search Settings","Các thiết lập tìm kiếm"
"Search Settings","Các thiết lập tìm kiếm"
"Search Site","@FIXME: Tìm kiếm"
"Search Terms","Các từ khóa tìm kiếm"
"Search Terms","Các từ khóa tìm kiếm"
Search:,"Tìm kiếm:"
Search,"Tìm kiếm"
"Search Type","Loại tìm kiếm"
"Search Type","Loại tìm kiếm"
"Specified date is invalid.","Ngày được xác định không hợp lệ."
"Specified date is invalid.","Ngày được xác định không hợp lệ."
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>Các mặt hàng %d</strong> đã được tìm thấy bằng cách sử dụng các tiêu chí tìm kiếm sau đây"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>Các mặt hàng %d</strong> đã được tìm thấy bằng cách sử dụng các tiêu chí tìm kiếm sau đây"
"Subscribe to Feed","Đăng ký Feed"
"Subscribe to Feed","Đăng ký Feed"
"There are no search terms available.","Không nhận được từ khóa tìm kiếm."
"There are no search terms available.","Không nhận được từ khóa tìm kiếm."
"up to %s","lên tới %s"
"up to %s","lên tới %s"
Yes,Có
Yes,Có
"You have to specify at least one search term","@FIXME: Bạn phải xác định ít nhất một thuật ngữ tìm kiếm"
"Your search returns no results.","Tìm kiếm của Quý khách không có kết quả."
"Your search returns no results.","Tìm kiếm của Quý khách không có kết quả."
