"3D Secure Cardholder Validation","3D Secure Cardholder Validation"
"3D Secure Cardholder Validation","Xác nhận chủ thẻ bảo mật 3D"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Card Validation","Xác nhận thẻ bảo mật 3D"
"3D Secure CAVV","3D Secure CAVV"
"3D Secure CAVV","CAVV bảo mật 3D"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Electronic Commerce Indicator","Chỉ số thương mại điện tử bảo mật 3D"
"3D Secure Verification Result","3D Secure Verification Result"
"3D Secure Verification Result","Kết quả xác minh bảo mật 3D"
"3D Secure XID","3D Secure XID"
"3D Secure XID","XID bảo mật 3D"
"Card Issuer Liability","Card Issuer Liability"
"Card Issuer Liability","Trách nhiệm pháp lý phát hành thẻ"
"Card Verification","Card Verification"
"Card Verification","Xác minh thẻ"
"Enrolled but Authentication Unavailable","Enrolled but Authentication Unavailable"
"Enrolled but Authentication Unavailable","Ghi danh nhưng không nhận được xác thực"
"Enrolled","Enrolled"
"Enrolled","Ghi danh"
"Failed","Failed"
"Failed","Thất bại"
"MasterCard SecureCode","Mã bảo mật MasterCard"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Merchant Liability"
"Merchant Liability","Trách nhiệm pháp lý doanh nhân"
"Not Enrolled","Không ghi danh"
"Not Enrolled","Not Enrolled"
"Order cannot be placed.","Đơn hàng không được đặt."
"Order cannot be placed.","Order cannot be placed."
"Payment information error. Please start over.","Lỗi thông tin thanh toán. Xin bắt đầu lại từ đầu."
"Payment information error. Please start over.","Payment information error. Please start over."
"Please continue with placing order.","Please continue with placing order."
"Please continue with placing order.","Xin tiếp tục đặt hàng."
"Please verify the card with the issuer bank before placing the order.","Please verify the card with the issuer bank before placing the order."
"Please verify the card with the issuer bank before placing the order.","Xin xác minh thẻ với ngân hàng phát hành trước khi đặt hàng."
"Please verify the card with the issuer bank:","Please verify the card with the issuer bank:"
"Please verify the card with the issuer bank:","Xin xác minh thẻ với ngân hàng phát hành:"
"Start/Reset Validation...","Bắt đầu/ làm lại xác nhận..."
"Start/Reset Validation...","Start/Reset Validation..."
"Successful attempt","Cố gắng thành công"
"Successful attempt","Successful attempt"
"Successful","Successful"
"Successful","Thành công"
"The card has failed verification with the issuer bank.","The card has failed verification with the issuer bank."
"The card has failed verification with the issuer bank.","Thẻ không xác minh được với ngân hàng phát hành."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Lỗi khi gửi thông tin thanh toán hoặc thời hạn đã hết hạn. Xin thử lại"
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","There has been wrong payment information submitted or the time limit has expired. Please, try again."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Lỗi khi gửi thông tin thanh toán hoặc thời hạn đã hết hạn. Xin thử lại"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","There has been wrong payment information submitted or time limit has expired. Please, try again."
"This card has failed validation and cannot be used.","Thẻ không xác minh được và không thể được sử dụng."
"This card has failed validation and cannot be used.","This card has failed validation and cannot be used."
"To ensure the security of your transactions","Để bảo đảm an toàn các giao dịch của Quý khách"
"To ensure the security of your transactions","To ensure the security of your transactions"
"Unable to complete","Không thể hoàn thành"
"Unable to complete","Unable to complete"
"Validation failed.","Validation failed."
"Validation failed.","Xác nhận thất bại."
"Verification cannot be processed","Verification cannot be processed"
"Verification cannot be processed","Xác minh không thể được xử lý"
"Verification Failed","Verification Failed"
"Verification Failed","Xác minh thất bại"
"Verification Successful","Verification Successful"
"Verification Successful","Xác minh thành công"
"Verified by Visa","Verified by Visa"
"Verified by Visa","Xác minh bởi Visa"
