"Add coupon code for shopping cart","@FIXME: Thêm mã phiếu giảm giá cho giỏ hàng"
"Add gift messages to shopping cart","@FIXME: Thêm các thông điệp món quà vào giỏ hàng"
"Additional Product Info","@FIXME: Thêm thông tin sản phẩm"
"Add New Address","Thêm địa chỉ mới"
"Add New Condition","Thêm mới điều kiện"
"Add product(s) to shopping cart","@FIXME: Thêm sản phẩm (s) vào giỏ hàng"
"Add product to shopping cart","@FIXME: Thêm sản phẩm vào giỏ hàng"
Address,"Địa chỉ"
"Address %s of %s","Địa chỉ %s của %s"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","Thêm vào so sánh"
"Add to Wishlist","Thêm vào mục ưa thích"
"After Adding a Product Redirect to Shopping Cart","@FIXME: Sau khi thêm một sản phẩm Chuyển tới Giỏ hàng"
"After adding a product redirect to shopping cart","Sau khi thêm 1 sản phẩm thì chuyển đến giỏ hàng"
"Allow Guest Checkout","Cho phép khách thanh toán"
"Already registered?","Đã đăng ký?"
"An error occurred in the process of payment","Có lỗi xảy ra khi xử lý thanh toán"
"An error occurred while deleting this condition.","@FIXME: Đã xảy ra lỗi khi xóa tình trạng này."
"An error occurred while saving this condition.","@FIXME: Đã xảy ra lỗi trong khi tiết kiệm tình trạng này."
"Apply Coupon","Áp dụng phiếu giảm giá"
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc muốn xóa sản phẩm này từ giỏ hàng?"
Back,"Quay lại"
"Back to Billing Information","@FIXME: Trở lại Thông tin Thanh toán"
"Back to Select Addresses","@FIXME: Trở về Chọn địa chỉ"
"Back to Shipping Information","Quay lại thông tin vận chuyển"
"Back to Shopping Cart","@FIXME: Trở lại Giỏ hàng"
"Based on your selection, you may be interested in the following items:","Sản phẩm nên xem"
"Billing Address","Địa chỉ thanh toán"
"Billing Information - %s","Thông tin thanh toán - %s"
"Billing Information","Thông tin thanh toán"
"Cancel Coupon","Hủy bỏ Mã giảm giá"
"Can not add item to shopping cart","Không thể thêm mục vào giỏ mua hàng"
"Cannot add item to the shopping cart.","@FIXME: Không thể thêm mục vào giỏ mua hàng."
"Cannot add the item to shopping cart.","@FIXME: Không thể thêm các mục vào giỏ mua hàng."
"Cannot add the item to shopping cart","@FIXME: Không thể thêm các mục vào giỏ mua hàng"
"Can not apply coupon code.","Không thể áp dụng phiếu mua hàng."
"Cannot apply the coupon code.","@FIXME: Không thể áp dụng các phiếu mua hàng."
"Cannot configure product.","@FIXME: Không thể cấu hình sản phẩm."
"Cannot open the overview page","@FIXME: Không thể mở trang tổng quan"
"Cannot process the item.","@FIXME: Không thể xử lý mục."
"Cannot remove item","Không thể xóa mục"
"Cannot remove the item.","@FIXME: Không thể loại bỏ các mục."
"Cannot update shopping cart.","@FIXME: Không thể cập nhật giỏ hàng."
"Cannot update shopping cart","Không thể cập nhật giỏ hàng"
"Cannot update the item.","@FIXME: Không thể cập nhật mục."
"Can't open overview page","Không thể mở trang xem trước"
"Card Verification Number Visual Reference","@FIXME: Số Thẻ xác nhận trực quan tham khảo"
"Cart Product API","@FIXME: API Giỏ hàng sản phẩm"
"Cart Subtotal:","Tổng tiền:"
"Change Billing Address","Thay đổi địa chỉ hóa đơn"
Change,"Thay đổi"
"Checkbox Text","@FIXME: checkbox Tiêu đề"
"Checkbox text","@FIXME: checkbox văn bản"
"Check / Money order","Tiền mặt / Chuyển khoản"
"Checkout as a Guest or Register","Thanh toán như Khách hoặc đăng ký"
"Checkout as Guest","Thanh toán như Khách"
"Checkout Conditions","Điều kiện thanh toán"
"Checkout Method","@FIXME: Phương pháp kiểm tra"
"Checkout method","Phương thức thanh toán"
"Checkout Options","Lựa chọn thanh toán"
"Checkout Progress Wrapper","@FIXME: Kiểm tra tiến độ Wrapper"
"Checkout Section","Thanh toán Section"
"Checkout Terms and Conditions","Điều khoản thanh toán"
Checkout,"Thanh toán"
"Checkout with Multiple Addresses","Thanh toán với nhiều địa chỉ"
City,"Thành phố"
"Clear Shopping Cart","@FIXME: Rõ ràng Giỏ hàng"
"Click <a href=%s"">here</a> to continue shopping""","Bấm vào <a href=%s"">đây</a> để tiếp tục mua hàng."""
"Click <a href=""%s"">here</a> to continue shopping.","@FIXME: Nhấn vào u003ca href=""%s""u003e đây u003c/au003e để tiếp tục mua sắm."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Bấm <a href=""%s"" onclick=""this.target='_blank'"">vào đây để in</a> một bản sao xác nhận đơn hàng của bạn."
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.",@TODO
Close,Đóng
Company,"Công ty"
"Condition Name","Tên điều kiện"
"Condition was successfully deleted","Điều kiện đã được xóa thành công"
"Condition was successfully saved","Điều kiện đã được lưu thành công"
"Configurable product image","Cấu hình ảnh sản phẩm"
"Configurable Product Image","@FIXME: Cấu hình Hình ảnh sản phẩm"
"Configure Cart Item","@FIXME: Cấu hình giỏ hàng"
"Confirm Password","Xác nhận mật khẩu"
"Content Height (css)","@FIXME: Nội dung Chiều cao ( css )"
"Content Height","@FIXME: Nội dung Chiều cao"
Content,"Nội dung"
"Continue Shopping","Tiếp tục mua hàng"
Continue,"Tiếp tục"
"Continue to Billing Information","Tiếp tục đến thông tin thanh toán"
"Continue to Review Your Order","Tiếp tục đến xem trước đơn hàng của bạn"
"Continue to Shipping Information","Tiếp tục đến thông tin vận chuyển"
Country,"Đất nước"
"Coupon code:","Mã giảm giá:"
"Coupon code ""%s"" is not valid.","Mã giảm giá ""%s"" không đúng."
"Coupon code ""%s"" was applied.","@FIXME: Coupon code""% s""đã được áp dụng."
"Coupon code ""%s"" was applied successfully.","Mã giảm giá ""%s"" đã áp dụng thành công."
"Coupon code was canceled.","@FIXME: Phiếu mua hàng đã bị hủy bỏ."
"Coupon code was canceled successfully.","Mã giảm giá đã thoát thành công."
"Create an order from shopping cart","@FIXME: Tạo đơn hàng từ giỏ hàng"
"Create Billing Address","Tạo địa chỉ thanh toán"
"Create Shipping Address","Tạo địa chỉ vận chuyển"
"Create shopping cart","@FIXME: Tạo giỏ mua hàng"
"Credit Card (saved)","Thẻ tín dụng"
"Customer Address is not valid.","Địa chỉ khách hàng không đúng."
"Customer Information","@FIXME: Thông tin khách hàng"
"Customer's information",@TODO
"Data saving problem","@FIXME: Lưu dữ liệu vấn đề"
"Default Billing","Thanh toán mặc định"
"Default Shipping","Vận chuyển mặc định"
"Delete Condition","Xóa điều kiện"
Details,"Chi tiết"
Disabled,Ẩn
"Disable Onepage Checkout","Hiển thị Onepage thanh toán"
"Discount Codes","Mã giảm giá"
"Display Cart Summary","Hiển thị Summary giỏ hàng"
"Display item quantities","Hiển thị số lượng sản phẩm"
"Display number of items in cart","Hiển thị số của sản phẩm trong giỏ hàng"
"Display number of items in wishlist","@FIXME: Số hiển thị của các mục trong danh sách mong ước"
"Display Shopping Cart Sidebar","@FIXME: Hiển thị Giỏ hàng Sidebar"
"Easy access to your order history and status","Dễ dàng truy cập đến lịch sử và trạng thái đơn hàng của bạn"
"Edit Address","Chỉnh sửa địa chỉ"
"Edit Billing Address","Chỉnh sửa địa chỉ hóa đơn"
Edit,"Chỉnh sửa"
"Edit Condition","@FIXME: chỉnh sửa Điều kiện"
"Edit item","@FIXME: chỉnh sửa mục"
"Edit item parameters","@FIXME: Các thông số chỉnh sửa mục"
"Edit Items","Chỉnh sửa Items"
"Edit Shipping Address","Chỉnh sửa địa chỉ vận chuyển"
"Edit Terms and Conditions","Chỉnh sửa điều khoản và điều kiện"
"Edit Your Cart","Chỉnh sửa giỏ hàng của bạn"
"Email Address","Địa chỉ Email"
Enabled,"Hiển thị"
"Enable Onepage Checkout","@FIXME: Kích hoạt tính năng Onepage Thanh toán"
"Enable Terms and�Conditions","@FIXME: Điều khoản và cho phép? Điều kiện"
"Enable Terms and Conditions","Hiển thị Điều kiện và điều khoản"
"Enter a New Address","Nhập 1 địa chỉ mới"
"Enter your coupon code if you have one.","Nhập mã giảm giá của bạn nếu có"
"Enter your destination to get a shipping estimate.","@FIXME: Nhập điểm đến của bạn để có được một ước tính vận chuyển."
"Error while deleting this condition. Please try again later.","@FIXME: Lỗi khi xóa tình trạng này.  Vui lòng thử lại sau."
"Error while saving this condition. Please try again later.","@FIXME: Lỗi trong khi tiết kiệm tình trạng này.  Vui lòng thử lại sau."
"Estimate Shipping and Tax","@FIXME: Ước tính Vận chuyển và thuế"
"Excl. Tax","@FIXME: Không kể.  thuế"
"Fast and easy check out","@FIXME: Nhanh chóng và dễ dàng kiểm tra ra"
Fax,"@FIXME: fax"
,"@FIXME: "
" ","@FIXME: "
"Forgot an Item?","@FIXME: Quên một khoản?"
"Forgot your password?","Quên mật khẩu của bạn?"
