"Collected Files Count","@FIXME: Tập tin thu thập Đếm"
"Compilation error","@FIXME: lỗi biên dịch"
Compilation,"@FIXME: biên soạn"
"Compilation State","@FIXME: biên soạn Nhà nước"
Compiled,"@FIXME: biên soạn"
"Compiled Scopes Count","@FIXME: Tổng hợp Lĩnh vực Đếm"
"Compiler include path is disabled.","@FIXME: Trình biên dịch bao gồm đường dẫn bị vô hiệu hóa."
"Compiler include path is enabled.","@FIXME: Trình biên dịch bao gồm đường dẫn được kích hoạt."
"Compiler Status","@FIXME: biên dịch Status"
"Directory ""%s"" must be writeable",@TODO
Disabled,"@FIXME: tàn tật"
Disable,"@FIXME: Vô hiệu hoá"
Enabled,"@FIXME: Bật"
Enable,"@FIXME: cho phép"
"File ""%s"" must be writeable",@TODO
"Not Compiled","@FIXME: không Biên soạn"
"Run Compilation Process","@FIXME: Run Lập trình"
"Scopes Compilation Settings","@FIXME: Lĩnh vực Compilation Cài đặt"
System,"@FIXME: hệ thống"
"The compilation has completed.","@FIXME: Việc biên soạn đã hoàn thành."
Tools,"@FIXME: Công cụ"
