"1.5.0.0 & later","1.5.0.0 & later"
"Action","Action"
"Add Author","Add Author"
"Add Contents Path","Add Contents Path"
"Add files","Add files"
"Add Package dependency","Add Package dependency"
"Add PHP Extension dependency","Add PHP Extension dependency"
"Authors","Authors"
"Channel","Channel"
"Contents","Contents"
"Create Extension Package","Create Extension Package"
"Dependencies","Dependencies"
"Description","Description"
"Edit Extension","Edit Extension"
"Email","Email"
"Extension","Extension"
"Extensions","Extensions"
"Failed to create the package.","Failed to create the package."
"Failed to load the package data.","Failed to load the package data."
"Failed to save the package.","Failed to save the package."
"Files","Files"
"Folder","Folder"
"Ignore","Ignore"
"Include","Include"
"License","License"
"License URI","License URI"
"Load local Package","Load local Package"
"Load Local Package","Load Local Package"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Maximum","Maximum"
"Max","Max"
"Minimum","Minimum"
"Min","Min"
"Name","Name"
"New Extension","New Extension"
"Package Extensions","Package Extensions"
"Package File Name","Package File Name"
"Package Info","Package Info"
"Package","Package"
"Packages","Packages"
"Path","Path"
"PHP Version","PHP Version"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Release Info"
"Remove","Remove"
"Save As...","Save As..."
"Save Data and Create Package","Save Data and Create Package"
"Save package with custom package file name","Save package with custom package file name"
"Summary","Summary"
"Supported releases","Supported releases"
"System","System"
"Target","Target"
"The package data has been saved.","The package data has been saved."
"The package %s data has been loaded.","The package %s data has been loaded."
"There was a problem saving package data","There was a problem saving package data"
"Type","Type"
"User","User"
