"About the calendar","@FIXME: Về lịch"
"A category object is required for determining the product request path.","@FIXME: Một đối tượng loại là cần thiết để xác định đường dẫn yêu cầu sản phẩm."
"Add Block Names to Hints","Thêm tên khối vào gợi ý"
"Add Secret Key to URLs","@FIXME: Thêm bí mật chính để URL"
"Add Store Code to Urls","Thêm code store vào Urls"
"Admin Base URL","Đường dẫn admin"
Admin,"Quản trị"
"Admin User Emails","Email của admin"
Advanced,"Nâng cao"
"After selecting a new media storage location, press the Synchronize button
Allow countries""","Allow countries"
"Allow Countries","@FIXME: cho phép nước"
"Allow countries","Quốc gia cho phép"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","@FIXME: Các loại tập tin cho phép: ICO, PNG, GIF, JPG, JPEG, APNG, SVG.  Không phải tất cả các trình duyệt hỗ trợ tất cả các định dạng!"
"Allowed IPs (comma separated)","IP được phép (phân cách bằng dấu phẩy)"
"Allows customers to stay logged in when switching between different stores.","@FIXME: Cho phép khách hàng luôn đăng nhập khi chuyển đổi giữa các cửa hàng khác nhau."
"Allow Symlinks","@FIXME: cho phép liên kết tượng trưng"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","@FIXME: Văn bản thay thế cho liên kết tiếp theo trong trình đơn pagination.  Nếu trống rỗng, hình ảnh mũi tên mặc định sẽ được sử dụng."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","@FIXME: Văn bản thay thế cho liên kết trước đó trong trình đơn pagination.  Nếu trống rỗng, hình ảnh mũi tên mặc định sẽ được sử dụng."
"Anchor symbol (#) is not supported in request path","@FIXME: Biểu tượng neo ( # ) không được hỗ trợ trong yêu cầu đường"
"Anchor symbol (#) is not supported in url rewrite suffix","@FIXME: Biểu tượng neo ( # ) không được hỗ trợ trong url viết lại hậu tố"
"Anchor Text for Next","@FIXME: Anchor Text cho Tiếp theo"
"Anchor Text for Previous","@FIXME: Anchor Text cho trước"
"An error occurred while saving. Please review the error log.","@FIXME: Đã xảy ra lỗi trong khi tiết kiệm.  Vui lòng xem lại các bản ghi lỗi."
"Are you sure?","Bạn có chắc chắn?"
"Auto-redirect to Base URL","@FIXME: Tự động chuyển hướng đến URL Cơ sở"
Back,"Quay lại"
"Back to Main Product Info","@FIXME: Quay lại thông tin sản phẩm"
"Backup Options","@FIXME: backup Options"
"Backup options","Tùy chọn sao lưu"
"Base JavaScript URL","Đường dẫn cho JavaScript"
"Base Link URL","Đường dẫn"
"Base Media URL","Đường dẫn cho media"
"Base Secure URL","@FIXME: Cơ sở an toàn URL"
"Base Skin URL","Đường dẫn cho Skin"
"Base Unsecure URL","@FIXME: Cơ sở không an toàn URL"
"Base URL","Đường dẫn cơ bản"
"Before modifying the store view code please make sure that it is not used in index.php.","@FIXME: Trước khi sửa đổi mã xem cửa hàng xin vui lòng chắc chắn rằng nó không được sử dụng trong index.php."
"Before modifying the store view code please make sure that it is not used in index.php","Trước khi sửa store view code. Bạn phải chắc chắn rằng chúng không được sử dụng trong file index.php"
"Before modifying the website code please make sure that it is not used in index.php.","@FIXME: Trước khi sửa đổi mã trang web xin vui lòng chắc chắn rằng nó không được sử dụng trong index.php."
"Before modifying the website code please make sure that it is not used in index.php","Trước khi sửa website code. Bạn phải chắc chắn rằng chúng không được sử dụng trong file index.php"
"Blocks HTML output","Xuất khối HTML"
"Block with name ""%s"" already exists","Khối với tên ""%s"" đã tồn tại"
"Browser Capabilities Detection","@FIXME: Phát hiện khả năng trình duyệt"
"Cache Storage Management","@FIXME: Quản lý bộ nhớ cache lưu trữ"
"Cache storage may contain additional data. Are you sure that you want flush it?","@FIXME: Lưu trữ bộ nhớ cache có thể chứa dữ liệu bổ sung.  Bạn có chắc chắn rằng bạn muốn tuôn ra nó?"
Cancel,Hủy
"Cannot complete this operation from non-admin area.","Không thể thực thi tác vụ này ngoài vùng quản trị (non-admin area)"
"Can not create invoice. Order was not found.","@FIXME: Không thể tạo ra hóa đơn.  Đặt hàng không được tìm thấy."
"Cannot Delete Email Template","Không thể xóa Email Template"
"Can\'t retrieve entity config: %s","Không thể trả về thực thể cấu hình: %s"
"Can't retrieve entity config: %s",@TODO
"Can't retrieve request object","Không thể trả về đối tượng (object) yêu cầu"
"Card type does not match credit card number.","@FIXME: Loại thẻ không khớp với số thẻ tín dụng."
"Category object is required for determining product request path","Danh mục đối tượng là bắt buộc để xem xét đường dẫn sản phẩm yêu cầu"
"Clear All","Xóa Tất cả"
"- Click on any of the time parts to increase it","@FIXME: - Nhấp chuột vào bất cứ bộ phận thời gian để tăng nó"
Close,"Đóng"
Code,Mã
"Collections Data","Chọn lọc dữ liệu"
"Colors Select","lựa chọn màu sắc"
"Compare Products","@FIXME: so sánh sản phẩm"
Configuration,"Cấu hình"
"Controller file was loaded but class does not exist","Controller file đã được tải nhưng class không tồn tại"
"Cookie Domain","@FIXME: Cookie miền"
"Cookie Lifetime","@FIXME: Cookie Lifetime"
"Cookie Path","Đường dẫn Cookie"
"Cookie Restriction Mode","@FIXME: Cookie Chế độ hạn chế"
Copyright,"Quyền tác giả"
Core,"@FIXME: trung tâm"
"Countries Options","@FIXME: nước Tùy chọn"
"Countries options","Tùy chọn quốc gia"
Country,"Quốc gia"
"Create Store","Tạo Store"
"Create Store View","Tạo Store View"
"Create Website","Tạo website"
"Credit card number does not match credit card type.","@FIXME: Số thẻ tín dụng không phù hợp với loại thẻ tín dụng."
"CSS Settings","@FIXME: CSS Cài đặt"
"Current Package Name","@FIXME: Gói hiện Tên"
"Current package name","Tên gói hiện thời"
"Custom1 Contact Email","@FIXME: Custom1 Liên hệ Email"
"Custom1 Contact Name","@FIXME: Tên Custom1 Liên hệ"
"Custom2 Contact Email","@FIXME: Custom2 Liên hệ Email"
"Custom2 Contact Name","@FIXME: Tên Custom2 Liên hệ"
"Custom Admin Path","@FIXME: Tuỳ chỉnh Admin Path"
"Custom Admin URL","@FIXME: Tuỳ chỉnh quản trị URL"
"Custom admin URL","Tùy biến đường dẫn quản trị (admin URL)"
"Custom Design","Tùy biến thiết kế"
"Custom email 1","Email tùy chọn 1"
"Custom Email 1","@FIXME: Tuỳ chỉnh Email 1"
"Custom email 2","Email tùy chọn 2"
"Custom Email 2","@FIXME: Tuỳ chỉnh Email 2"
"Customer Support","@FIXME: Hỗ trợ khách hàng"
"Customer support","Hỗ trợ khách hàng"
"Custom Variables","@FIXME: biến tùy chỉnh"
Dashboard,"@FIXME: bảng điều khiển"
"database ""%s""","@FIXME: cơ sở dữ liệu""% s"""
"Date From","Ngày từ"
"Date selection:","@FIXME: Ngày lựa chọn:"
"Date/time format ""%s"" is not supported.","Định dạng ngày giờ ""%s"" không được hỗ trợ."
"Date To","Ngày đến"
Debug,"@FIXME: debug"
"Default Country","@FIXME: mặc định Country"
"Default country","Quốc gia mặc định"
"Default Description","Mô tả mặc định"
"Default Keywords","Từ khóa mặc định"
Default,"Mặc định"
"Default no-route url","@FIXME: Mặc định không có tuyến đường url"
"Default No-route URL","@FIXME: Mặc định No- tuyến đường URL"
"Default Pages","Trang mặc định"
"Default Robots","Robots mặc định"
"Default Store","Store mặc định"
"Default Store View","Store View mặc định"
"Default Title","Tiêu đề mặc định"
"Default web url","Đường dẫn web mặc định"
"Default Web URL","@FIXME: Mặc định URL Web"
"Delete Store View","Xóa Không gian Cửa hàng"
"Delete Store","Xóa Cửa hàng"
"Delete Website","Xóa Website"
"Delete website","Xóa website"
Delete,Xóa
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Xóa một %1$s không xóa các thôn tin liên quan đến %1$s (như danh mục, các sản phẩm.), nhưng %1$s Không thể khôi phục được. Đề nghị bạn sao lưu CSDL trước khi xóa %1$s."
"Design Change","Thay đổi thiết kế"
Design,"Thiết kế"
"Developer Client Restrictions","Từ chỗi truy xuất các nhà phát triển bên ngoài"
Developer,"Nhà phát triển"
"DHTML Date/Time Selector","@FIXME: DHTML Ngày / giờ Selector"
"Disable Email Communications","@FIXME: Vô hiệu hoá Truyền thông Email"
"Disable email communications","Tắt tính năng liên lạc bằng email"
"Disable Modules Output","@FIXME: Vô hiệu hoá các module đầu ra"
"Disable modules output","Tắt xuất modules"
"Display Demo Store Notice","@FIXME: Hiển thị Demo Lưu trữ Thông báo"
"Distributed under GNU LGPL. See %s for details.","@FIXME: Phân phối theo GNU LGPL.  Xem % s để biết chi tiết."
"Drag to move","@FIXME: Kéo để di chuyển"
"Duplicate Of Template Code","Trùng mã template"
"Duplicate Of Template Name","@FIXME: Duplicate Trong Tên Mẫu"
"Edit Design Change","Chỉnh sửa thay đổi thiết kế"
"Edit Store","Chỉnh sửa Store"
"Edit Store View","Chỉnh sửa Store View"
"Edit Website","Chỉnh sửa Website"
"Empty identifier field name","Tên trường identifier trống"
"Empty main table name","Tên bảng chính trống"
"Enable Charts","@FIXME: Kích hoạt tính năng Charts"
Enabled,Bật
"Enabled for Admin","Bật cho quản trị (Admin)"
"Enabled for Frontend","Bật cho Frontend"
"Environment Update Time","@FIXME: Môi trường Cập nhật thời gian"
"Error in file: ""%s"" - %s","Lỗi trong file: ""%s"" - %s"
"Error: Passwords do not match","Lỗi: mật khẩu không khớp"
"Error while saving. Please try again later.","Lỗi khi đang lưu. Vui lòng thử lại."
"European Union Countries","@FIXME: Các quốc gia Liên minh châu Âu"
"Exceptions Log File Name","@FIXME: Trường hợp ngoại lệ Đăng nhập File Name"
"Favicon Icon","@FIXME: favicon Biểu tượng"
"File not found","@FIXME: File not found"
"File %s does not exist","@FIXME: Tập tin % s không tồn tại"
"File %s is not readable","@FIXME: Tập tin % s là không thể đọc được"
"File system","@FIXME: hệ thống tập tin"
"File with an extension ""%value%"" is protected and cannot be uploaded","@FIXME: Tập tin với phần mở rộng""giá trị % %""được bảo vệ và không thể được tải lên"
"First Day of Week","Ngày đầu tiên của tuần"
,"@FIXME: "
"Flush Cache Storage","@FIXME: Tuôn ra bộ nhớ cache lưu trữ"
"Flush Magento Cache","@FIXME: Flush Magento cache"
