"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.",@TODO
"Account Dashboard","@FIXME: Bảng điều khiển tài khoản"
"Account Information","@FIXME: Thông tin tài khoản"
"Account information was successfully saved","@FIXME: Thông tin tài khoản đã được lưu thành công"
"Account Sharing Options","@FIXME: Tài khoản Tùy chọn chia sẻ"
Action,"@FIXME: hoạt động"
"Added From","@FIXME: thêm Từ"
"Additional Address Entries","@FIXME: Thêm Địa chỉ Entries"
"Add New Address","@FIXME: Thêm Địa chỉ mới"
"Add New Customer","@FIXME: Thêm khách hàng mới"
"Add New Customer Group","@FIXME: Thêm mới khách hàng Nhóm"
Address,"@FIXME: địa chỉ"
"Address Book","@FIXME: Address Book"
"Address Books","@FIXME: Sách địa chỉ"
Addresses,"@FIXME: địa chỉ"
"Address Information","@FIXME: Thông tin địa chỉ"
"Address Templates","@FIXME: địa chỉ Templates"
Admin,"@FIXME: quản trị"
All,"@FIXME: tất cả"
"All countries","@FIXME: Tất cả các nước"
"ALL GROUPS","@FIXME: TẤT CẢ CÁC NHÓM"
"All Store Views","@FIXME: Tất cả các cửa hàng Xem"
"Always optional.","@FIXME: Luôn luôn tùy chọn."
"Always optional","@FIXME: luôn luôn tùy chọn"
Amount,"@FIXME: số tiền"
"An error occurred while deleting the address.","@FIXME: Đã xảy ra lỗi khi xóa địa chỉ."
"An error occurred while retrieving the option value: %s.",@TODO
"An error occurred while saving the collection, aborting. Error: %s",@TODO
"A new password was sent","@FIXME: Một mật khẩu mới đã được gửi"
"An invalid option ID is specified for %s (%s), skipping the record.",@TODO
Approved,"@FIXME: phê duyệt"
"Are you sure?","@FIXME: Bạn có chắc chắn?"
"Are you sure that you want to remove this item?","@FIXME: Bạn có chắc chắn rằng bạn muốn loại bỏ mặt hàng này?"
"Are you sure you want to cancel adding of this address?","@FIXME: Bạn có chắc chắn muốn hủy thêm các địa chỉ này?"
"Are you sure you want to delete this address?","@FIXME: Bạn có chắc chắn muốn xóa địa chỉ này?"
"Array of Entity collections is expected.","@FIXME: Mảng của bộ sưu tập thực thể được mong đợi."
"Array of Entity collections is expected","@FIXME: Mảng của bộ sưu tập Entity dự kiến"
"Assign a customer group","@FIXME: Chỉ định một nhóm khách hàng"
"Assign a Customer Group","@FIXME: Chỉ định một nhóm khách hàng"
"Average Sale","@FIXME: Cần bán trung bình"
Back,"@FIXME: trở lại"
"Back - link to the previously viewed page","@FIXME: Trở lại - liên kết đến trang xem trước đó"
"Back to Login","@FIXME: Trở lại đăng nhập"
"Bad request.","@FIXME: Bad yêu cầu."
"Based on the VAT ID, the customer would belong to the Customer Group %s.",@TODO
"Billing Information","@FIXME: Thông tin thanh toán"
"Bill to Name","@FIXME: Bill Name"
"Bought From","@FIXME: mua Từ"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","@FIXME: Bằng cách tạo một tài khoản với cửa hàng của chúng tôi, bạn sẽ có thể di chuyển qua các quy trình kiểm tra nhanh hơn, lưu trữ nhiều địa chỉ vận chuyển, xem và theo dõi đơn đặt hàng của bạn trong tài khoản của bạn và nhiều hơn nữa."
Cancel,"@FIXME: hủy bỏ"
