"Access denied to destination folder ""%s""",@TODO
"Actions XML is not valid.","@FIXME: Actions XML là không hợp lệ."
"<a href=""%s"" target=""_blank"">Link</a>",@TODO
"An error occurred while opening file: ""%s"".",@TODO
"Could not load file: ""%s"".",@TODO
"Could not load file: ""%s""",@TODO
"Could not save file: %s.",@TODO
"Could not save file: %s",@TODO
"Declared adapter %s not found",@TODO
"Declared adapter %s was not found.",@TODO
"Destination folder ""%s"" does not exist or not access to create",@TODO
"Destination folder ""%s"" is not a directory.",@TODO
"Destination folder ""%s"" is not a directory",@TODO
"Destination folder ""%s"" is not a writeable",@TODO
"Destination folder ""%s"" is not writable.",@TODO
Done,"@FIXME: làm xong"
"Dry run set, stopping execution","@FIXME: Chạy bộ khô, dừng thực hiện"
"Dry run set, stopping execution.","@FIXME: Tập chạy khô, dừng thực hiện."
"Error field mapping! Fields list for mapping is not defined","@FIXME: Lỗi lĩnh vực lập bản đồ! Fields danh sách để lập bản đồ không được định nghĩa"
"Error in field mapping: field list for mapping is not defined.","@FIXME: Lỗi trong lập bản đồ trường: danh sách các trường để lập bản đồ không được xác định."
"Error occured during file opening: ""%s""",@TODO
"ETA: %s",@TODO
"File ""%s"" does not exist.",@TODO
"File ""%s"" don't exist",@TODO
"Found %d rows.",@TODO
"Found %d rows",@TODO
hour,"@FIXME: giờ"
hours,"@FIXME: giờ"
"Less than a minute","@FIXME: Ít hơn một phút"
"Loaded successfully: ""%s"".",@TODO
"Loaded successfully: ""%s""",@TODO
"Memory Used: %s",@TODO
"Method ""%s"" not defined in adapter %s.",@TODO
"Method ""%s"" not defined in adapter %s",@TODO
"Method ""%s"" was not defined in adapter %s.",@TODO
minute,"@FIXME: phút"
minutes,"@FIXME: từ phút"
"Please declare ""adapter"" and ""method"" node first","@FIXME: Hãy tuyên bố ""bộ chuyển đổi ""và ""phương pháp ""nút đầu tiên"
"Please declare ""adapter"" and ""method"" nodes first.","@FIXME: Hãy tuyên bố ""bộ chuyển đổi ""và ""phương pháp ""nút đầu tiên."
"Processed records: %s",@TODO
"Profile with the same name already exists.","@FIXME: Hồ sơ có cùng tên đã tồn tại."
"Saved successfully: ""%s"" [%d byte(s)].",@TODO
"Saved successfully: ""%s"" [%d byte(s)]",@TODO
"Sheet 1","@FIXME: sheet 1"
"Skip undefined row.","@FIXME: Bỏ qua hàng không xác định."
"Skip undefined row","@FIXME: Bỏ qua hàng không xác định"
"Starting %s :: %s",@TODO
"The destination folder ""%s"" does not exist or there is no access to create it.",@TODO
"Total records: %s",@TODO
