"Allowed currencies","Allowed currencies"
"Allowed Currencies","Allowed Currencies"
"Base currency","Base currency"
"Base Currency","Base Currency"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Cannot retrieve rate from %s.","Cannot retrieve rate from %s."
"Cannot retrieve rate from %s","Cannot retrieve rate from %s"
"Can\'t convert rate from ""%s-%s"".","Can\'t convert rate from ""%s-%s""."
"Connection timeout in seconds","Connection timeout in seconds"
"Connection Timeout in Seconds","Connection Timeout in Seconds"
"Continue &raquo;","Continue &raquo;"
"Country and Format Type combination should be unique","Country and Format Type combination should be unique"
"Country Api","Country Api"
"Country API","Country API"
"Country","Country"
"Currency","Currency"
"Currency Options","Currency Options"
"Currency Setup","Currency Setup"
"Currency Update Warnings","Currency Update Warnings"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default display currency","Default display currency"
"Default Display Currency","Default Display Currency"
"Directory","Directory"
"Display not required State","Display not required State"
"Enabled","Enabled"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"FATAL ERROR:","FATAL ERROR:"
"Frequency","Frequency"
"Installed Currencies","Installed Currencies"
"Invalid country code: %s","Invalid country code: %s"
"Invalid Import Service specified.","Invalid Import Service specified."
"Invalid Import Service Specified","Invalid Import Service Specified"
"Invalid rates received","Invalid rates received"
"Invalid target currency.","Invalid target currency."
"Invalid target currency","Invalid target currency"
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"-- Please select --","-- Please select --"
"Postal Code is Optional for the following countries","Postal Code is Optional for the following countries"
"Region Api","Region Api"
"Region API","Region API"
"Region","Region"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","Scheduled Import Settings"
"Select Your Currency","Select Your Currency"
"Service","Service"
"Start Time","Start Time"
"State is required for","State is required for"
"State/Province","State/Province"
"States Options","States Options"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","Unable to initialize import model"
"Unable to initialize the import model.","Unable to initialize the import model."
"Undefined rate from ""%s-%s"".","Undefined rate from ""%s-%s""."
"Undefined rate from ""%s-%s""","Undefined rate from ""%s-%s"""
"WARNING:","WARNING:"
"Webservicex","Webservicex"
"Your current currency is: %s","Your current currency is: %s"
