Action,"Hành động"
"Add New Template","Thêm mẫu mới"
"Add to Queue","Thêm vào mục chờ đợi"
"Allow Guest Subscription","@FIXME: Cho phép đăng ký Guest"
"An error occurred while saving your subscription.","@FIXME: Đã xảy ra lỗi trong khi tiết kiệm đăng ký của bạn."
"Are you sure that you want to delete this template?","Bạn có chắc chắn xóa mẫu này?"
"Are you sure that you want to strip all tags?","Bạn có chắc chắn bỏ tất cả các tags?"
Back,"Quay lại"
Cancel,"Hủy bỏ"
Cancelled,"Đã hủy bỏ"
"Cannot delete subscriber","Không thể xóa người đăng ký"
"Cannot delete template","Không thể xóa mẫu"
"Cannot mark as received subscriber.","Không thể đánh dấu như là người đăng ký nhận."
"Cannot mark as received subscriber","Không thể đánh dấu như là người đăng ký nhận"
"Cannot save your subscription: %s","Không thể lưu đăng ký của bạn: %s"
"Confirmation Email Sender","Xác nhận người gửi Email"
"Confirmation Email Template","Xác nhận mẫu Email"
"Confirmation request has been sent.","Yêu cầu xác nhận đã được gửi."
"Confirmation request has been sent","Yêu cầu xác nhận đã gửi"
"Convert to Plain Text","Chuyển sang dạng Plain Text"
" Copy"," Sao chép"
"Create Newsletter Template","Tạo mẫu thư thông báo"
"Customer First Name","@FIXME: Tên khách hàng"
"Customer Firstname","Tên của khách hàng"
Customer,"Khách hàng"
"Customer Last Name","@FIXME: Tên khách hàng cuối"
"Customer Lastname","Họ của khách hàng"
"Customer My Account Newsletter Subscriptions","@FIXME: Khách hàng Tài khoản của tôi Bản tin Subscriptions"
"Date Added","Ngày đã thêm"
"Date Updated","Ngày đã cập nhật"
Delete,"@FIXME: xóa bỏ"
"Delete Selected Problems","Xóa những vấn đề đã chọn"
"Delete Template","Xóa mẫu"
"Do you really want to cancel the queue?","Bạn có chắc chắn hủy xếp hàng"
"Duplicate of template code","Mã của mẫu bị trùng"
"Duplicate template code.","@FIXME: Sao chép mẫu mã."
"Edit Newsletter","Sửa thư thông báo"
"Edit Newsletter Template","Sửa mẫu thư thông báo"
"Edit Queue","Sửa xếp hàng"
"Edit Template","Sửa mẫu"
"Enter your email address","Nhập địa chỉ Email của bạn"
"Error Code","Mã lỗi"
"Error Text","Chữ lỗi"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","@FIXME: Thực hiện theo liên kết này để hủy đăng ký u003c! - Thẻ này là dành cho liên kết hủy bỏ đăng ký - u003e u003ca href=""{{var subscriber.getUnsubscriptionLink()}}""u003e {{ var subscriber.getUnsubscriptionLink () }} u003c/au003e"
"Form was filled incorrectly","Mẫu điền không đúng"
"General Subscription","Nhận thư cập nhật"
Guest,Khách
"Invalid queue selected.","Hàng đợi đã chọn không hợp lệ."
"Invalid queue selected","Lựa chọn xếp hàng không đúng"
"Invalid subscriber ID","ID người đăng ký nhận không đúng"
"Invalid subscription confirmation code.","Mã xác nhận đăng ký hợp lệ."
"Invalid subscription confirmation code","Mã xác nhận đăng ký không đúng"
"Invalid subscription ID.","ID đăng ký nhận không đúng."
Message,"Thông điệp"
"Need to Confirm","Cần xác nhận"
"New Newsletter Template","Mẫu Bản tin mới"
"Newsletter Message Preview","Xem thử Bản tin"
"Newsletter Problem Reports","Báo cáo vấn đề Bản tin điện tử"
"Newsletter Queue","Bản tin điện tử Chờ duyệt"
"Newsletter Section","Mục thông báo"
"Newsletter Sign-up:","Đăng ký nhận tin"
"Newsletter Sign-up","@FIXME: Newsletter Sign-up"
"Newsletter Styles","@FIXME: Styles bản tin"
"Newsletter Subscribers","Những người nhận thông báo"
