"An error occurred while clearing the external full page cache.","@FIXME: Đã xảy ra lỗi khi xóa bộ nhớ cache trang đầy đủ bên ngoài."
"Cookie Lifetime (seconds)","@FIXME: Cookie Lifetime (giây)"
"Enable External Cache","@FIXME: Kích hoạt tính năng bên ngoài bộ nhớ cache"
"External Cache Control","@FIXME: Bộ nhớ cache kiểm soát bên ngoài"
"External full page cache.","@FIXME: Bên ngoài bộ nhớ cache trang đầy đủ."
"External Full Page Cache Settings","@FIXME: Bên ngoài trang Full Cài đặt bộ nhớ cache"
"External Page Cache","@FIXME: Bên ngoài Page Cache"
"Failed to load external cache control","@FIXME: Không tải được kiểm soát bộ nhớ cache bên ngoài"
"Flush External Page Cache","@FIXME: Tuôn ra ngoài Page Cache"
"If empty, default value will be used.","@FIXME: Nếu trống rỗng, giá trị mặc định sẽ được sử dụng."
"The external full page cache has been cleaned.","@FIXME: Các bộ nhớ cache trang đầy đủ bên ngoài đã được làm sạch."
"Zend Full Page Cache","@FIXME: Zend trang đầy đủ bộ nhớ cache"
