"3D Secure Card Validation","@FIXME: 3D an toàn thẻ Validation"
"3D Secure Credit Card Validation","@FIXME: 3D an toàn thẻ tín dụng Validation"
"Allow Initial Fee Failure","@FIXME: Cho phép Không Phí ban đầu"
"An internal reference ID is required to save the payment profile.","@FIXME: Một ID tham khảo nội bộ là cần thiết để lưu các hồ sơ thanh toán."
"Authorize action is not available.","@FIXME: Ủy quyền cho hành động này là không có sẵn."
"Auto Bill on Next Cycle","@FIXME: Auto Bill về chu kỳ tiếp theo"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","@FIXME: Tự động hóa đơn số lượng dư nợ trong chu kỳ thanh toán tiếp theo ( nếu có được các khoản thanh toán không thành công)."
"Automatically invoice all items","@FIXME: Tự động hóa đơn tất cả các mục"
"Automatically Invoice All Items","@FIXME: Tự động hóa đơn Tất cả các mục"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","@FIXME: Một giá trị là cần thiết cho chế độ trực tiếp. Hãy tham khảo thỏa thuận CardinalCommerce của bạn."
"Bank Transfer Payment","@FIXME: Thanh toán Bank Transfer"
"Billing Agreement status is not set.","@FIXME: Hiệp định tình trạng thanh toán không được thiết lập."
"Billing Amount","@FIXME: Số tiền thanh toán"
"Billing Frequency","@FIXME: Thanh toán tần số"
"Billing Period","@FIXME: Thời gian thanh toán"
"Billing Period Unit","@FIXME: Thời gian thanh toán Đơn vị"
"Billing period unit is not defined or wrong.","@FIXME: Đơn vị thời hạn thanh toán không được xác định hoặc sai."
"Can not configuration for payment method with code: %s",@TODO
"Can not retrieve payment info model object.","@FIXME: Không thể lấy lại thanh toán thông tin mô hình đối tượng."
"Can not retrieve payment method instance","@FIXME: Không thể lấy phương thức thanh toán ví dụ"
"Can not retrieve payment method model object.","@FIXME: Không thể lấy lại thanh toán mô hình phương pháp đối tượng."
"Cannot retrieve the payment info model object.","@FIXME: Không thể lấy đối tượng thông tin thanh toán mô hình."
"Cannot retrieve the payment information object instance.","@FIXME: Không thể lấy ví dụ thanh toán đối tượng thông tin."
"Cannot retrieve the payment method code.","@FIXME: Không thể lấy mã phương thức thanh toán."
"Cannot retrieve the payment method model object.","@FIXME: Không thể lấy đối tượng thanh toán mô hình phương pháp."
"Capture action is not available.","@FIXME: Hành động Capture là không có sẵn."
"Card Verification Number","@FIXME: Số Thẻ xác nhận"
"Cash On Delivery Payment","@FIXME: Tiền Trên thanh toán giao hàng"
"Centinel API URL","@FIXME: URL API Centinel"
"Check / Money order","@FIXME: Kiểm tra / chuyển tiền"
"Check / Money Order","@FIXME: Kiểm tra / Money Order"
"Credit Card Number","@FIXME: Số Thẻ Tín Dụng"
"Credit card number mismatch with credit card type.","@FIXME: Số thẻ tín dụng không phù hợp với các loại thẻ tín dụng."
"Credit Card Number: %s",@TODO
"Credit Card Number: xxxx-%s",@TODO
"Credit Card Type","@FIXME: Loại thẻ tín dụng"
"Credit card type is not allowed for this payment method.","@FIXME: Loại thẻ tín dụng không được phép cho phương thức thanh toán này."
"Credit Card Types","@FIXME: Các loại thẻ tín dụng"
"Credit Card Type: %s",@TODO
"Credit Card Verification","@FIXME: Xác nhận thẻ tín dụng"
"Currency code is undefined.","@FIXME: Mã tiền tệ là không xác định."
Currency,"@FIXME: tiền tệ"
"Customer ID is not set.","@FIXME: ID khách hàng không được thiết lập."
Day,"@FIXME: ngày"
"Debug Mode","@FIXME: Chế độ debug"
Enabled,"@FIXME: Bật"
"Expiration Date","@FIXME: Ngày hết hạn"
"Expiration Date: %s/%s",@TODO
"Full name of the person receiving the product or service paid for by the recurring payment.","@FIXME: Tên đầy đủ của người nhận được sản phẩm hoặc dịch vụ trả tiền cho việc thanh toán định kỳ."
"Incorrect credit card expiration date.","@FIXME: Không chính xác thẻ tín dụng ngày hết hạn."
"Initial Fee","@FIXME: Phí ban đầu"
"Initial non-recurring payment amount due immediately upon profile creation.","@FIXME: Số tiền thanh toán không định kỳ ban đầu do ngay lập tức khi tạo profile."
Instructions,"@FIXME: hướng dẫn"
"Internal Reference ID","@FIXME: ID tham khảo nội bộ"
"Invalid Credit Card Number","@FIXME: Số thẻ tín dụng không hợp lệ"
"Issue Number","@FIXME: Số phát hành"
"<label>Make Check payable to</label>: %s",@TODO
"<label>Make Check payable to:</label> %s",@TODO
"Make Check Payable to","@FIXME: Kiểm tra thực hiện Phải trả người"
"Make Check payable to:","@FIXME: Kiểm tra thực hiện thanh toán cho:"
"Make Check payable to","@FIXME: Kiểm tra thực hiện thanh toán cho"
"Make Check payable to: %s",@TODO
"Maximum Billing Cycles","@FIXME: Cycles Thanh toán tối đa"
"Maximum Order Total","@FIXME: Đặt hàng tối đa Tổng số"
"Maximum Payment Failures","@FIXME: Thất bại thanh toán tối đa"
"Maximum Trial Billing Cycles","@FIXME: Tối đa chu kỳ thử nghiệm Thanh toán"
"Merchant ID","@FIXME: Merchant ID"
"Minimum Order Total","@FIXME: Tổng số hàng tối thiểu"
Month,"@FIXME: tháng"
N/A,"@FIXME: N / A"
"Name on Card","@FIXME: Tên trên thẻ"
"Name on the Card","@FIXME: Tên trên thẻ"
"Name on the Card: %s",@TODO
"New Order Status","@FIXME: New Status Đặt hàng"
"New order status","@FIXME: Tình trạng trật tự mới"
"Number of billing periods that make up one billing cycle.","@FIXME: Số kỳ thanh toán tạo nên một chu kỳ thanh toán."
"Order action is not available.","@FIXME: Hành động để không có sẵn."
"Overrides API URL that may be specified by a payment method.","@FIXME: Ghi đè URL API có thể được xác định bởi một phương thức thanh toán."
Password,"@FIXME: mật khẩu"
"Payment from Applicable Countries","@FIXME: Thanh toán từ các nước đang áp dụng"
"Payment from applicable countries","@FIXME: Thanh toán từ nước áp dụng"
"Payment from Specific Countries","@FIXME: Thanh toán từ các nước cụ thể"
"Payment from Specific countries","@FIXME: Thanh toán từ nước cụ thể"
"Payment ID: %s",@TODO
"Payment method code is not set.","@FIXME: Phương pháp mã thanh toán không được thiết lập."
"Payment method code is undefined.","@FIXME: Phương pháp mã thanh toán là không xác định."
"Payment Method","@FIXME: Phương thức thanh toán"
"Payment Methods","@FIXME: Phương thức thanh toán"
"Payment Methods Section","@FIXME: Phương thức thanh toán Mục"
"Payment profile is invalid:\n%s",@TODO
"Payment Reference ID","@FIXME: Thanh toán ID tham khảo"
"Payment Services","@FIXME: Dịch vụ thanh toán"
"Period frequency is wrong.","@FIXME: Tần số thời gian là sai."
"Please enter a valid credit card verification number.","@FIXME: Xin vui lòng nhập một số xác minh thẻ tín dụng hợp lệ."
"--Please Select--","@FIXME: --Please Select--"
"Processor ID","@FIXME: Bộ vi xử lý ID"
"Purchase order","@FIXME: đơn đặt hàng"
"Purchase Order","@FIXME: mua hàng"
"Purchase Order Number","@FIXME: Mua hàng Số"
"Purchase Order Number:","@FIXME: Mua hàng Số lượng:"
"Purchase Order Number: %s",@TODO
"Recurring Profile Start Date","@FIXME: Định kỳ sơ Ngày bắt đầu"
"Recurring profile start date has invalid format.","@FIXME: Định kỳ cập nhật hồ sơ cá nhân bắt đầu có định dạng không hợp lệ."
"Reference ID is not set.","@FIXME: ID tài liệu tham khảo không được thiết lập."
"Refund action is not available.","@FIXME: Hành động hoàn trả là không có sẵn."
"Repeats %s time(s).",@TODO
"Repeats until suspended or canceled.","@FIXME: Lặp đi lặp lại cho đến khi bị đình chỉ hoặc hủy bỏ."
"Request Card Security Code","@FIXME: Yêu cầu Thẻ An Mã"
"Saved CC","@FIXME: lưu CC"
"Schedule Description","@FIXME: lịch Mô tả"
"Schedule description must be not empty.","@FIXME: Biểu mô tả phải không rỗng."
"Selected payment type is not allowed for billing country.","@FIXME: Loại hình thanh toán được lựa chọn là không được phép cho đất nước thanh toán."
"Send Check to","@FIXME: Gửi Kiểm tra"
"Send Check to:","@FIXME: Gửi Kiểm tra để:"
"Severe 3D Secure Card Validation","@FIXME: 3D nghiêm trọng an toàn thẻ Validation"
"Severe validation removes chargeback liability on merchant.","@FIXME: Xác nhận nghiêm trọng loại bỏ chargeback trách nhiệm về thương gia."
"Shipping Amount","@FIXME: Số tiền vận chuyển"
"Short description of the recurring payment. By default equals to the product name.","@FIXME: Mô tả ngắn về thanh toán định kỳ. Theo mặc định bằng tên sản phẩm."
"Sort order","@FIXME: Xếp theo thứ tự"
"Sort Order","@FIXME: Xếp theo thứ tự"
"%s %s cycle.",@TODO
"Start Date","@FIXME: Ngày bắt đầu"
"Start date has invalid format.","@FIXME: Ngày bắt đầu có định dạng không hợp lệ."
"Start date is undefined.","@FIXME: Ngày bắt đầu là không xác định."
"Subscriber Name","@FIXME: Tên thuê bao"
"Switch/Solo/Maestro Issue Number","@FIXME: Switch / Solo / Maestro Số phát hành"
"Switch/Solo/Maestro Only","@FIXME: Chỉ Switch / Solo / Maestro"
"Switch/Solo/Maestro Start Date","@FIXME: Switch / Solo / Maestro Ngày bắt đầu"
"Tax Amount","@FIXME: Số tiền thuế"
"Test Mode","@FIXME: Chế độ kiểm tra"
"The date when billing for the profile begins.","@FIXME: Ngày khi thanh toán cho các hồ sơ bắt đầu."
"The number of billing cycles for payment period.","@FIXME: Số chu kỳ thanh toán trong khoảng thời gian thanh toán."
"The number of scheduled payments that can fail before the profile is automatically suspended.","@FIXME: Số lần thanh toán dự kiến ​​có thể thất bại trước khi hồ sơ cá nhân được tự động đình chỉ."
"The payment review action is unavailable.","@FIXME: Các hành động xem xét thanh toán là không có."
"The requested Payment Method is not available.","@FIXME: Các Phương thức thanh toán được yêu cầu không có sẵn."
Title,"@FIXME: Tiêu đề"
"Trial Billing Amount","@FIXME: Số tiền Thanh toán thử nghiệm"
"Trial billing amount is wrong.","@FIXME: Số tiền thanh toán thử nghiệm là sai."
"Trial Billing Frequency","@FIXME: Thanh toán thử nghiệm tần số"
"Trial Billing Period Unit","@FIXME: Thời gian thử nghiệm Thanh toán Đơn vị"
"Trial billing period unit is wrong.","@FIXME: Thử nghiệm đơn vị thời hạn thanh toán là sai."
"Trial Period","@FIXME: Thời gian thử nghiệm"
"Trial period frequency is wrong.","@FIXME: Tần số thời gian dùng thử là sai."
"Trial period max cycles is wrong.","@FIXME: Chu kỳ thời gian tối đa thử nghiệm là sai."
"Two Weeks","@FIXME: hai tuần"
"Unable to save Billing Agreement:","@FIXME: Không thể lưu Hiệp định Thanh toán:"
"Unit for billing during the subscription period.","@FIXME: Đơn vị thanh toán trong thời gian đăng ký."
"Unsupported currency code: %s.",@TODO
"Void action is not available.","@FIXME: Hành động Void không có sẵn."
Week,"@FIXME: tuần"
"What is this?","@FIXME: Này là gì?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","@FIXME: Cho dù để đình chỉ các hồ sơ thanh toán nếu các khoản phí ban đầu không hoặc thêm nó vào số dư."
"Wrong or empty billing amount specified.","@FIXME: Số tiền thanh toán sai quy định hoặc trống rỗng."
"Wrong %s specified.",@TODO
Year,"@FIXME: năm"
"Zero Subtotal Checkout","@FIXME: Không Subtotal Thanh toán"
