                            ","
"
"2-pixel perimeter around the header space.","@FIXME: 2 -pixel chu vi xung quanh không gian tiêu đề."
"3D Secure Card Validation","@FIXME: 3D an toàn thẻ Validation"
"3D Secure","@FIXME: 3D an toàn"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","@FIXME: An toàn xác nhận 3D là cần thiết cho thẻ Maestro.  Hỗ trợ thẻ American Express yêu cầu thỏa thuận bổ sung.  Tìm hiểu thêm tại u003ca href=""http://www.paypal.com/amexupdate""u003e http://www.paypal.com/amexupdate u003c/au003e."
"Ability for buyer to purchase without PayPal account.","@FIXME: Khả năng cho người mua để mua mà không cần tài khoản PayPal."
"A case that has been resolved and close requires a reimbursement.","@FIXME: Một trường hợp đó đã được giải quyết và chặt chẽ đòi hỏi một hoàn."
"Acceptance Mark","@FIXME: Đánh dấu chấp nhận"
"Acceptance Mark Image","@FIXME: Đánh dấu chấp nhận hình ảnh"
"Accept credit card and PayPal payments securely.","@FIXME: Chấp nhận thẻ tín dụng và các khoản thanh toán PayPal an toàn."
"Accept credit cards, debit cards and PayPal payments securely.","@FIXME: Chấp nhận thẻ tín dụng, thẻ ghi nợ và thanh toán PayPal an toàn."
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","@FIXME: Chấp nhận thanh toán trong giỏ hàng của bạn.  PayPal sẽ xử lý thanh toán thẻ của bạn thông qua Payflow Gateway."
"Accept payments with a completely customizable checkout.","@FIXME: Chấp nhận thanh toán với một kiểm tra hoàn toàn tùy biến."
"Accept payments with a completely customizable checkout page.","@FIXME: Chấp nhận thanh toán với một trang thanh toán hoàn toàn tùy biến."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","@FIXME: Chấp nhận thanh toán với một kiểm tra PCI tuân thủ mà giữ khách hàng trên trang web của bạn."
