"Alert Email Sender","@FIXME: Báo Email người gửi"
"Alert subscription has been saved.","@FIXME: Thuê bao cảnh báo đã được lưu."
"Alert subscription was deleted successfully","@FIXME: Thuê bao cảnh báo đã được xóa thành công"
"Alert subscription was saved successfully","@FIXME: Thuê bao cảnh báo đã được lưu thành công"
"Allow alert when product comes back in stock","@FIXME: Cho phép cảnh báo khi sản phẩm trở lại trong kho"
"Allow Alert When Product Comes Back in Stock","@FIXME: Cho phép Alert Khi sản phẩm Comes Trở lại trong kho"
"Allow alert when product price changes","@FIXME: Cho phép cảnh báo khi thay đổi giá sản phẩm"
"Allow Alert When Product Price Changes","@FIXME: Cho phép Alert Khi Sản phẩm Giá Thay đổi"
"Click here not to receive alerts for this product","@FIXME: Click vào đây không phải để nhận thông báo về sản phẩm này"
"Error Email Recipient","@FIXME: Lỗi Email người nhận"
"Error Email Sender","@FIXME: Lỗi Email người gửi"
"Error Email Template","@FIXME: Lỗi Email Template"
Frequency,"@FIXME: tần số"
"Not enough parameters.","@FIXME: Không đủ các thông số."
"Not enough parameters","@FIXME: Không đủ thông số"
"Please try again later","@FIXME: Vui lòng thử lại sau"
"Price alert Email Template","@FIXME: Giá cảnh báo Email Template"
"Price Alert Email Template","@FIXME: Giá Alert Email Template"
Price:,"@FIXME: Giá cả:"
"Product alerts Cron error","@FIXME: Sản phẩm cảnh báo lỗi Cron"
"Product Alerts","@FIXME: Cảnh báo sản phẩm"
"Product Alerts Run Settings","@FIXME: Đại diện thực sản phẩm Run Settings"
"Product not found","@FIXME: Sản phẩm không được tìm thấy"
"Product price alert","@FIXME: Báo giá sản phẩm"
"Product stock alert","@FIXME: Sản phẩm chứng khoán cảnh báo"
"Regular Price:","@FIXME: Thường xuyên Giá:"
"Sign up for price alert","@FIXME: Đăng ký cho báo giá"
"Sign up to get notified when this product is back in stock","@FIXME: Đăng ký để nhận được thông báo khi sản phẩm này là trở lại trong kho"
"Special price:","@FIXME: Giá đặc biệt:"
"Start Time","@FIXME: Thời gian bắt đầu"
"Stock alert Email Template","@FIXME: Chứng khoán cảnh báo Email Template"
"Stock Alert Email Template","@FIXME: Cổ Alert Email Template"
"The alert subscription has been deleted.","@FIXME: Các thuê bao cảnh báo đã bị xóa."
"The alert subscription has been saved.","@FIXME: Các thuê bao cảnh báo đã được lưu."
"The product is not found.","@FIXME: Sản phẩm này không được tìm thấy."
"The product was not found.","@FIXME: Sản phẩm này không được tìm thấy."
"Unable to update the alert subscription.","@FIXME: Không thể cập nhật các thuê bao cảnh báo."
"Unsubscribe from all price alerts","@FIXME: Hủy đăng ký từ tất cả các báo giá"
"Unsubscribe from all stock alerts","@FIXME: Hủy đăng ký từ tất cả các cảnh báo chứng khoán"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","@FIXME: Bạn nhận được thông báo này vì bạn đăng ký để nhận thông báo khi các sản phẩm sau là trở lại trong kho:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","@FIXME: Bạn nhận được thông báo này vì bạn đăng ký để nhận thông báo khi giá cho các sản phẩm sau thay đổi:"
"You will no longer receive price alerts for this product.","@FIXME: Bạn sẽ không còn nhận được thông báo giá cho sản phẩm này."
"You will no longer receive price alerts for this product","@FIXME: Bạn sẽ không còn nhận được thông báo giá cho sản phẩm này"
"You will no longer receive stock alerts for this product.","@FIXME: Bạn sẽ không còn nhận được thông báo chứng khoán cho sản phẩm này."
"You will no longer receive stock alerts for this product","@FIXME: Bạn sẽ không còn nhận được thông báo chứng khoán cho sản phẩm này"
"You will no longer receive stock alerts.","@FIXME: Bạn sẽ không còn nhận được thông báo cổ phiếu."
"You will no longer receive stock alerts","@FIXME: Bạn sẽ không còn nhận được thông báo cổ phiếu"
