"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Add New Review","Add New Review"
"Add Your Review","Add Your Review"
"Administrator","Administrator"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Allow guests to write reviews","Allow guests to write reviews"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
"All Reviews","All Reviews"
"All reviews of customer `%s`","All reviews of customer `%s`"
"All Reviews of Customer `%s`","All Reviews of Customer `%s`"
"All Reviews of Product `%s`","All Reviews of Product `%s`"
"Approved","Approved"
"Are you sure?","Are you sure?"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Average Customer Rating:","Average Customer Rating:"
"Average Customer Rating","Average Customer Rating"
"Back","Back"
"Back to Main Product Info","Back to Main Product Info"
"Back to My Reviews","Back to My Reviews"
"Back to Product Reviews","Back to Product Reviews"
"Be the first to review this product","Be the first to review this product"
"Catalog Product Reviews List","Catalog Product Reviews List"
"Catalog Product Review View","Catalog Product Review View"
"Created On","Created On"
"Customer","Customer"
"Customer My Account Product Reviews","Customer My Account Product Reviews"
"Customer My Account Review Details","Customer My Account Review Details"
"Customer Reviews","Customer Reviews"
"Customers Reviews","Customers Reviews"
"Delete","Delete"
"Delete Review","Delete Review"
"Detailed Rating","Detailed Rating"
"%d Review(s)","%d Review(s)"
"Edit Review '%s'","Edit Review '%s'"
"Guest","Guest"
"How do you rate this product?","How do you rate this product?"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","My Product Reviews"
"My Recent Reviews","My Recent Reviews"
"Name in Store","Name in Store"
"Name In Store","Name In Store"
"Name","Name"
"New Review","New Review"
"Nickname can\'t be empty","Nickname can\'t be empty"
"Nickname","Nickname"
"Not Approved","Not Approved"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"OR","OR"
"Pending","Pending"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Pending Reviews of Customer `%s`","Pending Reviews of Customer `%s`"
"Pending reviews","Pending reviews"
"Pending Reviews","Pending Reviews"
"Please select a product","Please select a product"
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Posted By","Posted By"
"(Posted on %s)","(Posted on %s)"
"Price","Price"
"Product Name","Product Name"
"Product","Product"
"Product Rating:","Product Rating:"
"Product Rating","Product Rating"
"Product Reviews","Product Reviews"
"Product Review (submitted on %s):","Product Review (submitted on %s):"
"Product SKU","Product SKU"
"Products Reviews","Products Reviews"
"Qty","Qty"
"Rating:","Rating:"
"Review by <span>%s</span>","Review by <span>%s</span>"
"Review by %s","Review by %s"
"Review can\'t be empty","Review can\'t be empty"
"Review Details","Review Details"
"Review Form Fields Before","Review Form Fields Before"
"Review","Review"
"Reviews and Ratings","Reviews and Ratings"
"Review (submitted on %s):","Review (submitted on %s):"
"Review summary can\'t be empty","Review summary can\'t be empty"
"Save Review","Save Review"
"SKU","SKU"
"%s Review(s)","%s Review(s)"
"Status","Status"
"Submit Review","Submit Review"
"Summary of review","Summary of review"
"Summary of Review","Summary of Review"
"Summary of Your Review","Summary of Your Review"
"Summary Rating","Summary Rating"
"Title","Title"
"Type","Type"
"Unable to post review. Please, try again later.","Unable to post review. Please, try again later."
"Unable to post the review.","Unable to post the review."
"Update status","Update status"
"Update Status","Update Status"
"View All Reviews","View All Reviews"
"View Details","View Details"
"Visible In","Visible In"
"Websites","Websites"
"Write Your Own Review","Write Your Own Review"
"You have submitted no reviews.","You have submitted no reviews."
"You're reviewing: %s","You're reviewing: %s"
"You're reviewing:","You're reviewing:"
"Your Rating:","Your Rating:"
"Your review has been accepted for moderation.","Your review has been accepted for moderation."
"Your review has been accepted for moderation","Your review has been accepted for moderation"
"Your Review (submitted on %s):","Your Review (submitted on %s):"
