"About This Order:","Về đơn hàng này:"
"About This Profile:","Về Hồ sơ này:"
"About Your Invoice","Về Hoá đơn của bạn"
"About Your Order","Về đơn hàng của bạn"
"About Your Refund","@FIXME: Về Refund của bạn"
"About Your Shipment","@FIXME: Về lô hàng của bạn"
"Accept or Deny Payment","@FIXME: Chấp nhận hoặc từ chối thanh toán"
"Accept Payment","@FIXME: chấp nhận thanh toán"
"Account Information","Thông tin tài khoản"
Action,"Hành động"
Actions,"Hành động"
Activate,"Kích hoạt"
Active,"Hoạt động"
"Add a gift message for <strong>each gift item</strong>","Thêm tin nhắn quà cho <strong>mỗi sản phẩm quà</strong>"
"Add a gift message for the <strong>entire order</strong>","Thêm tin nhắn quà cho <strong>tất cả đơn hàng</strong>"
"Add comment to order","Thêm nhận xét cho đơn hàng"
"Add Gift Messsage","Thêm tin nhắn có quà"
"Additional Product Info","Thông tin bổ sung về Sản phẩm"
"Add New Address","Thêm địa chỉ mới"
"Add new comment to credit memo","@FIXME: Thêm bình luận mới để ghi nhớ tín dụng"
"Add new comment to shipment","Thêm nhận xét cho vận chuyển"
"Add new tracking number","Thêm số theo dõi"
"Add Order Comments","Thêm nhận xét mới"
"Add Package","Thêm Gói"
"Add Products","Thêm Sản phẩm"
Address,"Địa chỉ"
"Address model is not defined.","@FIXME: Mô hình địa chỉ không xác định."
"Add Selected Product(s) to Option","Thêm sản phẩm đã lấy để chọn"
"Add Selected Product(s) to Order","Thêm sản phẩm đã lấy để mua"
"Add Selected Product(s) to Package","Thêm Sản phẩm đã chọn vào Gói"
Add,Thêm
"Add to Cart","Giỏ hàng"
"Add To Order","Thêm để mua"
"Add Tracking Number","Thêm số theo dõi"
"Adjustment Fee:","Phí điều chỉnh:"
"Adjustment Fee","Phí điều chỉnh"
"Adjustment Refund:","Hoàn tiền điều chỉnh:"
"Adjustment Refund","Hoàn tiền điều chỉnh"
"Agreement Information","Thông tin Chính sách và Điều khoản"
"Allow Reorder","Cho phép đặt hàng lại"
Amount,Lượng
"Amount: %s.","Số tiền: %s."
"Anchor Custom Title","@FIXME: Neo Tuỳ chỉnh Tiêu đề"
"An error occurred while assigning order status. Status has not been assigned.","@FIXME: Đã xảy ra lỗi trong khi giao tình trạng đặt hàng.  Tình trạng chưa được giao."
"An error occurred while creating shipping label.","@FIXME: Đã xảy ra lỗi trong khi tạo ra nhãn vận chuyển."
"An error occurred while saving order status. The status has not been added.","@FIXME: Đã xảy ra lỗi trong khi tiết kiệm tình trạng đặt hàng.  Tình trạng đã không được thêm vào."
"An error occurred while unassigning order status.","@FIXME: Đã xảy ra lỗi trong khi tình trạng đặt hàng unassigning."
"An error occurred while updating the order address. The address has not been changed.","@FIXME: Đã xảy ra lỗi khi cập nhật địa chỉ đặt hàng.  Địa chỉ chưa được thay đổi."
"An item option with code %s already exists.","@FIXME: Một lựa chọn mục với mã % s đã tồn tại."
"Append Comments","Gắn nhận xét"
"Apply Coupon Code","Thực hiện mã phiếu thưởng"
"Apply coupon","Thực hiện"
"APPLY COUPON"," Thực hiện giảm giá"
Apply,"Thực hiện"
"Approved the payment online.","@FIXME: Phê duyệt thanh toán trực tuyến."
"Are you sure?","Bạn có chắc chắn không?"
"Are you sure? This order will be canceled and a new one will be created instead","@FIXME: Bạn có chắc chắn?  Lệnh này sẽ bị hủy bỏ và một cái mới sẽ được tạo ra thay vì"
"Are you sure? This order will be cancelled and a new one will be created instead","Bạn có chắc chắn không? Đơn hàng này sẽ bị hủy và đơn hàng mới sẽ được tạo."
"Are you sure you want to accept this payment?","@FIXME: Bạn có chắc chắn muốn chấp nhận thanh toán này?"
"Are you sure you want to cancel this order?","Bạn có chắc hủy đơn hàng này?"
"Are you sure you want to delete all items from shopping cart?","@FIXME: Bạn có chắc chắn muốn xóa tất cả các mặt hàng từ giỏ mua hàng?"
"Are you sure you want to deny this payment?","@FIXME: Bạn có chắc chắn muốn từ chối thanh toán này?"
"Are you sure you want to do this?","@FIXME: Bạn có chắc chắn muốn làm điều này?"
"Are you sure you want to send Creditmemo email to customer?","@FIXME: Bạn có chắc chắn bạn muốn gửi Creditmemo email cho khách hàng?"
"Are you sure you want to send Invoice email to customer?","@FIXME: Bạn có chắc chắn bạn muốn gửi email hóa đơn cho khách hàng?"
"Are you sure you want to send order email to customer?","@FIXME: Bạn có chắc chắn muốn gửi email để khách hàng?"
"Are you sure you want to send Shipment email to customer?","@FIXME: Bạn có chắc chắn muốn gửi email lô hàng cho khách hàng?"
"Are you sure you want to void the payment?","@FIXME: Bạn có chắc chắn muốn làm mất hiệu lực thanh toán?"
"Assignment Information","@FIXME: Thông tin chuyển nhượng"
"Assign Order Status to State","@FIXME: Gán Tình trạng hàng Nhà nước:"
"Assign Status to State","@FIXME: Gán Status để nhà nước"
"At least a payment ID must be set.","@FIXME: Ít nhất một ID thanh toán phải được thiết lập."
Authorization,"@FIXME: cho phép"
"Authorized amount of %s.","@FIXME: Số lượng có thẩm quyền của % s."
"Authorizing amount of %s is pending approval on gateway.","@FIXME: Cho phép số lượng % s đang chờ phê duyệt gateway."
Back,"Quay lại"
Backordered,"Quay về đơn hàng"
"Back to Billing Agreements","@FIXME: Trở lại với các Hiệp định Thanh toán"
"Back to My Orders","Quay về mục đơn hàng của tôi"
"Back to Recurring Profiles","@FIXME: Trở lại Profiles định kỳ"
Bestsellers,"Bán chạy nhất"
"Billing Address","Địa chỉ thanh toán hóa đơn"
"Billing Agreement","Điều khoản Thanh toán"
"Billing Agreements","Các Điều khoản Thanh toán"
"Billing Agreement # %s","Điều khoản Thanh toán # %s"
"Billing Agreement #%s","Các Điều khoản Thanh toán # %s"
"Billing Agreement View","Xem Điề khoản Thanh toán"
Billing,"Thanh toán"
"Billing Last Name","Họ người lấy hóa đơn"
"Billing ZIP Code","Mã bưu điện ghi trên hóa đơn"
"Bill to First name","Tên người lấy hóa đơn"
"Bill to Last name","Họ người lấy hóa đơn"
"Bill to Name","Tên người lấy hóa đơn"
"Buy %s for price %s","Mua %s với giá %s"
"Cancel credit memo","@FIXME: Hủy bỏ bản ghi nhớ tín dụng"
Canceled,"Đã hủy"
"Canceled order offline.","@FIXME: Hủy bỏ ẩn trật tự."
"Canceled order online.","@FIXME: Hủy đơn đặt hàng trực tuyến."
Cancel,Hủy
"Cancel invoice","Hủy hóa đơn"
