"Actions","Actions"
"Active","Active"
"Add New Rule","Add New Rule"
"Alphabetical","Alphabetical"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","An error occurred while generating coupons. Please review the log and try again."
"Apply","Apply"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply the rule to cart items matching the following conditions","Apply the rule to cart items matching the following conditions"
"Apply to","Apply to"
"Apply To","Apply To"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Are you sure you want to delete the selected coupon(s)?","Are you sure you want to delete the selected coupon(s)?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Auto Generated Specific Coupon Codes"
"Buy X get Y free (discount amount is Y)","Buy X get Y free (discount amount is Y)"
"By Fixed Amount","By Fixed Amount"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"By Percentage of the original price","By Percentage of the original price"
"Can\'t acquire coupon.","Can\'t acquire coupon."
"Cart Attribute","Cart Attribute"
"Catalog","Catalog"
"Code Format","Code Format"
"Code Length","Code Length"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Conditions combination","Conditions combination"
"Conditions","Conditions"
"Coupon code","Coupon code"
"Coupon Code","Coupon Code"
"Coupon","Coupon"
"Coupon Qty","Coupon Qty"
"Coupons Information","Coupons Information"
"Coupon with the same code","Coupon with the same code"
"Created On","Created On"
"Customer Groups","Customer Groups"
"Customer is new buyer: %s","Customer is new buyer: %s"
"Customer registered: %s","Customer registered: %s"
"Dash Every X Characters","Dash Every X Characters"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Default Label","Default Label"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Delete Rule","Delete Rule"
"Description","Description"
"Description: %s","Description: %s"
"Discount amount","Discount amount"
"Discount Amount","Discount Amount"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Expire at: %s","Expire at: %s"
"Fixed amount discount","Fixed amount discount"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"FOUND","FOUND"
"Free shipping","Free shipping"
"Free Shipping","Free Shipping"
"From Date","From Date"
"General Information","General Information"
"Generate","Generate"
"ID","ID"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"If empty no separation.","If empty no separation."
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Inactive","Inactive"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Labels"
"Manage Coupon Codes","Manage Coupon Codes"
"Maximum Qty Discount is Applied to","Maximum Qty Discount is Applied to"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Name: %s","Name: %s"
"New Rule","New Rule"
"No Coupon","No Coupon"
"No","No"
"NOT FOUND","NOT FOUND"
"NOT LOGGED IN","NOT LOGGED IN"
"Not valid data provided","Not valid data provided"
"Number of Uses","Number of Uses"
"Numeric","Numeric"
"Payment Method","Payment Method"
"Percent of product price discount","Percent of product price discount"
"Period","Period"
"Price in cart","Price in cart"
"Priority","Priority"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Promotions","Promotions"
"Public In RSS Feed","Public In RSS Feed"
"Quantity in cart","Quantity in cart"
"Row total in cart","Row total in cart"
"Rule Information","Rule Information"
"Rule is not defined","Rule is not defined"
"Rule Name","Rule Name"
"Rule was successfully deleted","Rule was successfully deleted"
"Rule was successfully saved","Rule was successfully saved"
"Sales Discount Amount","Sales Discount Amount"
"Sales Subtotal Amount","Sales Subtotal Amount"
"Sales Total Amount","Sales Total Amount"
"Save and Continue Edit","Save and Continue Edit"
"Save Rule","Save Rule"
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Shipping Country","Shipping Country"
"Shipping Method","Shipping Method"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Shopping Cart Price Rules","Shopping Cart Price Rules"
"Special price","Special price"
"Special Price","Special Price"
"Specific Coupon","Specific Coupon"
"Start at: %s","Start at: %s"
"Status","Status"
"Stop further rules processing","Stop further rules processing"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Store View Specific Labels","Store View Specific Labels"
"Subtotal Amount","Subtotal Amount"
"Subtotal","Subtotal"
"The page you are trying to save no longer exists","The page you are trying to save no longer exists"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","This rule no longer exists."
"This rule no longer exists","This rule no longer exists"
"Times Used","Times Used"
"To Date","To Date"
"To Fixed Amount","To Fixed Amount"
"To Fixed Value","To Fixed Value"
"To Percentage of the original price","To Percentage of the original price"
"To Percentage","To Percentage"
"total amount","total amount"
"Total Amount","Total Amount"
"Total Items Quantity","Total Items Quantity"
"total quantity","total quantity"
"Total","Total"
"Total Weight","Total Weight"
"Unable to create requested Coupon Qty. Please check settings and try again.","Unable to create requested Coupon Qty. Please check settings and try again."
