"Allow Shipping to multiple addresses","Cho phép gửi hàng tới nhiều địa chỉ"
"Allow Shipping to Multiple Addresses","@FIXME: Cho phép Vận chuyển cho nhiều địa chỉ"
"An error occurred while import table rates.","@FIXME: Đã xảy ra lỗi trong khi giá nhập khẩu bảng."
"Calculate Handling Fee","Tính toán chi phí đóng gói"
Carrier:,"Người gửi:"
City,"Thành phố"
"Close Window","Đóng cửa sổ"
Condition,"Điều kiện"
"contact us","liên hệ với chúng tôi"
Country,"Quốc gia"
"Custom Value","@FIXME: Giá trị tùy chỉnh"
Date,Ngày
"Delivered on:","Đã chuyển vào:"
"Delivered to:","Chuyển tới:"
Description,"Mô tả"
"Displayed Error Message","Thông báo lỗi đã hiển thị"
"Divide to equal weight (one request)","@FIXME: Chia trọng lượng bằng nhau ( một yêu cầu)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","@FIXME: Duplicate Row #% s ( Country""% s"", Region / State""% s"", Zip""% s""và Value""% s"")."
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Trùng dòng #%s (Quốc gia ""%s"", Vùng ""%s"", Zip ""%s"" và giá trị ""%s"")"
"email us at ","@FIXME: gửi email cho chúng tôi tại"
Enabled,Bật
Error:,Lỗi:
Export,Xuất
"File has not been imported. See the following list of errors: %s","@FIXME: Tập tin đã không được nhập khẩu.  Xem danh sách sau đây của lỗi:% s"
Fixed,"Cố định"
,"@FIXME: "
"Flat Rate","Cùng giá"
"for more information or email us at","để biết thêm thông tin hoặc gửi email cho chúng tôi tại"
" for more information or email us at ","@FIXME: để biết thêm thông tin hoặc gửi email cho chúng tôi tại"
" for more information or ","@FIXME: để biết thêm thông tin hoặc"
"Free Shipping","Chuyển hàng miễn phí"
"Google Sitemap Section","@FIXME: Google Sitemap Mục"
"Handling Fee","Phí đóng gói"
Import,Nhập
"Include Virtual Products in Price Calculation","@FIXME: Bao gồm các sản phẩm ảo trong giá tính"
Info:,"Thông tin:"
"Invalid Country ""%s"" in the Row #%s.","@FIXME: Không hợp lệ Country""% s""trong Row #% s."
"Invalid Country ""%s"" in the Row #%s","Quốc gia không chính xác ""%s"" trong dòng #%s"
"Invalid Region/State ""%s"" in the Row #%s.","@FIXME: Vùng không hợp lệ / Nhà nước""% s""trong Row #% s."
"Invalid Region/State ""%s"" in the Row #%s","Vùng không chính xác ""%s"" trong dòng #%s"
"Invalid Shipping Price ""%s"" in the Row #%s.","@FIXME: Giá vận chuyển không hợp lệ""% s""trong Row #% s."
"Invalid Shipping Price ""%s"" in the Row #%s","Giá vận chuyển không chính xác ""%s"" trong dòng #%s"
"Invalid %s ""%s"" in the Row #%s.","@FIXME: % S không hợp lệ""% s""trong Row #% s."
"Invalid %s ""%s"" in the Row #%s","Không chính xác %s ""%s"" trong dòng #%s"
"Invalid Table Rate code for type %s: %s","Mã bảng giá không đúng cho loại %s: %s"
"Invalid Table Rate code type: %s","Mã bảng giá không đúng cho loại: %s"
"Invalid Table Rates File Format","Định dạng file bảng giá không chính xác"
"Invalid Table Rates format in the Row #%s","@FIXME: Định dạng Bảng giá không hợp lệ trong Row #% s"
"Local Time","Giờ địa phương"
Location,"Địa điểm"
"Maximum Qty Allowed for Shipping to Multiple Addresses","@FIXME: Số lượng tối đa được phép cho vận chuyển cho nhiều địa chỉ"
"Maximum qty allowed for Shipping to multiple addresses","Số lượng tối đa được phép cho vận chuyển tới nhiều địa chỉ"
"Method Name","@FIXME: Tên phương pháp"
"Method name","Tên phương thức"
"Minimum Order Amount","@FIXME: Số tiền tối thiểu theo thứ tự"
"Minimum order amount","Số lượng đặt hàng tối thiểu"
N/A,"@FIXME: N / A"
None,"Không có"
"# of Items (and above)","# của Sản phẩm (và trên)"
"# of Items vs. Destination","# của Sản phẩm và điểm đến"
Options,"Các tùy chọn"
"Order Subtotal (and above)","Tổng số đơn hàng (và lớn hơn)"
Origin,"@FIXME: gốc"
Percent,"Phần trăm"
"Per Order","Trên đơn hàng"
"Per Package","Trên gói hàng"
Price,Giá
"Price vs. Destination","Giá vs. điểm đến"
Region/State,"@FIXME: Vùng / Tiểu bang"
"Service Type:","Loại dịch vụ:"
"Shipment Tracking Popup","@FIXME: Theo dõi lô hàng Popup"
"Shipment #","Vận chuyển #"
"Shipped or billed on:","Được chuyển hoặc ghi hóa đơn vào:"
"Shipping Methods","Phương thức vận chuyển"
"Shipping Methods Section","Phương thức vận chuyển Section"
"Shipping Settings Section","Thiết lập vận chuyển Section"
"Shipping Settings","Thiết lập vận chuyển"
"Ship to applicable countries","Chuyển tới các quốc gia phù hợp"
"Ship to Applicable Countries","@FIXME: Ship cho các nước áp dụng"
"Ship to Specific countries","Chuyển tới các quốc gia cố định"
"Ship to Specific Countries","@FIXME: Ship cho các nước cụ thể"
"Show Method if Not Applicable","@FIXME: Hiện Phương pháp nếu Không áp dụng"
"Show method if not applicable","Hiển thị phương thức nếu không phù hợp"
"Signed by:","Ký bởi:"
"Sort Order","@FIXME: Xếp theo thứ tự"
"Sort order","Thứ tự sắp xếp"
Status:,"Trạng thái:"
"Store Pickup","@FIXME: cửa hàng Pickup"
"Street Address","@FIXME: Địa chỉ"
"Street Address Line 2","@FIXME: Địa chỉ Line 2"
"Table rates","Bảng giá"
"Table Rates","@FIXME: bảng Giá"
"There is no tracking available for this shipment.","Không có số theo dõi cho vận chuyển này."
"There is no tracking available.","Không có số theo dõi."
"The shipping module is not available.","@FIXME: Các mô-đun vận chuyển không có sẵn."
"The shipping module is not available for selected delivery country.","@FIXME: Các mô-đun vận chuyển là không có sẵn cho nước giao hàng lựa chọn."
"The shipping module is not available for selected delivery country","Module vận chuyển không sử dụng được cho quốc gia vận chuyển được lựa chọn"
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Phương thức vận chuyển này hiện tại không sử dụng được. Nếu bạn muốn sử dụng hình thức vận chuyển này vui lòng liên hệ với chúng tôi."
"This shipping method is not available, please specify ZIP-code","@FIXME: Phương pháp vận chuyển này không có sẵn, vui lòng ghi rõ ZIP mã"
Title,"Tiêu đề"
"Tracking Information","@FIXME: Thông tin theo dõi"
"Tracking information is currently not available. Please ","@FIXME: Theo dõi thông tin hiện không có sẵn.  xin vui lòng"
"Tracking information is currently not available. Please","Thông tin theo dõi hiện tại không sử dụng được. Vui lòng thử lại sau"
"Tracking information is currently unavailable.","Thông tin theo dõi hiện không không có."
"Tracking Number:","Số theo dõi:"
Track:,"Theo dõi:"
Type,Loại
"Use origin weight (few requests)","@FIXME: Trọng lượng sử dụng nguồn gốc ( vài yêu cầu )"
"Weight (and above)","Khối lượng (và lớn hơn)"
Weight:,"Khối lượng:"
"Weight vs. Destination","Khối lượng vs. điểm đến"
"ZIP/Postal Code","@FIXME: Zip / Postal Code"
