Action,"Hành động"
Actions,"Hành động"
Add,"Thêm"
"Add New Tag",Thêm Thẻ mới"
"Add Tags","Thêm Thẻ"
"Add tag(s) to product","Đánh thẻ cho sản phẩm"
"Add to Cart","Cho vào giỏ"
"Add to Wishlist","Thêm vào danh sách ưa thích"
"Add Your Tags:","Thêm tag của bạn:"
"All Tags","Tất cả các thẻ"
Approved,"Đã duyệt"
"Are you sure?","Bạn có chắc chắn?"
"Are you sure that you want to delete this tag?","@FIXME: Bạn có chắc chắn rằng bạn muốn xóa thẻ này?"
"Are you sure you want to delete this tag?","@FIXME: Bạn có chắc chắn muốn xóa thẻ này?"
"Are you sure you want to do this?","@FIXME: Bạn có chắc chắn muốn làm điều này?"
"Back to Tags List","Quay lại danh sách tag"
"Back to view Tag","Quay lại xem tag"
Back,"Trở lại"
"Base Popularity","@FIXME: Popularity cơ sở"
"Block Information","@FIXME: khối Thông tin"
"Catalog Product View","@FIXME: Danh mục hàng Xem"
"Change status","Thay đổi trạng thái"
"Click on a tag to view your corresponding products.","Nhấp chuột vào một từ khóa để xem các sản phẩm tương ứng."
Country,"Quốc gia"
"Customer My Account My Tags List","@FIXME: Khách hàng Tài khoản của tôi Danh sách khóa của tôi"
"Customer My Account Tag View","@FIXME: Tài khoản khách hàng Tag của tôi Xem"
"Customer Since","@FIXME: Kể từ khi khách hàng"
Customers,"Khách hàng"
"Customers Submitted this Tag","@FIXME: Khách hàng Đăng Tag này"
"Customers Tagged '%s'","@FIXME: Khách hàng được đánh tag % s"
"Delete Tag","Loại bỏ tag"
Delete,Xóa
Disabled,"Đã tắt"
"Edit Tag '%s'","Sửa tag '%s'"
"Edit Tag","Sửa tag"
"First Name",Họ
"General Information","@FIXME: Thông tin chung"
Gr
Info,"Thông tin"
List,"Danh sách"
"Manage Tags","Quản lý thẻ"
"My Recent Tags","Thẻ gần đây"
"My Tags","Thẻ của tôi"
Name,"Tên"
"New Tag","Thẻ mới"
"No matches found.","Không có kết quả nào."
"# of Uses","Lượt dùng"
"Other people marked this product with these tags:","Sản phẩm này đã được đánh dấu bởi các tag:"
Pending,"Đang chờ duyệt"
"Pending Tags","Thẻ đang chờ duyệt"
Popular,"Phổ biến"
Popularity,"Mức phổ biến"
"Popular Tags","Thẻ phổ biến"
Price,"Giá"
"Product Name","Tên sản phẩm"
Products,"Sản phẩm"
"Product SKU","@FIXME: sản phẩm SKU"
"Products Tagged by Administrators","@FIXME: Sản phẩm được đánh tag bởi quản trị"
"Products Tagged by Customers","@FIXME: Sản phẩm được đánh tag của khách hàng"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","@FIXME: Sản phẩm được gắn thẻ với % s ( u003ca href=%su003e RSS u003c/au003e)"
"Products Tagged with '%s'","@FIXME: Sản phẩm được đánh tag với % s"
