"Add New Class","Add New Class"
"Add New Tax Rate","Add New Tax Rate"
"Add New Tax Rule","Add New Tax Rule"
"After Discount","After Discount"
"An error occurred while deleting this rate.","An error occurred while deleting this rate."
"An error occurred while deleting this rate. Incorrect rate ID.","An error occurred while deleting this rate. Incorrect rate ID."
"An error occurred while deleting this tax class.","An error occurred while deleting this tax class."
"An error occurred while deleting this tax rule.","An error occurred while deleting this tax rule."
"An error occurred while saving this tax class. A class with the same name","An error occurred while saving this tax class. A class with the same name"
"An error occurred while saving this tax class.","An error occurred while saving this tax class."
"Apply Customer Tax","Apply Customer Tax"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected."
"Apply Discount On Prices","Apply Discount On Prices"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Back","Back"
"Before Discount","Before Discount"
"Calculate off subtotal only","Calculate off subtotal only"
"Calculation","Calculation"
"Calculation Settings","Calculation Settings"
"Catalog Prices","Catalog Prices"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Class Name"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","Click here to go to <a href=""%s"">Tax configuration</a> and change your settings."
"Code","Code"
"Country","Country"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","County"
"CSV","CSV"
"Customer Tax Class","Customer Tax Class"
"Customer Tax Classes","Customer Tax Classes"
"Customer Tax Class Information","Customer Tax Class Information"
"Custom price if available","Custom price if available"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Destination Calculation","Default Tax Destination Calculation"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Delete Class"
"Delete Rate","Delete Rate"
"Delete Rule","Delete Rule"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display","Display"
"Display full tax summary","Display full tax summary"
"Display Full Tax Summary","Display Full Tax Summary"
"Display Prices","Display Prices"
"Display Product Prices","Display Product Prices"
"Display Product Prices In Catalog","Display Product Prices In Catalog"
"Display Shipping Amount","Display Shipping Amount"
"Display Shipping Prices","Display Shipping Prices"
"Display Subtotal","Display Subtotal"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Edit Class","Edit Class"
"Edit Class '%s'","Edit Class '%s'"
"Edit Rule","Edit Rule"
"Edit Tax Rate","Edit Tax Rate"
"Error while deleting this class. Please try again later.","Error while deleting this class. Please try again later."
"Error while deleting this rate. Incorrect rate ID","Error while deleting this rate. Incorrect rate ID"
"Error while deleting this rate. Please try again later.","Error while deleting this rate. Please try again later."
"Error while deleting this tax rule. Please try again later.","Error while deleting this tax rule. Please try again later."
"Error while saving this rate. Please try again later.","Error while saving this rate. Please try again later."
"Error while saving this tax class. Class with the same name ","Error while saving this tax class. Class with the same name "
"Error while saving this tax class. Please try again later.","Error while saving this tax class. Please try again later."
"Error while saving this tax rule. Please try again later.","Error while saving this tax rule. Please try again later."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excel XML","Excel XML"
"Excl. Tax:","Excl. Tax:"
"Excl. Tax","Excl. Tax"
"Excluding tax","Excluding tax"
"Excluding Tax","Excluding Tax"
"Export Tax Rates","Export Tax Rates"
"for store(s)","for store(s)"
"Grand Total (Excl. Tax)","Grand Total (Excl. Tax)"
"Grand Total (Excl.Tax)","Grand Total (Excl.Tax)"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total (Incl. Tax)","Grand Total (Incl. Tax)"
"Grand Total (Incl.Tax)","Grand Total (Incl.Tax)"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Ignore this notification","Ignore this notification"
"Import / Export Tax Rates","Import / Export Tax Rates"
"Import Tax Rates","Import Tax Rates"
"Incl. Tax:","Incl. Tax:"
"Incl. Tax","Incl. Tax"
"Include Tax In Grand Total","Include Tax In Grand Total"
"Including and excluding tax","Including and excluding tax"
"Including and Excluding Tax","Including and Excluding Tax"
"Including tax","Including tax"
"Including Tax","Including Tax"
"Incorrect rate Data","Incorrect rate Data"
"Inc. Tax","Inc. Tax"
"Invalid data for tax rate calculation","Invalid data for tax rate calculation"
"Invalid file format upload attempt","Invalid file format upload attempt"
"Invalid file upload attempt","Invalid file upload attempt"
"Manage Customer Tax Classes","Manage Customer Tax Classes"
"Manage Product Tax Classes","Manage Product Tax Classes"
"Manage Tax Rates","Manage Tax Rates"
"Manage Tax Rules","Manage Tax Rules"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d."
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Name","Name"
"New Class","New Class"
"New Rule","New Rule"
"New Tax Rate","New Tax Rate"
"None","None"
"No","No"
"One of the country has invalid code.","One of the country has invalid code."
"Orders, Invoices, Credit Memos Display Settings","Orders, Invoices, Credit Memos Display Settings"
"Original price only","Original price only"
"Please fill all required fields with valid information.","Please fill all required fields with valid information."
"Please see <a href=""%s"">source</a> for more details.","Please see <a href=""%s"">source</a> for more details."
"Please select Country","Please select Country"
"Please select County","Please select County"
"-- Please Select --","-- Please Select --"
"Please select State","Please select State"
"Price Display Settings","Price Display Settings"
"Priority","Priority"
"Product Tax Classes","Product Tax Classes"
"Product Tax Class Information","Product Tax Class Information"
"Product Tax Class","Product Tax Class"
"Range From","Range From"
"Range To","Range To"
"Range To should be equal or greater than Range From.","Range To should be equal or greater than Range From."
"Rate Percent","Rate Percent"
"Rate Percent should be a positive number.","Rate Percent should be a positive number."
"Rate","Rate"
"Reset","Reset"
"Row Total","Row Total"
"Sales","Sales"
"Save and Continue Edit","Save and Continue Edit"
"Save Class","Save Class"
"Save Rate","Save Rate"
"Save Rule","Save Rule"
"Shipping (Excl. Tax)","Shipping (Excl. Tax)"
"Shipping Excl. Tax (%s)","Shipping Excl. Tax (%s)"
"Shipping & Handling (Excl.Tax)","Shipping & Handling (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","Shipping & Handling (Incl.Tax)"
"Shipping & Handling Tax","Shipping & Handling Tax"
"Shipping (Incl. Tax)","Shipping (Incl. Tax)"
"Shipping Incl. Tax (%s)","Shipping Incl. Tax (%s)"
"Shipping prices include tax","Shipping prices include tax"
"Shipping Prices","Shipping Prices"
"Shopping Cart Display Settings","Shopping Cart Display Settings"
"Sort Order","Sort Order"
"State/Region","State/Region"
"State","State"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Excl.Tax)","Subtotal (Excl.Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"Subtotal (Incl.Tax)","Subtotal (Incl.Tax)"
"Subtotal only","Subtotal only"
"Tax Based On","Tax Based On"
"Tax Calculation Based On","Tax Calculation Based On"
"Tax Calculation Method Based On","Tax Calculation Method Based On"
"Tax Classes","Tax Classes"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax class was successfully deleted","Tax class was successfully deleted"
"Tax class was successfully saved","Tax class was successfully saved"
"Tax Identifier","Tax Identifier"
"Tax rate cannot be removed. It exists in tax rule","Tax rate cannot be removed. It exists in tax rule"
"Tax Rate Information","Tax Rate Information"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax Rate","Tax Rate"
"Tax rate was successfully deleted","Tax rate was successfully deleted"
"Tax rate was successfully imported","Tax rate was successfully imported"
"Tax rate was successfully saved","Tax rate was successfully saved"
"Tax Rule Information","Tax Rule Information"
"Tax Rules","Tax Rules"
"Tax rule was successfully deleted","Tax rule was successfully deleted"
"Tax rule was successfully saved","Tax rule was successfully saved"
"Tax Section","Tax Section"
"Tax","Tax"
"Tax Titles","Tax Titles"
"The tax class has been deleted.","The tax class has been deleted."
"The tax class has been saved.","The tax class has been saved."
"The tax rate has been deleted.","The tax rate has been deleted."
"The tax rate has been imported.","The tax rate has been imported."
"The tax rate has been saved.","The tax rate has been saved."
"The tax rule has been deleted.","The tax rule has been deleted."
"This class no longer exists","This class no longer exists"
"This rule no longer exists.","This rule no longer exists."
"This rule no longer exists","This rule no longer exists"
"Total","Total"
"Unit Price","Unit Price"
"Warning tax configuration can result in rounding errors","Warning tax configuration can result in rounding errors"
"Warning tax configuration can result in unexpected FPT prices on applicable devices","Warning tax configuration can result in unexpected FPT prices on applicable devices"
"Warning tax discount configuration might result in different discounts than a customer might expect","Warning tax discount configuration might result in different discounts than a customer might expect"
"Whether catalog prices entered by admin include tax.","Whether catalog prices entered by admin include tax."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Whether shipping amounts entered by admin or obtained from gateways include tax."
"XML","XML"
"Yes","Yes"
"You cannot delete this tax class as it is used for %d customer groups.","You cannot delete this tax class as it is used for %d customer groups."
"You cannot delete this tax class as it is used for %d products.","You cannot delete this tax class as it is used for %d products."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first."
"Zip code should not contain characters other than digits.","Zip code should not contain characters other than digits."
"Zip/Post Code","Zip/Post Code"
"Zip/Post is Range","Zip/Post is Range"
