"1 Day Freight","1 Day Freight"
"2 Day","2 Day"
"2Day","2Day"
"2 Day AM","2 Day AM"
"2 Day Freight","2 Day Freight"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","3 Day Freight"
"3 Day Select","3 Day Select"
"Access ID","Access ID"
"Access license number","Access license number"
"Access License Number","Access License Number"
"Account ID","Account ID"
"Account number","Account number"
"Account Number","Account Number"
"Additional Protection Configuration Value","Additional Protection Configuration Value"
"Additional Protection Enabled","Additional Protection Enabled"
"Additional Protection Min Subtotal","Additional Protection Min Subtotal"
"Additional Protection Value","Additional Protection Value"
"Additional Protection Value Rounding Method","Additional Protection Value Rounding Method"
"Adult","Adult"
"Adult Signature Required","Adult Signature Required"
"Allowed methods","Allowed methods"
"Allowed Methods","Allowed Methods"
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges."
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges."
"All Services","All Services"
"Bound Printed Matter","Bound Printed Matter"
"Break bulk economy","Break bulk economy"
"Break bulk express","Break bulk express"
"Business Service Center","Business Service Center"
"Calculate Handling Fee","Calculate Handling Fee"
"Canada Standard","Canada Standard"
"Cannot identify measure unit for %s","Cannot identify measure unit for %s"
"Cannot identify weight unit for %s","Cannot identify weight unit for %s"
"Cannot retrieve shipping rates","Cannot retrieve shipping rates"
"Centimeters","Centimeters"
"cm","cm"
"Commercial","Commercial"
"Configuration","Configuration"
"Container","Container"
"Content Type","Content Type"
"Customer Packaging","Customer Packaging"
"Customer services","Customer services"
"Customer Supplied Package","Customer Supplied Package"
"Debug","Debug"
"Default Package Height","Default Package Height"
"Default Package Length","Default Package Length"
"Default Package Width","Default Package Width"
"Delivered","Delivered"
"Delivery Confirmation","Delivery Confirmation"
"Depth","Depth"
"Destination facility code is empty","Destination facility code is empty"
"Destination type","Destination type"
"Destination Type","Destination Type"
"Development","Development"
"DHL (Deprecated)","DHL (Deprecated)"
"DHL","DHL"
"DHL service is not available at %s date","DHL service is not available at %s date"
"Direct","Direct"
"Displayed Error Message","Displayed Error Message"
"Divide Order Weight","Divide Order Weight"
"Documents","Documents"
"Domestic economy select","Domestic economy select"
"Domestic express","Domestic express"
"Domestic Shipment Days","Domestic Shipment Days"
"Drop Box","Drop Box"
"Dropoff","Dropoff"
"Easy shop","Easy shop"
"Economy select","Economy select"
"Empty response","Empty response"
"Enabled","Enabled"
"Enabled for Checkout","Enabled for Checkout"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enables/Disables SSL verification of Magento server by UPS.","Enables/Disables SSL verification of Magento server by UPS."
"Error #%s : %s","Error #%s : %s"
"Error #%s: %s","Error #%s: %s"
"Error #%s : %s (%s)","Error #%s : %s (%s)"
"Europack","Europack"
"Europe First Priority","Europe First Priority"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped"
"Express 10:30 AM","Express 10:30 AM"
"Express 10:30","Express 10:30"
"Express 12:00","Express 12:00"
"Express 9:00","Express 9:00"
"Express easy","Express easy"
"Express envelope","Express envelope"
"Express","Express"
"Express Mail","Express Mail"
"Express Saturday","Express Saturday"
"Express Saver","Express Saver"
"Express worldwide","Express worldwide"
"Failed to parse xml document: %s","Failed to parse xml document: %s"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Envelope"
"FedEx","FedEx"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tube"
"First-Class","First-Class"
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"First-Class Mail Large Envelope","First-Class Mail Large Envelope"
"First-Class Mail Large Postcards","First-Class Mail Large Postcards"
"First-Class Mail Letter","First-Class Mail Letter"
"First-Class Mail Parcel","First-Class Mail Parcel"
"First-Class Mail Postcards","First-Class Mail Postcards"
"First-Class Package International Service","First-Class Package International Service"
"First-Class Package Service","First-Class Package Service"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup"
"First Overnight","First Overnight"
"Flat","Flat"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free method","Free method"
"Free Method","Free Method"
"Free shipping with minimum order amount","Free shipping with minimum order amount"
"Free Shipping with Minimum Order Amount","Free Shipping with Minimum Order Amount"
"Freight","Freight"
"Freight worldwide","Freight worldwide"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Gift","Gift"
"Girth","Girth"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Globalmail business","Globalmail business"
"Ground Commercial","Ground Commercial"
"Ground","Ground"
"Ground Residential","Ground Residential"
"Handling Applied","Handling Applied"
"Handling fee","Handling fee"
"Handling Fee","Handling Fee"
"Height","Height"
"Height, width and length should be equal or greater than %s","Height, width and length should be equal or greater than %s"
"Home Delivery","Home Delivery"
"Hub ID","Hub ID"
"Inches","Inches"
"inch","inch"
"Indirect","Indirect"
"International Economy","International Economy"
"International Express","International Express"
"International First","International First"
"International Ground","International Ground"
"International Priority","International Priority"
"International Shipment Days","International Shipment Days"
"Intl Economy Freight","Intl Economy Freight"
"Intl Priority Freight","Intl Priority Freight"
"Invalid DHL XML code for type %s: %s","Invalid DHL XML code for type %s: %s"
"Invalid DHL XML code type: %s","Invalid DHL XML code type: %s"
"Invalid FedEx XML code for type %s: %s","Invalid FedEx XML code for type %s: %s"
"Invalid FedEx XML code type: %s","Invalid FedEx XML code type: %s"
"Invalid UPS CGI code for type %s: %s","Invalid UPS CGI code for type %s: %s"
"Invalid UPS CGI code type: %s","Invalid UPS CGI code type: %s"
"Invalid USPS XML code for type %s: %s","Invalid USPS XML code for type %s: %s"
"Invalid USPS XML code type: %s","Invalid USPS XML code type: %s"
"Jetline","Jetline"
