"All Websites","@FIXME: Tất cả các trang web"
"Apply Discounts To FPT","@FIXME: Áp dụng giảm giá Để FPT"
"Apply Percent Discounts To FPT","@FIXME: Áp dụng giảm giá phần trăm Để FPT"
"Apply Tax To FPT","@FIXME: Áp dụng thuế Để FPT"
"Display Prices In Emails","@FIXME: Hiển thị giá Trong email"
"Display Prices In Product Lists","@FIXME: Hiển thị giá Trong danh sách sản phẩm"
"Display Prices In Sales Modules","@FIXME: Hiển thị giá Trong bán hàng Modules"
"Display Prices On Product View Page","@FIXME: Hiển thị giá trên sản phẩm View Page"
"Enable FPT","@FIXME: cho phép FPT"
"Excluding FPT","@FIXME: trừ FPT"
"Excluding FPT, FPT description, final price","@FIXME: Trừ FPT, mô tả FPT, mức giá cuối cùng"
"Fixed Product Taxes","@FIXME: Thuế cố định sản phẩm"
"Fixed Product Tax","@FIXME: Cố định thuế sản phẩm"
"FPT Tax Configuration","@FIXME: Cấu hình Thuế FPT"
"Include FPT In Subtotal","@FIXME: Bao gồm FPT Trong Subtotal"
"Including FPT and FPT description [excl. FPT VAT]","@FIXME: Bao gồm cả FPT và FPT mô tả [ excl.  FPT VAT ]"
"Including FPT and FPT description [incl. FPT VAT]","@FIXME: Bao gồm cả FPT và mô tả FPT [ bao gồm.  FPT VAT ]"
"Including FPT and FPT description","@FIXME: Bao gồm cả FPT và FPT mô tả"
"Including FPT only","@FIXME: Bao gồm FPT chỉ"
"Loaded and Displayed with Tax","@FIXME: Nạp và hiển thị với thuế"
"Not Taxed","@FIXME: không tính thuế"
Taxed,"@FIXME: đánh thuế"
"Total excl. tax","@FIXME: Tổng số excl.  thuế"
"Total incl. tax","@FIXME: Tổng số bao gồm.  thuế"
"Total Incl. Tax","@FIXME: Tổng số Incl.  thuế"
Total:,"@FIXME: tổng số:"
Total,"@FIXME: tổng số"
