"10:40 AM","10:40 AM"
"1. Please select type of the action:","1. Please select type of the action:"
"%1$s has been added to your wishlist.","%1$s has been added to your wishlist."
"%1$s incl tax.","%1$s incl tax."
"2. Please select a page","2. Please select a page"
"2. Type Category Name","2. Type Category Name"
"2. Type Product Name","2. Type Product Name"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"About","About"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","A Catalog Only App will not support functions such as add to cart, add to wishlist, or login."
"Access forbidden","Access forbidden"
"Account","Account"
"Account confirmation is required. Please check your email for the confirmation link.","Account confirmation is required. Please check your email for the confirmation link."
"Account Information","Account Information"
"Account information has been saved.","Account information has been saved."
"Account Settings","Account Settings"
"Action","Action"
"Action type doesn\'t recognized.","Action type doesn\'t recognized."
"Action type does\'t recognized.","Action type does\'t recognized."
"Action type does\'t recognized","Action type does\'t recognized"
"Activate","Activate"
"Activate PayPal Checkout","Activate PayPal Checkout"
"Activate PayPal MECL","Activate PayPal MECL"
"Activation Key","Activation Key"
"Add a billing address","Add a billing address"
"Add Action","Add Action"
"Add","Add"
"Add Address from Contacts","Add Address from Contacts"
"Add App","Add App"
"Add a shipping address","Add a shipping address"
"Add Custom","Add Custom"
"Adding Product to Cart...","Adding Product to Cart..."
"Adding Product to WishList...","Adding Product to WishList..."
"Additional Address","Additional Address"
"Additional Info","Additional Info"
"Add New Address","Add New Address"
"Add New Template","Add New Template"
"Add Page","Add Page"
"Address 2","Address 2"
"Address","Address"
"Address Book","Address Book"
"Address book is empty","Address book is empty"
"Address Book Updated","Address Book Updated"
"Address data not specified.","Address data not specified."
"Address does not belong to this customer.","Address does not belong to this customer."
"Address has been deleted.","Address has been deleted."
"Address has been saved.","Address has been saved."
"Address Info","Address Info"
"Add to Cart","Add to Cart"
"Add to Wishlist","Add to Wishlist"
"Add To Wishlist","Add To Wishlist"
"Admin application has not been enabled","Admin application has not been enabled"
"Admin Application Settings","Admin Application Settings"
"Administrative contact for this app and for app submission issues.","Administrative contact for this app and for app submission issues."
"Admin Mobile Application","Admin Mobile Application"
"Advanced Settings","Advanced Settings"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret."
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","<a href=""%s"" target=""_blank"">Login</a> to Urban Airship."
"AirMail message","AirMail message"
"AirMail Message Queue","AirMail Message Queue"
"AirMail Messages Queue","AirMail Messages Queue"
"AirMail Template Preview","AirMail Template Preview"
"AirMail templates","AirMail templates"
"All Allowed Countries","All Allowed Countries"
"All Images","All Images"
"All locations","All locations"
"Amount","Amount"
"Amount in %@","Amount in %@"
"Amounts","Amounts"
"An account with this email address already exists.","An account with this email address already exists."
