"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","@FIXME: Tất cả các thẻ tín dụng / Visa, Mastercard, AMEX, JCB, Diners (cung cấp bởi Moneybookers ) - Quốc tế"
"CartaSi (powered by Moneybookers) - Italy","@FIXME: CartaSi (cung cấp bởi Moneybookers ) - Ý"
"Carte Bleue (powered by Moneybookers) - France","@FIXME: Carte Bleue (cung cấp bởi Moneybookers ) - Pháp"
"Customer ID","@FIXME: ID khách hàng"
"Dankort (powered by Moneybookers) - Denmark","@FIXME: Dankort (cung cấp bởi Moneybookers ) - Đan Mạch"
Enabled,"@FIXME: Bật"
"eNETS (powered by Moneybookers) - Singapore","@FIXME: eNETS (cung cấp bởi Moneybookers ) - Singapore"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","@FIXME: EPS Online- Überweisung (cung cấp bởi Moneybookers ) - Áo"
"Find out more about Online Bank Transfer","@FIXME: Tìm hiểu thêm về Chuyển Ngân hàng trực tuyến"
"Giropay (powered by Moneybookers) - Germany","@FIXME: Giropay (cung cấp bởi Moneybookers ) - Đức"
"iDeal (powered by Moneybookers) - Netherlands","@FIXME: iDeal (cung cấp bởi Moneybookers ) - Hà Lan"
"Laser (powered by Moneybookers) - Ireland","@FIXME: Laser (cung cấp bởi Moneybookers ) - Ireland"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","@FIXME: Lastschrift ( ELV ) (cung cấp bởi Moneybookers ) - Đức"
"Loading secure payment page (SSL)","@FIXME: Tải trang thanh toán an toàn (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","@FIXME: Maestro (cung cấp bởi Moneybookers ) - Vương quốc Anh, Áo, Tây Ban Nha"
"Moneybookers eWallet","@FIXME: Moneybookers eWallet"
Moneybookers,"@FIXME: Moneybookers"
"Moneybookers Settings","@FIXME: Moneybookers Cài đặt"
"Moneybookers Transaction ID: %s","@FIXME: Moneybookers ID giao dịch: % s"
"More information about Moneybookers","@FIXME: Thông tin thêm về Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","@FIXME: Nordea Solo (cung cấp bởi Moneybookers ) - Phần Lan"
"Nordea Solo (powered by Moneybookers) - Sweden","@FIXME: Nordea Solo (cung cấp bởi Moneybookers ) - Thụy Điển"
"Online Bank Transfer (powered by Moneybookers)","@FIXME: Chuyển khoản ngân hàng trực tuyến (cung cấp bởi Moneybookers )"
"Order ID","@FIXME: Order ID"
"Payment failed.","@FIXME: Thanh toán không thành công."
"Payment from Applicable Countries","@FIXME: Thanh toán từ các nước đang áp dụng"
"Payment from Specific Countries","@FIXME: Thanh toán từ các nước cụ thể"
"Payment has not been processed yet.","@FIXME: Thanh toán chưa được xử lý chưa."
"Payment was canceled.","@FIXME: Thanh toán đã bị hủy bỏ."
"Pending bank transfer created.","@FIXME: Trong khi chờ chuyển khoản ngân hàng tạo ra."
"Please pay your order now","@FIXME: Vui lòng thanh toán hàng ngay bây giờ"
"POLi (powered by Moneybookers) - Australia","@FIXME: Poli (cung cấp bởi Moneybookers ) - Úc"
"Postepay (powered by Moneybookers) - Italy","@FIXME: Postepay (cung cấp bởi Moneybookers ) - Ý"
"Powered by Moneybookers","@FIXME: Powered by Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","@FIXME: Przelewy24 (cung cấp bởi Moneybookers ) - Ba Lan"
"Sofortüberweisung (powered by Moneybookers) - Germany","@FIXME: Sofortüberweisung (cung cấp bởi Moneybookers ) - Đức"
"Sort Order","@FIXME: Xếp theo thứ tự"
"The amount has been authorized and captured by Moneybookers.","@FIXME: Số tiền đã được ủy quyền và bị bắt bởi Moneybookers."
"The customer was redirected to Moneybookers.","@FIXME: Các khách hàng đã được chuyển hướng đến Moneybookers."
"The order has been canceled.","@FIXME: Thứ tự đã bị hủy."
Title,"@FIXME: Tiêu đề"
"You will be redirected to our secure payment page when you place an order.","@FIXME: Bạn sẽ được chuyển đến trang thanh toán an toàn của chúng tôi khi bạn đặt hàng."
